code,signal_date,kline_bar_date,kline,ret_5d
000422,2026-08-12,2026-08-12,mixed,-0.0284615384615384
001312,2026-08-12,2026-08-12,mixed,-0.0230207748455923
001359,2026-07-31,2026-07-31,down,0.1608190948219643
002177,2026-08-10,2026-08-10,mixed,-0.0258620689655171
002261,2026-08-10,2026-08-10,mixed,0.0269127258746635
002353,2026-08-14,2026-08-14,mixed,0.0100006622955162
002471,2026-08-12,2026-08-12,mixed,-0.0850340136054421
002576,2026-08-14,2026-08-14,mixed,-0.0083974807557731
002820,2026-08-12,2026-08-12,mixed,0.1670190274841436
300047,2026-08-13,2026-08-13,up,-0.0647482014388489
300422,2026-08-14,2026-08-14,mixed,-0.0352112676056336
300529,2026-08-07,2026-08-07,up,-0.0103785103785102
300854,2026-07-28,2026-07-28,down,0.2439912600145664
600269,2026-08-11,2026-08-11,mixed,-0.0156657963446474
