bucket,n_signal_days,horizon,n,mean_pct,median_pct,win_rate_pct,p5_pct,p95_pct,stdev_pct
b1_0_3pct,6564,5,5404,-1.522,-1.405,37.07,-14.334,9.873,8.205
b1_0_3pct,6564,20,1867,-11.056,-5.503,28.44,-44.295,12.523,19.568
b1_0_3pct,6564,40,276,-21.79,-25.658,9.06,-46.198,12.854,19.186
b2_3_8pct,2049,5,1636,-3.478,-3.548,31.48,-20.825,15.284,11.765
b2_3_8pct,2049,20,869,-17.806,-17.83,19.33,-48.677,17.105,21.628
b2_3_8pct,2049,40,221,-23.822,-27.677,9.05,-49.483,15.877,20.903
b3_8_15pct,672,5,544,-1.573,-4.825,35.11,-23.918,39.739,18.115
b3_8_15pct,672,20,287,-16.681,-21.244,17.07,-49.082,34.688,28.491
b3_8_15pct,672,40,63,-24.025,-26.052,12.7,-51.141,11.979,20.712
b4_gt15pct,83,5,59,1.415,-1.697,45.76,-30.545,33.466,23.41
b4_gt15pct,83,20,34,-20.152,-33.314,23.53,-55.277,49.952,35.721
b4_gt15pct,83,40,4,-29.989,-32.339,0.0,-41.734,-13.547,10.273
ctrl_baseline_all_days,223160,5,197161,-0.054,0.0,49.92,-14.927,13.737,9.024
ctrl_baseline_all_days,223160,20,119188,-0.637,1.829,55.98,-33.687,22.923,17.286
ctrl_baseline_all_days,223160,40,15427,-3.608,-1.708,45.23,-35.477,22.829,19.293
ctrl_near_miss_-8_0pct,73830,5,59207,-0.107,0.0,49.07,-10.169,8.952,6.51
ctrl_near_miss_-8_0pct,73830,20,21715,-3.681,0.255,51.01,-37.219,13.871,16.19
ctrl_near_miss_-8_0pct,73830,40,2302,-13.097,-13.676,24.63,-41.571,16.598,20.235
