bucket,n_signal_days,horizon,n,mean_pct,median_pct,win_rate_pct,p5_pct,p95_pct,stdev_pct
b1_0_3pct,6872,5,5700,-1.415,-1.329,37.46,-13.955,9.829,8.064
b1_0_3pct,6872,20,2069,-10.343,-4.81,30.84,-43.188,12.304,19.073
b1_0_3pct,6872,40,309,-19.991,-23.686,11.97,-43.903,16.733,20.019
b2_3_8pct,2115,5,1699,-3.361,-3.513,31.55,-20.663,15.432,11.692
b2_3_8pct,2115,20,925,-17.499,-17.811,19.35,-48.002,17.105,21.814
b2_3_8pct,2115,40,236,-23.786,-28.786,9.32,-46.124,15.877,20.567
b3_8_15pct,693,5,565,-1.563,-4.785,35.4,-23.909,39.321,17.846
b3_8_15pct,693,20,306,-16.589,-20.203,16.67,-48.867,33.981,27.705
b3_8_15pct,693,40,66,-23.033,-26.005,12.12,-50.706,17.751,21.65
b4_gt15pct,86,5,62,1.703,-1.415,46.77,-29.652,33.466,22.425
b4_gt15pct,86,20,37,-17.48,-32.91,24.32,-55.277,63.575,38.368
b4_gt15pct,86,40,4,-29.989,-32.339,0.0,-41.734,-13.547,10.273
ctrl_baseline_all_days,223160,5,197161,0.017,0.099,50.26,-14.758,13.757,8.961
ctrl_baseline_all_days,223160,20,119188,-0.361,2.08,56.82,-33.153,22.991,17.153
ctrl_baseline_all_days,223160,40,15427,-3.034,-1.053,46.96,-34.652,23.143,19.17
ctrl_near_miss_-8_0pct,75448,5,60721,-0.025,0.0,49.75,-10.121,9.0,6.442
ctrl_near_miss_-8_0pct,75448,20,22950,-3.248,0.746,53.57,-36.749,13.98,16.03
ctrl_near_miss_-8_0pct,75448,40,2514,-12.038,-12.976,28.36,-40.527,16.611,20.136
