date,wave,ticker,name,group,t0_date,t0_close,last_date,last_close,ret_asof_now,ret_max_seen,n_days_avail
2026-06-30,A,002428,云南锗业,watch,2026-06-30,120.17,2026-08-21,100.88,-16.05,0.0,38
2026-06-30,A,603688,石英股份,watch,2026-06-30,82.61,2026-08-21,48.75,-40.99,0.0,38
2026-06-30,A,600549,厦门钨业,watch,2026-06-30,85.2,2026-08-21,55.58,-34.77,0.0,38
2026-06-30,A,600160,巨化股份,watch,2026-06-30,53.01,2026-08-21,38.7,-26.99,5.36,38
2026-06-30,A,688608,恒玄科技,watch,2026-06-30,118.42,2026-08-21,107.49,-9.23,11.47,38
2026-06-30,A,688049,炬芯科技,watch,2026-06-30,46.91,2026-08-21,39.17,-16.5,0.11,38
2026-06-30,A,601958,金钼股份,watch,2026-06-30,27.62,2026-08-21,21.94,-20.56,1.01,38
2026-06-30,A,002915,中欣氟材,reject,2026-06-30,20.51,2026-08-21,16.91,-17.55,14.77,38
2026-06-30,A,000708,中信特钢,reject,2026-06-30,12.62,2026-08-21,13.64,8.08,18.78,38
2026-06-30,A,300224,正海磁材,reject,2026-06-30,13.33,2026-08-21,11.05,-17.1,6.45,38
2026-06-30,A,603505,金石资源,probe,2026-06-30,20.09,2026-08-21,15.28,-23.94,21.01,38
2026-06-30,A,600392,盛和资源,watch,2026-06-30,29.38,2026-08-21,22.73,-22.63,0.41,38
2026-06-30,A,002738,中矿资源,watch,2026-06-30,58.99,2026-08-21,54.3,-7.95,11.02,38
2026-06-30,A,002759,天际股份,watch,2026-06-30,24.39,2026-08-21,18.47,-24.27,10.0,37
2026-06-30,A,300285,国瓷材料,watch,2026-06-30,103.11,2026-08-21,67.86,-34.19,0.0,38
2026-06-30,A,002709,天赐材料,watch,2026-06-30,51.43,2026-08-21,37.96,-26.19,6.63,38
2026-06-30,A,002326,永太科技,watch,2026-06-30,23.65,2026-08-21,20.13,-14.88,18.39,38
2026-06-30,A,300709,精研科技,reject,2026-06-30,56.25,2026-08-21,40.76,-27.54,0.0,38
2026-06-30,A,300316,晶盛机电,reject,2026-06-30,60.4,2026-08-21,42.53,-29.59,0.18,38
2026-06-30,A,600456,宝钛股份,reject,2026-06-30,27.35,2026-08-21,27.35,0.0,6.4,38
2026-06-30,A,300433,蓝思科技,watch,2026-06-30,53.2,2026-08-21,37.19,-30.09,0.0,38
2026-06-30,A,605020,永和股份,probe,2026-06-30,40.72,2026-08-21,32.33,-20.6,18.84,38
2026-06-30,A,688120,华海清科,watch,2026-06-30,322.18,2026-08-21,271.7,-15.67,6.77,38
2026-06-30,A,688206,概伦电子,reject,2026-06-30,44.34,2026-08-21,43.3,-2.35,19.46,38
2026-06-30,A,002371,北方华创,probe,2026-06-30,883.76,2026-08-21,714.43,-19.16,5.74,38
2026-06-30,A,000969,安泰科技,watch,2026-06-30,24.54,2026-08-21,16.68,-32.03,1.83,38
2026-06-30,A,000962,东方钽业,watch,2026-06-30,90.6,2026-08-21,53.01,-41.49,0.0,38
2026-06-30,A,002639,雪人集团,watch,2026-06-30,13.91,2026-08-21,11.59,-16.68,1.51,38
2026-07-01,A,002428,云南锗业,reject,2026-07-01,114.84,2026-08-21,100.88,-12.16,0.0,37
2026-07-01,A,002080,中材科技,watch,2026-07-01,88.7,2026-08-21,53.91,-39.22,0.0,37
2026-07-01,A,688300,联瑞新材,watch,2026-07-01,231.0,2026-08-21,145.31,-37.1,0.0,37
2026-07-01,A,600141,兴发集团,probe,2026-07-01,45.67,2026-08-21,30.68,-32.82,0.0,37
2026-07-01,A,002138,顺络电子,probe,2026-07-01,74.6,2026-08-21,49.94,-33.06,0.0,37
2026-07-01,A,600549,厦门钨业,watch,2026-07-01,84.9,2026-08-21,55.58,-34.53,0.0,37
2026-07-01,A,002407,多氟多,reject,2026-07-01,55.25,2026-08-21,36.15,-34.57,0.0,37
2026-07-01,A,603505,金石资源,watch,2026-07-01,22.1,2026-08-21,15.28,-30.86,10.0,37
2026-07-01,A,002326,永太科技,probe,2026-07-01,26.02,2026-08-21,20.13,-22.64,7.61,37
2026-07-01,A,605020,永和股份,probe,2026-07-01,43.99,2026-08-21,32.33,-26.51,10.0,37
2026-07-01,A,301127,天际股份,reject,2026-07-01,20.79,2026-08-21,18.82,-9.48,0.0,37
2026-07-01,A,002895,川恒股份,reject,2026-07-01,30.6,2026-08-21,33.7,10.13,15.85,37
2026-07-01,A,600409,三友化工,reject,2026-07-01,6.25,2026-08-21,6.71,7.36,10.88,37
2026-07-01,A,300457,赢合科技,reject,2026-07-01,21.35,2026-08-21,19.95,-6.56,0.0,37
2026-07-01,A,002738,中矿资源,reject,2026-07-01,64.89,2026-08-21,54.3,-16.32,0.92,37
2026-07-01,A,300709,精研科技,watch,2026-07-01,52.1,2026-08-21,40.76,-21.77,0.0,37
2026-07-01,A,688210,统联精密,reject,2026-07-01,39.37,2026-08-21,30.99,-21.29,0.0,37
2026-07-01,A,600456,宝钛股份,reject,2026-07-01,27.8,2026-08-21,27.35,-1.62,4.68,37
2026-07-01,A,603327,福蓉科技,reject,2026-07-01,8.32,2026-08-21,9.33,12.14,12.14,37
2026-07-01,A,600160,巨化股份,probe,2026-07-01,55.85,2026-08-21,38.7,-30.71,0.0,37
2026-07-01,A,002378,章源钨业,watch,2026-07-01,32.9,2026-08-21,26.2,-20.36,7.69,37
2026-07-01,A,688456,有研粉材,reject,2026-07-01,136.51,2026-08-21,82.9,-39.27,0.0,37
2026-07-01,A,688305,科德数控,reject,2026-07-01,67.24,2026-08-21,63.21,-5.99,12.37,37
2026-07-01,A,688120,华海清科,watch,2026-07-01,330.0,2026-08-21,271.7,-17.67,4.24,37
2026-07-01,A,688200,华峰测控,watch,2026-07-01,529.85,2026-08-21,412.52,-22.14,2.48,37
2026-07-01,A,688019,安集科技,probe,2026-07-01,322.6,2026-08-21,241.07,-25.27,6.6,37
