序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
117,000657,中钨高新,0.9112,16384925470.67,108.5138971279,33.8421,2076226297.96,280.53,25.4096,4.950337982052,19.29,-0.55085668715,30.3812154395,小金属,2026-08-24
224,601899,紫金矿业,1.473,194178458630.0,15.7816890732,-2.8597,39169807243.0,68.17,-4.9253,7.595431142723,19.6,2.086130204725,37.7472369593,工业金属,2026-08-22
291,600019,宝钢股份,0.21,160731484167.43,6.1828212765,8.5764,4571368811.02,-6.3,5.4971,9.467553434672,2.21,0.680141385502,5.9913123878,普钢,2026-08-22
343,300433,蓝思科技,0.11,28866385614.87,-12.4203656668,4.1534,576812673.0,-49.52,585.568,9.997566109836,1.05,0.381005915776,16.4258831472,消费电子,2026-08-22
356,300308,中际旭创,12.31,41777861795.03,182.4913813287,14.285,13651149693.27,241.7,38.0529,35.740605779103,37.62,1.613718553798,46.2521843492,通信设备,2026-08-22
390,002935,天奥电子,0.0219,302515317.84,-4.7610963338,102.2451,9245582.03,11.28,380.674,3.793315699609,0.57,-0.090826322654,21.1949920876,军工电子Ⅱ,2026-08-22
1051,688072,拓荆科技,4.77,2912864261.46,49.060715147,61.8466,1342753980.93,1324.1,35.3222,43.7448191281,18.11,0.397208768798,41.0042896167,半导体,2026-08-21
1068,603505,金石资源,0.11,1894642299.29,9.7987576874,5.9407,89725478.37,-28.87,-53.5328,2.238315446922,4.77,0.3747783725,14.4894134346,化学制品,2026-08-21
1111,600549,厦门钨业,1.3862,35014480428.15,81.6985110158,22.4106,2200748489.7,127.04,-1.164,11.773995846987,12.15,-1.551198378021,21.8280630899,小金属,2026-08-21
1195,300759,康龙化成,0.4138,7595423821.51,17.9239536081,12.2561,750194149.88,6.96,23.6987,8.898339872193,4.61,0.590352465678,32.7097382917,医疗服务,2026-08-21
1196,300748,金力永磁,0.34,4649284465.03,32.5700964295,28.3741,462235981.25,51.58,39.7814,5.55339872872,5.94,0.876624118187,21.726013436,金属新材料,2026-08-21
1333,000708,中信特钢,0.59,53672108262.34,-1.9066663904,2.5798,2989828058.6,6.85,-2.1928,8.687181540925,6.74,0.77309019759,14.7679918177,特钢Ⅱ,2026-08-21
1342,000519,中兵红箭,0.0267,3029821180.45,38.1509084566,-26.1426,37197974.55,191.36,-131.9093,7.454740456968,0.36,-0.400551950495,18.4813424153,地面兵装Ⅱ,2026-08-21
1861,688617,惠泰医疗,3.82,1526351745.77,25.749347161,16.7872,537319119.8,26.38,34.1885,21.813993344425,15.96,3.881074226243,72.9767273171,医疗器械,2026-08-20
1879,688187,时代电气,1.25,13070519326.0,7.0128517726,56.1965,1712297377.0,2.44,66.1557,31.465224620307,3.96,1.099116808847,32.810792372,轨交设备Ⅱ,2026-08-20
1940,600312,平高电气,0.602,5374387439.86,-5.6390449045,19.3674,816852368.99,22.87,-3.0953,8.744982084035,7.01,-0.508092845685,29.7540277297,电网设备,2026-08-20
1942,600276,恒瑞医药,0.68,15455583728.11,-1.9390022608,-10.1411,4465439428.1,0.34,-4.342,9.712895713484,8.04,0.299373818788,86.3263460861,化学制药,2026-08-20
1948,600111,北方稀土,0.5679,25798892982.11,36.747397269,17.5485,2053166573.28,120.46,23.7197,7.262595571511,8.02,0.334237676806,15.0254626695,小金属,2026-08-20
2242,688627,精智达,0.52,803714323.87,81.1679117713,41.4418,48909868.62,59.9,136.1356,18.989424385822,2.8,-3.71576266374,43.3773684636,通用设备,2026-08-19
2315,002895,川恒股份,0.9244,4058128441.28,20.7627425244,22.5273,560109836.24,4.5,96.9665,12.211328434743,7.14,0.271051292622,28.5288189914,农化制品,2026-08-19
2796,000049,德赛电池,0.5337,10716334708.34,9.7787183907,13.997,205277265.25,110.44,56.8647,17.759816799557,3.02,0.949553875562,9.709592472,电池,2026-08-18
2871,605020,永和股份,1.0,3134104937.92,28.1591303903,36.745,512891744.3,89.01,84.4989,11.821425719237,8.59,0.830233118687,30.4299406124,化学制品,2026-08-17
2937,600298,安琪酵母,1.03,9186922783.9,16.300503045,2.6354,880947198.63,10.21,6.8315,14.34482915862,7.06,0.230291483041,26.7979396289,调味发酵品Ⅱ,2026-08-15
2939,600183,生益科技,1.36,19025611766.13,50.0454791459,33.6881,3286977278.33,130.42,83.8154,7.616649944865,18.17,1.228101686219,30.6922750301,元件,2026-08-15
2996,002049,紫光国微,0.9495,3443429374.17,13.0004772994,29.7017,797706633.99,15.29,38.6196,16.663687414464,5.65,0.973613786752,53.5936044277,半导体,2026-08-15
2997,002028,思源电气,1.87,10795207710.32,27.0490902851,36.2881,1463716011.88,13.23,66.153,21.025062066469,9.01,0.29034063463,30.4579609268,电网设备,2026-08-15
3183,300627,华测导航,0.4251,1928755092.43,5.2026590957,38.9767,333157564.07,2.05,65.6843,5.50971258567,7.63,0.065500972895,60.6168320788,通信设备,2026-08-14
3191,002920,德赛西威,2.1,14900950597.04,1.7530758163,29.4154,1244645323.07,1.81,69.7027,26.928655582297,7.99,1.780824322753,19.0765786428,汽车零部件,2026-08-14
