date,open,high,low,close,volume
2026-05-06,142.0,148.5,138.88,139.82,31993415.0
2026-05-07,141.0,143.16,136.02,142.04,23797061.0
2026-05-08,138.02,139.4,135.26,136.54,24371974.0
2026-05-11,138.88,142.86,133.5,139.51,25508151.0
2026-05-12,138.2,138.96,133.2,135.12,21977524.0
2026-05-13,132.79,138.99,131.01,136.8,24117362.0
2026-05-14,138.84,138.88,131.05,131.2,19268663.0
2026-05-15,130.2,131.95,123.6,126.2,19859888.0
2026-05-18,128.0,136.77,127.99,131.8,21571407.0
2026-05-19,133.0,148.0,127.51,147.24,35106433.0
2026-05-20,145.99,149.07,144.11,146.35,24136260.0
2026-05-21,148.0,149.33,133.0,134.06,22997760.0
2026-05-22,135.55,142.88,133.23,141.03,21329614.0
2026-05-25,148.33,159.8,148.0,153.92,31405832.0
2026-05-26,153.59,154.99,144.18,146.85,22896338.0
2026-05-27,151.0,157.13,143.02,144.52,21682341.0
2026-05-28,144.57,156.5,143.06,152.2,22891021.0
2026-05-29,151.65,152.64,136.31,141.94,26470216.0
2026-06-01,140.0,140.0,130.67,131.04,17331496.0
2026-06-02,133.0,141.21,131.01,137.9,18342662.0
2026-06-03,140.05,143.5,133.02,135.84,20300985.0
2026-06-04,131.11,142.19,131.11,139.38,19069545.0
2026-06-05,139.35,144.8,134.21,134.96,20761561.0
2026-06-08,127.0,131.2,123.36,123.8,18085505.0
2026-06-09,126.27,129.97,124.06,128.98,13656659.0
2026-06-10,132.0,144.45,127.2,139.91,27118425.0
2026-06-11,137.1,145.5,137.0,142.0,23867526.0
2026-06-12,145.01,149.8,140.0,140.6,19403805.0
2026-06-15,142.98,151.0,139.0,150.79,19039978.0
2026-06-16,148.51,151.99,145.5,147.44,16901249.0
2026-06-17,147.44,158.68,145.38,157.05,20756153.0
2026-06-18,155.7,162.98,153.78,158.0,19064063.0
2026-06-22,162.0,165.13,143.57,147.59,30305347.0
2026-06-23,149.01,151.13,142.3,144.18,17260937.0
2026-06-24,143.9,152.43,143.5,148.91,20500906.0
2026-06-25,149.28,154.95,146.18,153.88,23166969.0
2026-06-26,150.0,153.2,144.15,144.82,17819807.0
2026-06-29,152.0,173.78,152.0,171.0,41764394.0
2026-06-30,174.52,191.8,170.58,187.51,31047602.0
2026-07-01,189.0,191.37,178.13,180.55,21466122.0
2026-07-02,179.65,192.6,178.18,179.4,29520465.0
2026-07-03,186.4,191.0,180.0,180.0,23146391.0
2026-07-06,186.47,212.58,183.3,201.26,33857968.0
2026-07-07,200.51,212.0,196.0,199.4,24110495.0
2026-07-08,209.99,217.95,204.13,205.98,26047049.0
2026-07-09,205.0,209.88,194.0,209.68,26841589.0
2026-07-10,220.0,228.16,201.35,202.0,27909134.0
2026-07-13,206.0,220.0,200.0,204.5,28083788.0
2026-07-14,217.0,217.78,168.0,180.35,42249568.0
2026-07-15,179.33,181.33,165.32,168.0,27402850.0
2026-07-16,160.0,176.8,160.0,170.85,22175600.0
2026-07-17,166.99,166.99,141.5,141.66,26889264.0
2026-07-20,152.3,154.78,136.08,143.48,25623623.0
2026-07-21,145.77,160.42,132.1,160.42,29541598.0
2026-07-22,158.03,177.72,158.0,169.49,32609931.0
2026-07-23,169.0,172.28,154.58,155.62,24256051.0
2026-07-24,152.51,160.98,152.51,153.52,16462016.0
2026-07-27,150.0,154.5,145.5,152.99,17021913.0
2026-07-28,146.5,149.54,137.39,137.8,17035613.0
2026-07-29,138.72,140.8,125.03,134.46,21325703.0
2026-07-30,134.96,136.95,119.58,120.08,19063829.0
2026-07-31,131.0,142.18,129.0,137.9,23490231.0
2026-08-03,135.0,138.44,125.8,127.16,18318147.0
2026-08-04,128.1,140.34,127.0,138.75,18486333.0
2026-08-05,138.75,146.99,138.59,143.44,19591981.0
2026-08-06,140.02,150.5,139.18,146.99,17680915.0
2026-08-07,146.9,152.53,144.11,150.55,16796823.0
2026-08-10,153.04,153.55,145.68,149.3,12753776.0
2026-08-11,147.33,153.0,146.2,147.78,11741441.0
2026-08-12,148.47,150.76,145.32,148.18,11218907.0
2026-08-13,152.6,156.85,147.16,147.2,20851245.0
2026-08-14,149.5,151.5,143.54,148.36,14323543.0
2026-08-17,149.82,155.43,148.0,155.03,15212445.0
2026-08-18,155.86,158.55,149.8,156.22,18982878.0
2026-08-19,148.18,149.99,136.0,136.8,19032940.0
2026-08-20,140.0,140.33,133.96,135.6,10778614.0
2026-08-21,135.0,143.23,134.51,139.09,10654681.0
