theme,ticker,name,buy_date,ignition_date,lag_trading_days,missed_pct_ignition_to_buy,captured_pct_buy_to_now,total_run_pct_ignition_to_now
资源_钨钼稀土锂,603505,金石资源,2026-06-25,2026-07-02,-5,2.6,-21.06,-19.01
资源_钨钼稀土锂,603505,金石资源,2026-06-30,2026-07-02,-2,-2.09,-17.28,-19.01
氟化工制冷剂,605020,永和股份,2026-06-30,2026-06-24,4,7.94,-25.73,-19.83
半导体设备材料,002371,北方华创,2026-06-30,2026-07-21,-15,21.75,-22.04,-5.08
氟化工制冷剂,600160,巨化股份,2026-07-01,2026-06-24,5,16.27,-31.05,-19.83
半导体设备材料,688019,安集科技,2026-07-01,2026-07-21,-14,20.61,-21.3,-5.08
氟化工制冷剂,605020,永和股份,2026-07-01,2026-06-24,5,16.27,-31.05,-19.83
资源_钨钼稀土锂,002378,章源钨业,2026-07-02,2026-07-02,0,0.0,-19.01,-19.01
资源_钨钼稀土锂,000657,中钨高新,2026-07-02,2026-07-02,0,0.0,-19.01,-19.01
资源_钨钼稀土锂,300748,金力永磁,2026-07-03,2026-07-02,1,-3.65,-15.94,-19.01
资源_钨钼稀土锂,000831,中国稀土,2026-07-03,2026-07-02,1,-3.65,-15.94,-19.01
资源_钨钼稀土锂,600549,厦门钨业,2026-08-10,2026-07-02,27,-15.41,-4.25,-19.01
资源_钨钼稀土锂,600111,北方稀土,2026-08-10,2026-07-02,27,-15.41,-4.25,-19.01
氟化工制冷剂,600160,巨化股份,2026-08-10,2026-06-24,33,-12.15,-8.74,-19.83
AI算力_PCB光模块液冷,300408,三环集团,2026-08-10,2026-08-04,4,9.22,-0.25,8.95
资源_钨钼稀土锂,002842,翔鹭钨业,2026-08-11,2026-07-02,28,-18.41,-0.74,-19.01
半导体设备材料,688206,概伦电子,2026-08-11,2026-07-21,15,-7.06,2.13,-5.08
AI算力_PCB光模块液冷,301018,申菱环境,2026-08-11,2026-08-04,5,9.48,-0.49,8.95
半导体设备材料,688082,盛美上海,2026-08-12,2026-07-21,16,-5.14,0.05,-5.08
半导体设备材料,688627,精智达,2026-08-13,2026-07-21,17,-6.82,1.87,-5.08
AI算力_PCB光模块液冷,600183,生益科技,2026-08-17,2026-08-04,9,17.95,-7.63,8.95
AI算力_PCB光模块液冷,300408,三环集团,2026-08-17,2026-08-04,9,17.95,-7.63,8.95
半导体设备材料,688627,精智达,2026-08-17,2026-07-21,19,0.54,-5.59,-5.08
资源_钨钼稀土锂,600549,厦门钨业,2026-08-17,2026-07-02,32,-16.24,-3.3,-19.01
AI算力_PCB光模块液冷,301018,申菱环境,2026-08-17,2026-08-04,9,17.95,-7.63,8.95
半导体设备材料,688206,概伦电子,2026-08-17,2026-07-21,19,0.54,-5.59,-5.08
