date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,48.6,49.2,47.91,48.74,47849472.0,2331829789.0,1452925342.0,0.0329331938929041,,0
2026-04-02,47.88,48.04,45.43,46.05,54132034.0,2524955532.0,1452925342.0,0.03725727154396347,-5.519080837094803,0
2026-04-03,46.74,47.12,45.88,46.15,35531363.0,1652537007.0,1452925342.0,0.02445505076750186,0.21715526601520097,0
2026-04-07,46.75,48.42,46.45,47.52,45410786.0,2170213539.0,1452925342.0,0.03125472774636207,2.9685807150595878,0
2026-04-08,48.87,49.7,48.1,49.32,88184007.0,4338422975.0,1452925342.0,0.06069410757101379,3.7878787878787845,0
2026-04-09,48.3,49.97,47.81,49.02,52365661.0,2571451774.0,1452925342.0,0.036041535986919275,-0.6082725060827188,0
2026-04-10,49.07,49.74,47.08,48.85,89839285.0,4392115959.0,1452925342.0,0.06183338014899874,-0.3467972256221974,0
2026-04-13,48.18,49.17,46.83,48.23,63769887.0,3065662166.0,1452925342.0,0.04389068395779967,-1.2691914022518014,0
2026-04-14,49.05,50.41,48.24,49.81,85461098.0,4239637555.0,1452925342.0,0.058820020223723235,3.2759693137051737,0
2026-04-15,50.83,50.88,46.68,47.06,120017198.0,5838280565.0,1452925342.0,0.08260383003216967,-5.520979722947194,0
2026-04-16,47.49,51.77,45.48,51.77,124722478.0,6131238235.0,1452925342.0,0.08584231714777261,10.00849978750531,1
2026-04-17,53.36,56.94,53.23,55.98,194577650.0,10784247438.0,1452925342.0,0.13392129958457288,8.132122851072033,0
2026-04-20,57.01,60.59,57.01,58.39,144161564.0,8498681820.0,1452925342.0,0.09922159097421814,4.305108967488391,0
2026-04-21,57.85,58.54,56.73,57.66,72538827.0,4193403871.0,1452925342.0,0.04992605256657434,-1.2502140777530424,0
2026-04-22,57.59,59.51,56.56,57.98,95316498.0,5557279786.0,1452925342.0,0.0656031629738068,0.5549774540409391,0
2026-04-23,57.63,58.05,54.86,56.42,91787301.0,5170734181.0,1452925342.0,0.06317413451791799,-2.6905829596412523,0
2026-04-24,55.17,56.77,53.16,55.04,75265465.0,4134060173.0,1452925342.0,0.0518027064600543,-2.4459411556185806,0
2026-04-27,53.87,56.59,53.41,53.69,87114110.0,4780042972.0,1452925342.0,0.05995773318956949,-2.452761627906974,0
2026-04-28,53.68,54.36,51.0,51.97,68115231.0,3566385335.0,1452925342.0,0.046881439142796646,-3.203576084932014,0
2026-04-29,51.94,57.16,51.67,57.16,82662710.0,4551254146.0,1452925342.0,0.05689398320096202,9.986530690783146,1
2026-04-30,57.85,59.75,57.15,58.04,124194845.0,7249828212.0,1452925342.0,0.08547916497143733,1.5395381385584272,0
2026-05-06,58.32,62.67,55.54,61.83,143311628.0,8482498686.0,1452925342.0,0.09863660840461821,6.52997932460373,0
2026-05-07,62.72,64.14,60.89,63.03,107847767.0,6740165274.0,1452925342.0,0.07422801700983753,1.9408054342552106,0
2026-05-08,61.64,62.63,59.55,60.31,107252728.0,6522225957.0,1452925342.0,0.07381847153437565,-4.315405362525782,0
2026-05-11,59.85,61.6,58.97,60.48,94408789.0,5701100012.0,1452925342.0,0.06497841717733628,0.281876968993533,0
2026-05-12,60.72,60.83,58.38,59.53,63491591.0,3771264559.0,1452925342.0,0.04369914211324975,-1.5707671957671865,0
2026-05-13,59.18,63.14,58.94,62.3,100348829.0,6227342107.0,1452925342.0,0.06906674837253957,4.653116075928088,0
2026-05-14,61.68,63.09,58.65,58.9,75956668.0,4584755471.0,1452925342.0,0.05227843840581865,-5.457463884430169,0
2026-05-15,58.39,58.97,55.86,56.32,67573654.0,3871933111.0,1452925342.0,0.046508689776848834,-4.3803056027164615,0
2026-05-18,56.07,58.49,55.74,56.81,54450038.0,3119495222.0,1452925342.0,0.037476143079070885,0.8700284090909172,0
2026-05-19,56.33,56.65,52.4,53.83,70655879.0,3802919753.0,1452925342.0,0.048630082329447044,-5.245555359971843,0
2026-05-20,53.87,55.15,52.58,55.04,69210286.0,3733284871.0,1452925342.0,0.04763512893562015,2.247817202303559,0
2026-05-21,54.99,60.34,54.76,56.56,103005947.0,5976636439.0,1452925342.0,0.070895553971279,2.76162790697676,0
2026-05-22,57.09,62.22,57.05,62.22,91808038.0,5545023114.0,1452925342.0,0.06318840710261353,10.007072135785,1
2026-05-25,64.63,65.13,62.04,64.05,114812248.0,7320851994.0,1452925342.0,0.07902143673945224,2.941176470588225,0
2026-05-26,63.78,68.72,62.87,67.52,128696194.0,8535650164.0,1452925342.0,0.08857729318895727,5.417642466822792,0
2026-05-27,68.62,68.64,63.44,64.66,105181964.0,6890897902.0,1452925342.0,0.07239323381558858,-4.235781990521326,0
2026-05-28,64.51,70.2,64.05,68.79,109691333.0,7407010187.0,1452925342.0,0.07549688193132224,6.387256418187448,0
2026-05-29,68.79,70.78,66.53,67.83,99087721.0,6804776314.0,1452925342.0,0.0681987698442939,-1.3955516790231215,0
2026-06-01,67.85,70.62,62.85,63.02,93046973.0,6103847868.0,1452925342.0,0.06404112469531142,-7.091257555653829,0
2026-06-02,63.97,66.93,61.14,66.34,83473327.0,5381284925.0,1452925342.0,0.05745190381571581,5.268168835290377,0
2026-06-03,65.72,72.97,64.94,71.53,122703061.0,8723599980.0,1452925342.0,0.08445241985461907,7.823334338257459,0
2026-06-04,70.32,74.62,68.82,74.14,105633213.0,7680795539.0,1452925342.0,0.07270381343517099,3.648818677477972,0
2026-06-05,72.84,74.12,69.36,69.92,82307842.0,5915390210.0,1452925342.0,0.056649739405536505,-5.691934178581059,0
2026-06-08,65.83,72.05,64.4,67.75,93559607.0,6368677107.0,1452925342.0,0.06439395356076046,-3.1035469107551505,0
2026-06-09,68.82,71.0,67.11,70.62,80143039.0,5582056011.0,1452925342.0,0.055159777782993615,4.23616236162363,0
2026-06-10,69.0,74.41,68.02,72.71,102132158.0,7404502193.0,1452925342.0,0.07029415417822618,2.9595015576323824,0
2026-06-11,72.61,79.4,72.03,77.75,133126841.0,10257812574.0,1452925342.0,0.09162675958060341,6.9316462659881894,0
2026-06-12,80.1,84.1,75.49,78.8,162065929.0,13017985890.0,1452925342.0,0.1115445675804036,1.3504823151125445,0
2026-06-15,80.59,86.68,77.79,86.68,121046353.0,9967499760.0,1452925342.0,0.08331216305538154,10.000000000000009,1
2026-06-16,89.25,93.9,88.78,92.26,123109335.0,11276243521.0,1452925342.0,0.0847320446834081,6.437471158283348,0
2026-06-17,88.77,91.88,87.77,89.3,107842794.0,9670875908.0,1452925342.0,0.07422459425998504,-3.2083243008887985,0
2026-06-18,88.52,98.23,88.52,98.23,91463421.0,8568251961.0,1452925342.0,0.0629512187282091,10.000000000000009,1
2026-06-22,102.82,108.05,101.32,108.05,83131912.0,8883732612.0,1452925342.0,0.0572169192709972,9.996945943194536,1
2026-06-23,113.7,113.7,100.82,102.24,138386560.0,14706524343.0,1452925342.0,0.09524684854729445,-5.3771402128644175,0
2026-06-24,99.6,101.7,94.55,99.82,119890241.0,11846475064.0,1452925342.0,0.08251644976813957,-2.3669796557120537,0
2026-06-25,100.74,107.3,97.75,105.41,102920623.0,10708709614.0,1452925342.0,0.070836828311031,5.600080144259678,0
2026-06-26,102.8,109.4,98.75,99.25,93694195.0,9692234922.0,1452925342.0,0.06448658598729294,-5.843847832273974,0
2026-06-29,97.75,101.24,91.44,95.32,101509980.0,9715373790.0,1452925342.0,0.06986592983523031,-3.9596977329974914,0
2026-06-30,93.76,97.05,92.28,95.47,77555594.0,7376337618.0,1452788777.0,0.053383943507707865,0.1573646663869166,0
2026-07-01,98.36,101.07,94.17,95.69,75893082.0,7412197488.0,1452788777.0,0.05223958444717528,0.23043888132396884,0
2026-07-02,90.77,101.24,90.45,96.78,105477279.0,10200799116.0,1452788777.0,0.07260331348223238,1.1390949942522655,0
2026-07-03,94.76,96.28,87.65,89.4,97998866.0,8862294532.0,1452788777.0,0.06745568767564894,-7.625542467451951,0
2026-07-06,89.76,90.58,80.46,80.46,108886240.0,9138123574.0,1452788777.0,0.07494980806834799,-10.000000000000009,0
2026-07-07,80.13,80.8,75.41,76.84,75316177.0,5875928358.0,1452788777.0,0.05184248267358414,-4.499130002485696,0
2026-07-08,77.61,78.79,72.98,73.95,61113918.0,4606086109.0,1452788777.0,0.04206662315095789,-3.761061946902655,0
2026-07-09,75.0,76.46,71.06,75.99,67284869.0,4998501783.0,1452788777.0,0.04631428192812918,2.7586206896551557,0
2026-07-10,75.99,80.11,74.6,74.71,78360624.0,6049043156.0,1452788777.0,0.05393807086107467,-1.6844321621265923,0
2026-07-13,74.23,76.0,68.7,69.36,67867509.0,4863855117.0,1452788777.0,0.04671533128177518,-7.161022620800416,0
2026-07-14,69.5,75.25,69.01,74.79,73565617.0,5332929766.0,1452788777.0,0.050637517417991454,7.828719723183397,0
2026-07-15,76.0,76.5,69.55,69.8,66546797.0,4793136326.0,1452788777.0,0.045806243862524,-6.6720149752640845,0
2026-07-16,68.55,70.63,66.37,67.25,51112611.0,3497411136.0,1452788777.0,0.035182410415881125,-3.6532951289398263,0
2026-07-17,67.51,67.93,60.53,60.76,67021754.0,4222338907.0,1452788777.0,0.04613317163586541,-9.650557620817846,0
2026-07-20,63.79,64.0,54.68,56.04,75286413.0,4426372609.0,1452788777.0,0.05182199518051481,-7.7682685977616845,0
2026-07-21,57.49,60.69,50.82,60.44,93047681.0,5244804507.0,1452788777.0,0.06404763202545032,7.851534618129907,0
2026-07-22,59.79,62.6,57.19,58.11,73840172.0,4450998232.0,1452788777.0,0.05082650222042567,-3.855062872270021,0
2026-07-23,58.8,59.4,56.9,57.75,48655652.0,2823275312.0,1452788777.0,0.03349120861222071,-0.619514713474445,0
2026-07-24,56.49,58.5,55.3,55.51,43545766.0,2458575539.0,1452788777.0,0.029973914095015066,-3.8787878787878816,0
2026-07-27,56.34,58.99,54.43,58.99,54121885.0,3090142265.0,1452788777.0,0.037253787926254056,6.269140695370212,0
2026-07-28,57.78,58.78,53.48,53.98,61003825.0,3408831299.0,1452788777.0,0.04199084269219957,-8.492964909306666,0
2026-07-29,53.68,54.55,50.61,52.54,61481452.0,3211853409.0,1452788777.0,0.042319608310134954,-2.6676546869210727,0
2026-07-30,52.57,53.58,47.47,48.4,67726245.0,3364472912.0,1452788777.0,0.04661809484779631,-7.879710696612108,0
2026-07-31,51.88,52.98,49.51,49.51,65085403.0,3333723661.0,1452788777.0,0.04480032061811557,2.2933884297520635,0
2026-08-03,49.59,50.24,47.66,47.99,48636670.0,2364344353.0,1453452006.9999998,0.03346286617360597,-3.070086851141174,0
2026-08-04,48.61,52.79,48.12,52.21,80979705.0,4147576143.0,1453452006.9999998,0.0557154309946197,8.793498645551146,0
