date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,40.2,40.77,38.41,39.43,43543695.0,1720339924.0,912908722.0,0.04769775329192221,,0
2026-04-02,39.12,41.11,38.89,39.69,49336435.0,1977196147.0,912908722.0,0.05404311932951387,0.6593963986812001,0
2026-04-03,39.69,40.15,37.54,38.99,41520275.0,1609435749.0,912908722.0,0.04548129949841798,-1.7636684303350858,0
2026-04-07,39.36,39.5,37.73,38.8,30726941.0,1183500381.0,912908722.0,0.03365828396587496,-0.487304437035152,0
2026-04-08,38.69,39.7,38.13,39.54,48264019.0,1884786958.0,912908722.0,0.05286839509459742,1.9072164948453763,0
2026-04-09,40.05,40.6,38.33,39.0,43665228.0,1718874019.0,912908722.0,0.0478308805116225,-1.365705614567525,0
2026-04-10,39.2,41.0,38.97,40.78,61698344.0,2485511750.0,912908722.0,0.06758435154922313,4.564102564102557,0
2026-04-13,41.99,44.86,41.99,44.86,69691659.0,3008559330.0,912908722.0,0.07634022692577583,10.004904364884748,1
2026-04-14,46.01,48.57,45.32,48.48,94375682.0,4459209900.0,912908722.0,0.10337909993152634,8.069549710209545,0
2026-04-15,47.97,48.0,45.4,46.27,69517818.0,3234261998.0,912908722.0,0.07614980153514186,-4.558580858085792,0
2026-04-16,47.74,50.9,47.13,49.8,86705902.0,4306693585.0,912908722.0,0.09497762471810407,7.629133347741512,0
2026-04-17,49.58,51.47,49.3,50.3,76055489.0,3830582007.0,912908722.0,0.08331116481544582,1.0040160642570184,0
2026-04-20,50.13,50.83,49.04,49.7,49189500.0,2448638885.0,912908722.0,0.053882166764970395,-1.1928429423459175,0
2026-04-21,49.7,50.15,48.38,48.45,56812027.0,2783435713.0,912908722.0,0.06223188105327358,-2.515090543259557,0
2026-04-22,47.94,49.43,47.4,48.0,45181601.0,2166735550.0,912908722.0,0.0494919151402302,-0.9287925696594534,0
2026-04-23,48.47,48.47,45.4,46.3,48282377.0,2244574696.0,912908722.0,0.05288850444349243,-3.5416666666666763,0
2026-04-24,46.01,50.93,46.01,50.93,65004473.0,3174971097.0,912908722.0,0.0712058844805297,10.000000000000009,1
2026-04-27,51.01,53.36,50.93,52.12,63561332.0,3323849088.0,912908722.0,0.06962506816754896,2.3365403494993053,0
2026-04-28,52.23,52.77,50.06,51.03,40486106.0,2071395624.0,912908722.0,0.044348471018332544,-2.091327705295465,0
2026-04-29,50.11,55.54,49.8,54.63,70648999.0,3740906841.0,912908722.0,0.07738889693727781,7.054673721340388,0
2026-04-30,55.26,60.09,55.26,60.09,88936050.0,5239227874.0,912908722.0,0.09742052831433021,9.9945085118067,1
2026-05-06,60.76,63.13,58.9,62.14,80101938.0,4906771057.0,912908722.0,0.08774364410114596,3.4115493426526866,0
2026-05-07,61.81,62.0,58.06,59.6,75081905.0,4459100876.0,912908722.0,0.08224470113015307,-4.087544254908271,0
2026-05-08,59.4,61.91,57.15,57.52,67110745.0,3961980673.0,912908722.0,0.07351309433540498,-3.489932885906033,0
2026-05-11,58.66,59.3,56.8,57.81,57730251.0,3332740747.0,912908722.0,0.06323770340754833,0.5041724617524279,0
2026-05-12,57.88,58.36,55.7,56.89,51453440.0,2914920339.0,912908722.0,0.05636208611007224,-1.5914201695208519,0
2026-05-13,57.0,57.32,54.16,55.0,67880413.0,3749618043.0,912908722.0,0.07435618848211639,-3.322200738266834,0
2026-05-14,54.75,55.27,52.6,52.81,50513595.0,2714907621.0,912908722.0,0.055332580117467646,-3.9818181818181753,0
2026-05-15,52.7,53.95,50.66,51.06,56305554.0,2939596916.0,912908722.0,0.06167709064784244,-3.3137663321340605,0
2026-05-18,51.0,53.39,50.0,51.45,46439316.0,2402106182.0,912908722.0,0.05086961585629368,0.763807285546414,0
2026-05-19,50.53,50.6,48.22,48.82,54721325.0,2675011589.0,912908722.0,0.05994172657274711,-5.111758989310012,0
2026-05-20,48.39,52.9,47.68,51.56,72365855.0,3643791248.0,912908722.0,0.07926954059707188,5.612453912331006,0
2026-05-21,50.8,52.1,48.82,48.98,57386493.0,2895710089.0,912908722.0,0.06286115097496023,-5.00387897595036,0
2026-05-22,48.79,49.65,47.67,49.11,43479189.0,2126576693.0,912908722.0,0.04762709343464899,0.2654144548795534,0
2026-05-25,49.45,50.2,48.0,48.51,43632995.0,2136098542.0,912908722.0,0.047795572490981195,-1.221747098350645,0
2026-05-26,47.51,50.43,46.72,49.23,53408459.0,2600844771.0,912908722.0,0.05850361346421663,1.4842300556586308,0
2026-05-27,49.18,49.99,47.35,47.74,41743261.0,2028937129.0,912908722.0,0.045725558310527346,-3.0266097907779677,0
2026-05-28,48.69,49.6,45.8,47.16,42235931.0,1991317372.0,912908722.0,0.04626522891299531,-1.2149141181399314,0
2026-05-29,47.48,47.98,45.2,45.45,46415875.0,2142328653.0,912908722.0,0.05084393859039064,-3.625954198473269,0
2026-06-01,45.34,45.85,43.65,43.76,47465059.0,2121172446.0,912908722.0,0.051993214497955034,-3.7183718371837315,0
2026-06-02,43.83,43.98,41.6,43.16,41338677.0,1760318190.0,912908722.0,0.04528237709180305,-1.3711151736745975,0
2026-06-03,42.7,44.82,42.25,43.81,37900335.0,1665681815.0,912908722.0,0.04151601807130067,1.506024096385561,0
2026-06-04,43.44,43.65,42.0,42.49,31384703.0,1335112194.0,912908722.0,0.03437879630642854,-3.013010728144261,0
2026-06-05,42.76,44.89,41.36,43.55,51980056.0,2255473843.0,912908722.0,0.0569389411529798,2.4947046363850145,0
2026-06-08,43.0,45.02,41.56,42.62,49750583.0,2154119742.0,912908722.0,0.05449677695159539,-2.1354764638346735,0
2026-06-09,43.51,46.88,42.7,46.88,60914818.0,2715166730.0,912908722.0,0.06672607735256143,9.99530736743315,1
2026-06-10,47.7,49.08,47.1,47.7,91641044.0,4408026277.0,912908722.0,0.10038357810760407,1.7491467576791875,0
2026-06-11,47.7,52.2,46.53,50.98,102428990.0,5110486936.0,912908722.0,0.11220069162621057,6.876310272536679,0
2026-06-12,50.0,54.05,49.1,51.08,101491174.0,5251669611.0,912908722.0,0.11117340819973018,0.1961553550412054,0
2026-06-15,51.1,53.47,49.15,51.63,89659135.0,4548388126.0,912908722.0,0.09821259545376541,1.0767423649177932,0
2026-06-16,50.52,50.55,48.8,48.81,83972550.0,4148873438.0,912908722.0,0.09198351157828022,-5.461940732132486,0
2026-06-17,48.81,50.19,47.87,48.3,59061774.0,2889088669.0,912908722.0,0.06469625338950372,-1.044867854947762,0
2026-06-18,47.0,49.08,45.57,45.74,81052311.0,3785751224.0,912908722.0,0.08878468246248172,-5.300207039337468,0
2026-06-22,44.72,47.01,42.52,46.98,95259679.0,4234024515.0,912908722.0,0.10434743003802739,2.7109750765194507,0
2026-06-23,46.01,46.2,42.9,43.05,69124777.0,3046660571.0,912908722.0,0.07571926451591071,-8.365261813537671,0
2026-06-24,43.05,47.36,42.52,47.36,78916487.0,3597475452.0,912908722.0,0.08644510135373644,10.011614401858315,1
2026-06-25,46.88,49.5,46.3,46.51,82224576.0,3920241618.0,912908722.0,0.09006878126858339,-1.7947635135135198,0
2026-06-26,46.48,46.7,42.25,42.35,67558968.0,2958615267.0,912908722.0,0.07400407770449585,-8.944313050956776,0
2026-06-29,41.53,43.29,40.05,42.57,59151937.0,2477680427.0,912908722.0,0.06479501791856032,0.5194805194805197,0
2026-06-30,42.95,46.57,42.45,44.83,64925054.0,2863152779.0,912908722.0,0.0711188889265536,5.308902983321584,0
2026-07-01,44.85,46.43,43.16,45.65,62817942.0,2825214186.0,912908722.0,0.0688107589358753,1.829132277492751,0
2026-07-02,45.67,45.9,43.46,43.6,46545068.0,2065853308.0,912908722.0,0.05098545657229464,-4.490690032858701,0
2026-07-03,44.45,44.8,42.03,42.1,44917964.0,1932871834.0,912908722.0,0.04920312723225356,-3.4403669724770602,0
2026-07-06,41.93,44.41,41.4,41.43,51960317.0,2228691104.0,912908722.0,0.056917319057008635,-1.5914489311163904,0
2026-07-07,42.5,44.0,41.61,42.38,53241272.0,2275566948.0,912908722.0,0.058320476863622295,2.2930243784697213,0
2026-07-08,41.0,41.98,38.14,38.14,57127110.0,2234846305.0,912908722.0,0.06257702289758603,-10.004719207173196,0
2026-07-09,36.03,37.3,34.33,35.55,87992251.0,3101559040.0,912908722.0,0.09638669111105283,-6.7907708442580095,0
2026-07-10,35.0,35.69,34.05,34.1,67277482.0,2340681487.0,912908722.0,0.07369573800610484,-4.078762306610395,0
2026-07-13,34.09,34.09,31.9,32.19,47648677.0,1555876519.0,912908722.0,0.05219434961209627,-5.601173020527872,0
2026-07-14,32.7,33.18,31.65,33.08,41292219.0,1343390229.0,912908722.0,0.045231487009497535,2.7648337993165573,0
2026-07-15,33.08,33.2,31.0,31.11,45619066.0,1453662547.0,912908722.0,0.049971114198643835,-5.955259975816196,0
2026-07-16,30.81,31.2,29.95,30.17,44307828.0,1352912115.0,912908722.0,0.0485347844009316,-3.0215364834458303,0
2026-07-17,30.1,30.86,28.6,28.88,44771436.0,1327441280.0,912908722.0,0.049042620495414656,-4.275770633079223,0
2026-07-20,28.71,29.0,25.99,25.99,55407734.0,1500479832.0,912908722.0,0.06069361883038291,-10.006925207756234,0
2026-07-21,26.09,27.5,24.59,27.39,62906969.0,1652351269.0,912908722.0,0.0689082790907983,5.3866871873797795,0
2026-07-22,27.1,28.38,26.86,27.65,48743245.0,1350839127.0,912908722.0,0.053393339142618026,0.9492515516611899,0
2026-07-23,27.99,30.42,27.8,30.42,59042321.0,1740611299.0,912908722.0,0.06467494457786548,10.018083182640147,1
2026-07-24,29.82,30.23,28.31,28.46,65655291.0,1910246307.0,912908722.0,0.07191879036511166,-6.443129520052604,0
