date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,454.79,460.82,449.61,450.12,6335503.0,2890025430.0,724253264.0,0.008747634722430467,,0
2026-04-02,450.18,451.39,434.83,437.6,7491523.0,3301989550.0,724253264.0,0.010343789075419342,-2.7814804940904603,0
2026-04-03,438.7,440.2,423.68,426.06,6688506.0,2875203483.0,724253264.0,0.009235037427459906,-2.637111517367463,0
2026-04-07,424.68,430.61,421.87,423.7,4582385.0,1950908380.0,724253264.0,0.00632704777150994,-0.5539125944702628,0
2026-04-08,436.6,465.55,436.6,463.56,14194804.0,6447293265.0,724253264.0,0.01959922682516209,9.407599716780734,0
2026-04-09,460.58,477.57,457.6,472.41,9302856.0,4380051604.0,724253264.0,0.012844755367232974,1.909137975666586,0
2026-04-10,474.57,483.97,474.57,476.46,7758320.0,3723635013.0,724253264.0,0.010712164356914793,0.8573061535530391,0
2026-04-13,475.47,480.07,466.78,472.07,6508971.0,3084163129.0,724253264.0,0.008987147622989518,-0.9213784997691321,0
2026-04-14,477.57,491.55,475.68,481.16,7411360.0,3586896150.0,724253264.0,0.010233105418217349,1.925561887008298,0
2026-04-15,482.62,484.56,473.56,474.57,6395140.0,3065523285.0,724253264.0,0.008829977464899627,-1.369606783606292,0
2026-04-16,474.57,477.45,467.22,473.13,6324788.0,2981816295.0,724253264.0,0.00873284017398643,-0.3034325810733929,0
2026-04-17,469.57,476.07,464.38,469.48,9546522.0,4481463211.0,724253264.0,0.01318119292590444,-0.7714581616046323,0
2026-04-20,446.6,475.7,444.6,470.8,18683743.0,8616839068.0,724253264.0,0.025797250670036333,0.281162136832247,0
2026-04-21,471.53,471.57,446.31,449.95,16005608.0,7231305511.0,724253264.0,0.02209946270949771,-4.4286321155480035,0
2026-04-22,448.59,477.57,447.59,477.52,17438281.0,8193670758.0,724253264.0,0.0240776008432321,6.12734748305368,0
2026-04-23,477.57,484.51,470.15,474.57,9735285.0,4647452972.0,724253264.0,0.01344182412963209,-0.6177751717205582,0
2026-04-24,474.6,484.78,463.38,472.27,12979344.0,6164129852.0,724253264.0,0.01792100173400116,-0.48464926143667597,0
2026-04-27,480.76,519.43,475.53,515.78,20432930.0,10278053349.0,724253264.0,0.02821240996160702,9.212950219154292,0
2026-04-28,511.08,536.76,503.54,516.74,13825357.0,7207868964.0,724253264.0,0.01908911935535302,0.1861258676179922,0
2026-04-29,509.76,516.75,501.75,510.25,9302570.0,4737543676.0,724253264.0,0.012844360477745807,-1.255950768278058,0
2026-04-30,518.71,540.67,506.63,536.5,16592589.0,8805165448.0,724253264.0,0.022909926437003948,5.144536991670745,0
2026-05-06,554.5,566.49,544.51,544.86,16027771.0,8898490131.0,724253264.0,0.02213006388328821,1.5582479030754826,0
