date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,78.14,79.44,77.45,78.92,65809239.0,5195079207.0,1922810486.0,0.034225546136323705,,0
2026-04-02,78.63,78.73,75.54,75.92,52727564.0,4069530948.0,1922810486.0,0.027422132541875477,-3.801317790167258,0
2026-04-03,77.03,77.92,75.77,75.97,49666067.0,3822047910.0,1922810486.0,0.02582993350702998,0.06585879873550748,0
2026-04-07,76.16,77.49,74.98,76.08,50352868.0,3855496915.0,1922810486.0,0.026187119514179725,0.14479399763063228,0
2026-04-08,78.93,83.68,78.46,83.68,99513491.0,8144604300.0,1922810486.0,0.05175418572166035,9.989484752891698,1
2026-04-09,84.29,86.71,83.76,85.44,101395352.0,8702831456.0,1922810486.0,0.052732889038342806,2.1032504780114536,0
2026-04-10,86.16,89.24,84.65,87.91,88190107.0,7745191152.0,1922810486.0,0.045865210140111544,2.890917602996246,0
2026-04-13,86.1,90.2,86.01,88.26,75493194.0,6708129088.0,1922810486.0,0.039261900509523225,0.39813445569332195,0
2026-04-14,91.26,97.09,90.46,97.09,93744080.0,8999482501.0,1922810486.0,0.04875367628923988,10.00453206435532,1
2026-04-15,98.14,98.67,91.57,92.35,133625801.0,12709371921.0,1922810486.0,0.06949504486944014,-4.8820681841590385,0
2026-04-16,91.82,95.02,91.48,93.96,77292906.0,7245590918.0,1922810486.0,0.040197880426994924,1.743367623172709,0
2026-04-17,93.25,98.92,93.17,97.21,93020751.0,9022508009.0,1922810486.0,0.048377493090080846,3.458918688803747,0
2026-04-20,96.55,100.85,95.9,97.55,78244068.0,7705709862.0,1922810486.0,0.04069255320256247,0.349758255323529,0
2026-04-21,96.06,100.53,95.41,99.36,71561271.0,7067499211.0,1922810486.0,0.03721701723650783,1.8554587391081512,0
2026-04-22,99.46,103.52,98.92,102.79,72996366.0,7433052197.0,1922810486.0,0.03796337004165891,3.4520933977455703,0
2026-04-23,104.54,108.75,102.79,106.13,99167351.0,10565056376.0,1922810486.0,0.05157416798069199,3.2493433213347522,0
