date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,32.0,32.86,31.08,32.1,36698950.0,1174089606.0,268462359.0,0.1367005420674263,,0
2026-04-02,32.01,32.08,30.24,30.9,32512911.0,1008603371.0,268462359.0,0.12110789431005484,-3.7383177570093573,0
2026-04-03,30.89,31.2,30.04,30.15,20732504.0,633706185.0,268462359.0,0.07722685622381796,-2.4271844660194164,0
2026-04-07,30.23,33.17,30.2,32.2,45838086.0,1477818993.0,268462359.0,0.17074306495235705,6.799336650082943,0
2026-04-08,33.39,33.83,32.78,33.74,44818714.0,1497539871.0,268462359.0,0.16694598887883572,4.7826086956521685,0
2026-04-09,32.95,34.22,32.66,33.49,33389440.0,1119802944.0,268462359.0,0.12437289206715195,-0.7409602845287466,0
2026-04-10,33.89,33.97,32.41,32.77,28622468.0,950100923.0,268462359.0,0.10661631711282102,-2.1498954911914003,0
2026-04-13,32.63,33.22,31.8,32.79,25418620.0,830095394.0,268462359.0,0.09468224929067244,0.06103143118705301,0
2026-04-14,33.44,34.21,32.82,33.24,38146218.0,1280779834.0,268462359.0,0.14209149521777092,1.3723696248856498,0
2026-04-15,33.89,33.99,31.48,31.58,38016708.0,1236530722.0,268462359.0,0.14160908121946436,-4.99398315282793,0
2026-04-16,31.79,34.74,30.88,33.74,70563733.0,2358643241.0,268462359.0,0.26284404734743466,6.839772007599754,0
2026-04-17,33.75,35.38,33.09,33.53,66475680.0,2276218341.0,268462359.0,0.24761638930543703,-0.6224066390041472,0
2026-04-20,33.34,34.89,33.23,34.34,49602162.0,1699997230.0,268462359.0,0.18476393556535797,2.415747092156284,0
2026-04-21,34.0,34.18,32.97,33.26,33132109.0,1111452126.0,268462359.0,0.12341435545532102,-3.145020384391395,0
2026-04-22,32.82,36.18,32.49,34.71,58060132.0,2004682216.0,268462359.0,0.21626917164949744,4.359591100420945,0
2026-04-23,34.8,34.89,31.91,32.21,52058600.0,1712933256.0,268462359.0,0.19391396318617612,-7.20253529242293,0
2026-04-24,31.87,32.41,31.0,31.85,26467565.0,836695789.0,268462359.0,0.09858948233409512,-1.1176653213287757,0
2026-04-27,31.11,31.11,29.59,30.26,31190300.0,948944135.0,268462359.0,0.11618127813590433,-4.992150706436416,0
2026-04-28,30.67,31.9,29.8,31.71,37017540.0,1149420200.0,268462359.0,0.1378872633686423,4.791804362194307,0
2026-04-29,32.81,34.88,32.22,34.88,56929929.0,1916829426.0,268462359.0,0.21205925930197164,9.996846420687477,1
2026-04-30,36.39,38.37,36.39,38.37,87961252.0,3358460816.0,268462359.0,0.32764836131086816,10.00573394495412,1
2026-05-06,38.91,39.52,37.63,39.24,94354389.0,3649169674.0,268462359.0,0.351462265888828,2.2673964034402028,0
2026-05-07,39.37,40.07,38.58,39.01,60810236.0,2387522909.0,268462359.0,0.22651308074067844,-0.5861365953109154,0
2026-05-08,38.31,38.79,37.23,37.43,47829528.0,1808994967.0,268462359.0,0.178161021076329,-4.05024352730069,0
2026-05-11,37.48,37.64,36.72,37.6,40627052.0,1521115982.0,268462359.0,0.15133239591327588,0.4541811381244987,0
