date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,224.44,230.3,222.53,229.61,10884946.0,2483284609.0,664809450.0000001,0.01637303140020046,,0
2026-04-02,226.96,227.62,216.69,217.68,9160793.0,2030380989.0,664809450.0000001,0.013779576990068355,-5.19576673489831,0
2026-04-03,218.73,219.67,209.73,211.5,10333037.0,2213276332.0,664809450.0000001,0.015542855174516545,-2.8390297684674826,0
2026-04-07,212.71,218.01,212.16,214.62,8406380.0,1823388995.0,664809450.0000001,0.012644796189344177,1.4751773049645367,0
2026-04-08,221.36,236.08,220.99,236.08,15538910.0,3613642897.0,664809450.0000001,0.023373479423314452,9.999068120398857,1
2026-04-09,235.61,243.4,234.58,241.54,15347877.0,3689769508.0,664809450.0000001,0.023086129416481665,2.312775330396466,0
2026-04-10,243.52,265.69,243.52,260.45,22883534.0,5954663180.0,664809450.0000001,0.0344211924183689,7.828931025917041,0
2026-04-13,257.44,268.27,257.44,267.07,14178851.0,3778591902.0,664809450.0000001,0.021327691716776887,2.541754655404116,0
2026-04-14,270.5,290.14,267.16,284.05,14708895.0,4176368781.0,664809450.0000001,0.022124978819118766,6.3578837009024,0
2026-04-15,283.26,283.28,267.54,269.3,14292723.0,3947579435.0,664809450.0000001,0.02149897688728702,-5.192747755676819,0
2026-04-16,269.23,270.57,264.74,268.51,9976000.0,2685927707.0,664809450.0000001,0.015005803542654211,-0.2933531377645848,0
2026-04-17,267.83,287.14,264.43,281.35,13350661.0,3732966883.0,664809450.0000001,0.02008193626008174,4.781944806524918,0
2026-04-20,284.11,296.2,283.28,285.89,11157778.0,3238267262.0,664809450.0000001,0.016783422678483283,1.6136484805402418,0
2026-04-21,283.28,294.85,280.79,293.55,12222697.0,3558122150.0,664809450.0000001,0.018385263627043805,2.6793521983979884,0
2026-04-22,295.03,300.98,291.23,299.48,10482358.0,3122418838.0,664809450.0000001,0.015767462390915168,2.0200987906659806,0
2026-04-23,299.58,308.06,292.53,299.48,12233870.0,3698512758.0,664809450.0000001,0.01840206994650873,0.0,0
2026-04-24,303.16,311.11,291.68,299.54,15283019.0,4613979830.0,664809450.0000001,0.022988570634788656,0.0200347268598966,0
2026-04-27,305.54,328.99,305.54,319.86,13828996.0,4461181244.0,664809450.0000001,0.02080144318044817,6.783735060425977,0
2026-04-28,319.38,319.9,306.14,313.03,12091785.0,3801898533.0,664809450.0000001,0.01818834705192593,-2.135309197774038,0
2026-04-29,306.64,316.42,300.18,312.61,9742409.0,3042334300.0,664809450.0000001,0.014654438200299347,-0.13417244353575164,0
2026-04-30,316.76,320.81,306.35,310.62,10249714.0,3227124990.0,664809450.0000001,0.01541752151687976,-0.6365759252743075,0
2026-05-06,323.45,335.73,316.57,316.83,11953673.0,3897876160.0,664809450.0000001,0.017980600305847035,1.9992273517481118,0
2026-05-07,320.81,327.02,316.24,321.55,8517894.0,2769460518.0,664809450.0000001,0.01281253447886458,1.4897579143389184,0
2026-05-08,314.75,327.35,313.2,318.44,9519179.0,3076633826.0,664809450.0000001,0.014318657774795468,-0.967190172601462,0
2026-05-11,323.44,334.16,311.7,331.51,12378468.0,4042044368.0,664809450.0000001,0.01861957287159501,4.104383871372952,0
2026-05-12,331.99,337.55,322.69,327.8,8918105.0,2942192649.0,664809450.0000001,0.013414528027542326,-1.1191215951253275,0
2026-05-13,325.21,348.59,323.05,346.4,11902663.0,4061781703.0,664809450.0000001,0.017903871552969047,5.6741915802318355,0
2026-05-14,346.99,347.89,327.35,329.36,9663095.0,3246933544.0,664809450.0000001,0.014535134842021272,-4.91916859122401,0
2026-05-15,329.36,337.34,316.38,321.3,9823950.0,3205800832.0,664809450.0000001,0.014777091390623281,-2.4471702696137965,0
