date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,54.22,55.29,53.78,54.25,16626471.0,912237554.0,1869803542.0,0.008892095146111344,,0
2026-04-02,54.14,54.24,52.45,52.9,12011969.0,642649105.0,1869803542.0,0.006424187744960427,-2.488479262672816,0
2026-04-03,53.2,55.06,52.72,54.55,18364959.0,1002480720.0,1869803542.0,0.009821865552974762,3.1190926275992403,0
2026-04-07,54.91,56.63,54.48,56.4,24565793.0,1384255191.0,1869803542.0,0.013138167966953183,3.3913840513290605,0
2026-04-08,57.7,58.47,56.35,58.09,29589802.0,1714149362.0,1869803542.0,0.015825086077412082,2.9964539007092394,0
2026-04-09,57.22,58.99,56.93,58.28,19630938.0,1151135128.0,1869803542.0,0.010498930801576158,0.32707867102770294,0
2026-04-10,58.99,60.84,58.83,59.31,31303810.0,1880706692.0,1869803542.0,0.016741764199738583,1.7673301304049538,0
2026-04-13,58.34,61.58,58.34,61.18,25562270.0,1564385414.0,1869803542.0,0.013671099356597539,3.152925307705279,0
2026-04-14,68.8,70.13,63.44,64.27,44091786.0,2868131135.0,1869803542.0,0.02358097255117939,5.050670153644976,0
2026-04-15,66.55,67.21,63.68,64.98,38434787.0,2516323099.0,1869803542.0,0.02055552154901202,1.1047144857631919,0
2026-04-16,64.66,65.49,63.9,64.73,23929666.0,1551568967.0,1869803542.0,0.012797957358880648,-0.3847337642351456,0
2026-04-17,64.57,65.62,63.99,64.83,21565749.0,1404423266.0,1869803542.0,0.011533697800643058,0.1544878727019805,0
2026-04-20,64.38,65.69,62.85,63.16,25583718.0,1647467897.0,1869803542.0,0.013682570080402596,-2.5759679160882287,0
2026-04-21,64.14,66.55,63.77,65.75,30080147.0,1980662219.0,1869803542.0,0.016087330205731314,4.100696643445234,0
2026-04-22,65.12,67.65,65.04,66.65,26059436.0,1751066254.0,1869803542.0,0.01393699146174791,1.3688212927756682,0
2026-04-23,67.65,70.77,67.15,69.74,43576622.0,3035496818.0,1869803542.0,0.023305454835853553,4.636159039759913,0
2026-04-24,71.73,76.4,71.73,74.6,47790616.0,3565275832.0,1869803542.0,0.02555916433278422,6.968741038141668,0
2026-04-27,74.61,76.2,73.5,75.32,39393194.0,2969293804.0,1869803542.0,0.021068092510865506,0.965147453083115,0
2026-04-28,75.17,82.53,74.91,81.26,53266731.0,4272512078.0,1869803542.0,0.02848787575994441,7.886351566648986,0
2026-04-29,80.86,83.22,79.29,81.58,29147513.0,2380945364.0,1869803542.0,0.01558854304491418,0.3937976864385906,0
2026-04-30,82.13,86.85,81.57,85.25,42333240.0,3586918213.0,1869803542.0,0.0226404748141182,4.498651630301542,0
2026-05-06,85.06,86.54,81.42,84.56,42058993.0,3569477855.0,1869803542.0,0.022493803255401044,-0.8093841642228705,0
2026-05-07,85.55,88.19,84.9,86.53,36716881.0,3181693361.0,1869803542.0,0.019636758715691854,2.329706717123936,0
2026-05-08,84.06,86.16,83.26,85.85,34080319.0,2901335606.0,1869803542.0,0.01822668437323989,-0.7858546168958869,0
2026-05-11,87.58,91.5,85.88,88.22,31936925.0,2842002914.0,1869803542.0,0.017080363943390155,2.7606290040768755,0
2026-05-12,89.8,90.25,86.7,88.21,23624818.0,2082281597.0,1869803542.0,0.012634919909676799,-0.01133529811834233,0
2026-05-13,87.45,91.79,86.96,90.69,33896452.0,3058934590.0,1869803542.0,0.018128349443462546,2.8114726221516895,0
2026-05-14,91.9,92.29,87.95,88.39,26418482.0,2369709937.0,1869803542.0,0.014129014843849302,-2.536112029992277,0
2026-05-15,88.51,90.28,84.85,85.7,33337521.0,2886412957.0,1869803542.0,0.017829424456187067,-3.0433306935173654,0
2026-05-18,85.06,90.3,84.64,87.9,31674652.0,2788312059.0,1869803542.0,0.016940096266006538,2.5670945157526326,0
2026-05-19,89.55,97.8,88.71,96.54,52173970.0,4934388658.0,1869803542.0,0.02790345019038369,9.829351535836173,0
2026-05-20,96.3,97.09,91.5,95.96,37215266.0,3531600718.0,1869803542.0,0.019903302760991348,-0.6007872384503954,0
2026-05-21,98.99,105.0,98.42,98.47,50385863.0,5127139849.0,1869803542.0,0.026947142771002408,2.615673197165491,0
2026-05-22,104.99,118.0,104.68,115.0,82368376.0,9261375804.0,1869803542.0,0.0440518878854493,16.786838631055147,0
2026-05-25,121.0,123.0,114.0,115.35,89925867.0,10479286155.0,1869803542.0,0.04809375155200128,0.3043478260869481,0
2026-05-26,113.0,117.58,109.38,116.93,78503021.0,8922991203.0,1869803542.0,0.0419846359452452,1.3697442566103168,0
2026-05-27,119.03,129.28,119.03,122.99,79147879.0,9754014310.0,1869803542.0,0.042329516027839464,5.182587873086453,0
2026-05-28,126.0,135.0,123.0,132.11,99166996.0,12851148035.0,1869803542.0,0.053036050992783926,7.415237011139131,0
2026-05-29,132.0,132.0,125.3,128.78,66159399.0,8533294691.0,1869803542.0,0.03538307502040233,-2.520626750435251,0
2026-06-01,125.0,137.13,124.62,125.63,78260885.0,10233107623.0,1869803542.0,0.0418551378484874,-2.4460319925454277,0
2026-06-02,122.0,138.18,120.02,134.46,87818374.0,11527844351.0,1869803542.0,0.04696663153502573,7.028575977075557,0
