date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,329.24,330.29,316.73,328.57,31264881.0,14262847448.0,894059290.0,0.03496958350491498,,0
2026-04-02,323.23,328.85,315.88,319.22,21813516.0,9827394555.0,894059290.0,0.024398287947995038,-2.845664546367588,0
2026-04-03,326.01,334.57,323.9,324.79,33635997.0,15504869055.0,894059290.0,0.03762166265282026,1.7448781404673763,0
2026-04-07,321.01,333.85,314.73,327.22,28417411.0,12838778805.0,894059290.0,0.031784705240297875,0.7481757443271064,0
2026-04-08,338.92,358.11,334.63,357.75,46939851.0,22906042566.0,894059290.0,0.052501944250252126,9.33011429619215,0
2026-04-09,350.47,355.11,348.12,349.55,29841603.0,14697987954.0,894059290.0,0.03337765552438922,-2.292103424178893,0
2026-04-10,351.69,376.65,345.98,372.73,44484391.0,22594696259.0,894059290.0,0.04975552683983631,6.631383206980401,0
2026-04-13,369.52,372.37,356.69,365.75,37511302.0,19116007562.0,894059290.0,0.04195616825367365,-1.872669224371537,0
2026-04-14,373.05,384.43,367.38,370.95,38773795.0,20334797616.0,894059290.0,0.04336825916768898,1.4217361585782573,0
2026-04-15,374.53,380.93,349.56,354.53,46064564.0,23514279380.0,894059290.0,0.05152294094500153,-4.426472570427286,0
2026-04-16,354.54,385.17,353.83,383.43,41860341.0,21855620325.0,894059290.0,0.046820542516816756,8.151637379065257,0
2026-04-17,392.35,420.87,386.66,420.17,41619470.0,23873640630.0,894059290.0,0.04655112973547873,9.581931512922836,0
2026-04-20,420.17,425.85,411.61,415.89,34250619.0,20041119489.0,894059290.0,0.038309113705423274,-1.0186353142775606,0
2026-04-21,412.32,415.88,403.76,412.68,28754379.0,16511829692.0,894059290.0,0.032161601944765875,-0.7718387073504918,0
2026-04-22,405.9,446.04,405.21,444.22,43344645.0,25875960934.0,894059290.0,0.048480727715496365,7.642725598526701,0
2026-04-23,441.57,447.85,428.72,433.92,40177510.0,24651177088.0,894059290.0,0.044938306049031713,-2.3186709288190555,0
2026-04-24,394.32,404.23,376.66,383.27,91387113.0,50103015556.0,894059290.0,0.1022159425243487,-11.67265855457228,0
2026-04-27,391.92,394.49,381.55,383.79,46808200.0,25436042380.0,894059290.0,0.05235469338951782,0.13567458971484037,0
2026-04-28,383.32,390.92,368.81,381.98,35795263.0,19045099166.0,894059290.0,0.04003678883533552,-0.47161207952265416,0
2026-04-29,377.37,391.99,375.23,383.07,27564540.0,14843249572.0,894059290.0,0.03083077409776705,0.2853552542017912,0
2026-04-30,391.64,391.64,369.52,375.08,30209791.0,15997132240.0,894059290.0,0.03378947161323048,-2.085780666718884,0
2026-05-06,385.14,387.06,368.81,372.72,42093269.0,22190843776.0,894059290.0,0.04708107109988198,-0.6291991041910916,0
2026-05-07,373.69,403.05,365.95,401.98,53393032.0,28913955996.0,894059290.0,0.059719788829664756,7.8503970809186585,0
2026-05-08,394.49,400.19,389.83,393.54,29800495.0,16488159417.0,894059290.0,0.033331676470807654,-2.0996069456191813,0
2026-05-11,395.2,406.61,374.69,402.12,58107664.0,31811531859.0,894059290.0,0.06499307668957838,2.1802103979265075,0
2026-05-12,410.18,427.84,407.26,422.68,52497316.0,30891207516.0,894059290.0,0.05871793580938016,5.11290162140654,0
2026-05-13,417.39,449.98,415.3,448.7,42373883.0,25757402083.0,894059290.0,0.04739493619041753,6.155957225324116,0
2026-05-14,457.62,466.32,432.94,440.79,38229006.0,23891283018.0,894059290.0,0.04275891591037547,-1.7628705148205803,0
2026-05-15,440.14,449.19,418.23,435.19,35606171.0,21683301959.0,894059290.0,0.03982529055763181,-1.270446244243295,0
2026-05-18,427.3,440.34,423.02,427.96,29263744.0,17654635423.0,894059290.0,0.03273132366870211,-1.6613433213079398,0
2026-05-19,427.67,427.95,399.7,408.4,33905248.0,19397536342.0,894059290.0,0.03792281829541752,-4.570520609402751,0
2026-05-20,410.46,428.64,407.69,419.43,32662432.0,19111134320.0,894059290.0,0.036532735988907404,2.7007835455435947,0
2026-05-21,419.69,430.53,403.24,403.76,32809671.0,19260163701.0,894059290.0,0.036697421934959146,-3.736022697470376,0
2026-05-22,411.84,437.92,406.62,432.85,40427817.0,23856790585.0,895947610.0,0.04512296985757906,7.204775113929074,0
2026-05-25,442.38,470.86,424.46,470.11,47689344.0,30125178942.0,895947610.0,0.05322782656901111,8.608062839320784,0
2026-05-26,467.96,501.91,467.25,499.35,46353231.0,31816133671.0,895947610.0,0.05173654182748476,6.219820892982497,0
2026-05-27,492.6,510.05,487.82,495.79,35137853.0,24509321995.0,895947610.0,0.039218646947448185,-0.7129268048463033,0
2026-05-28,495.79,518.61,479.21,512.44,33947800.0,23798434942.0,895947610.0,0.03789038513088952,3.358276689727502,0
2026-05-29,512.19,523.6,500.07,503.95,33255504.0,23786862613.0,895947610.0,0.037117688164824726,-1.6567793302630696,0
2026-06-01,505.87,509.15,480.16,484.96,29592545.0,20385132527.0,895947610.0,0.03302932523030002,-3.7682309752951726,0
2026-06-02,496.5,536.45,494.43,532.88,38710677.0,28143777060.0,895947610.0,0.04320640690140353,9.881227317716924,0
2026-06-03,542.15,582.09,540.78,558.03,42690854.0,33713841996.0,895947610.0,0.04764882848451373,4.719636691187512,0
2026-06-04,551.76,560.68,545.01,553.53,25410064.0,19660519635.0,895887970.0,0.028362992752319245,-0.8064082576205611,0
2026-06-05,563.56,583.8,520.75,533.59,44176457.0,34165078019.0,895887970.0,0.04931024690509015,-3.6023341101656503,0
2026-06-08,507.28,531.45,503.55,517.19,32256061.0,23349172203.0,895887970.0,0.03600456985709943,-3.0735208680822357,0
2026-06-09,534.23,567.12,526.46,560.51,34860903.0,26803645755.0,895887970.0,0.03891212313075261,8.376032019180556,0
2026-06-10,549.29,570.51,542.23,551.07,30888208.0,24038628432.0,895887970.0,0.03447775730262345,-1.6841804784927916,0
2026-06-11,552.0,575.0,498.67,526.0,66756406.0,35610266806.0,1254243158.0,0.05322445298920259,-4.549331300923665,0
2026-06-12,540.0,544.98,502.8,506.46,65444346.0,33734137300.0,1254243158.0,0.05217835599307292,-3.714828897338407,0
2026-06-15,515.0,540.88,490.13,540.49,61230163.0,31803945193.0,1254243158.0,0.04881841500147135,6.719188089878769,0
2026-06-16,541.51,561.77,535.01,549.0,40570010.0,22245143840.0,1254243158.0,0.032346207943196925,1.5744972154896564,0
2026-06-17,545.7,558.5,537.11,557.88,38954814.0,21349679550.0,1254243158.0,0.0310584225646619,1.6174863387978133,0
2026-06-18,552.66,588.0,551.18,581.48,42874943.0,24739825475.0,1254243158.0,0.034183916194024,4.230300423030053,0
2026-06-22,584.1,591.0,560.0,579.97,45511422.0,26306289047.0,1254243158.0,0.036285963937464825,-0.2596821902730917,0
2026-06-23,575.0,587.0,540.0,552.0,44439843.0,24886291044.0,1254243158.0,0.035431600895366414,-4.822663241202141,0
2026-06-24,552.0,574.48,546.0,555.3,40564325.0,22667376205.0,1254243158.0,0.032341675329274545,0.59782608695651,0
2026-06-25,560.0,610.8,550.06,610.49,69427406.0,40588348021.0,1254243158.0,0.055354024103833305,9.938771835044125,0
2026-06-26,598.0,598.0,550.0,566.0,61773292.0,35283074178.0,1254243158.0,0.04925144825864779,-7.287588658290877,0
2026-06-29,556.0,576.0,524.22,556.96,51813863.0,28371170752.0,1254243158.0,0.04131085959649301,-1.5971731448763182,0
2026-06-30,565.43,612.86,555.78,607.0,58442372.0,34527267520.0,1254243158.0,0.04659572717398072,8.984487216317149,0
2026-07-01,608.0,618.87,566.56,575.56,47623681.0,28256949371.0,1254243158.0,0.03797005444776762,-5.179571663920934,0
2026-07-02,545.0,548.5,504.6,509.0,69606257.0,36573804618.0,1254243158.0,0.05549662085539557,-11.564389464174019,0
2026-07-03,510.0,551.77,505.88,526.0,53450652.0,28432994880.0,1254243158.0,0.042615860934997425,3.3398821218074692,0
2026-07-06,526.0,530.0,502.0,506.89,43168986.0,22149431794.0,1254243158.0,0.03441835478603424,-3.633079847908749,0
2026-07-07,506.89,518.21,490.1,510.1,45431318.0,22935005483.0,1254243158.0,0.03622209753365862,0.6332734912900317,0
