date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,24.63,24.91,24.46,24.82,7215960.0,180599911.0,502923987.0,0.0143480131919021,,0
2026-04-02,24.69,24.81,24.12,24.38,7453503.0,184384355.0,502923987.0,0.014820337054235593,-1.7727639000805873,0
2026-04-03,24.17,24.17,22.97,23.06,12240728.0,288495057.0,502923987.0,0.0243391214505742,-5.414273995077934,0
2026-04-07,23.13,23.66,23.06,23.3,8355812.0,197442909.0,502923987.0,0.016614463052047664,1.040763226366015,0
2026-04-08,23.81,24.13,23.69,24.13,8985012.0,218007577.0,502923987.0,0.017865546747127016,3.562231759656642,0
2026-04-09,23.98,24.03,23.81,23.88,5959440.0,144431225.0,502923987.0,0.01184958394120104,-1.0360547036883494,0
2026-04-10,24.02,24.56,23.98,24.33,7292951.0,179847088.0,502923987.0,0.014501099944552854,1.8844221105527525,0
2026-04-13,24.35,24.81,24.24,24.56,7488845.0,186847652.0,502923987.0,0.014890610099295183,0.9453349773941744,0
2026-04-14,24.7,25.22,24.51,25.21,8289964.0,209004463.0,502923987.0,0.016483532729171656,2.6465798045602673,0
2026-04-15,25.45,25.49,24.74,24.76,7804750.0,198186428.0,502923987.0,0.015518746772362639,-1.7850059500198356,0
2026-04-16,24.8,25.06,24.7,24.99,6468326.0,163420449.0,502923987.0,0.01286143864122353,0.928917609046831,0
2026-04-17,24.89,25.29,24.67,25.25,7337368.0,186855499.0,502923987.0,0.014589417465983781,1.0404161664665956,0
2026-04-20,25.46,26.06,25.43,25.84,11447856.0,298655575.0,502923987.0,0.02276259692501006,2.3366336633663387,0
2026-04-21,26.84,27.81,26.45,26.6,21455789.0,583853517.0,502923987.0,0.04266209119987749,2.941176470588247,0
2026-04-22,26.68,26.68,26.15,26.5,11723810.0,313462263.0,502923987.0,0.023311296146230544,-0.3759398496240629,0
2026-04-23,26.5,26.6,26.0,26.05,8561673.0,227287252.0,502923987.0,0.017023791311031662,-1.6981132075471694,0
2026-04-24,26.15,26.73,26.01,26.45,10983965.0,294670215.0,502923987.0,0.02184020902546452,1.5355086372360827,0
2026-04-27,26.66,26.84,26.15,26.41,11079028.0,296914391.0,502923987.0,0.022029229637837894,-0.15122873345935206,0
2026-04-28,26.3,26.72,25.91,26.39,10891965.0,290614493.0,502923987.0,0.021657278796686226,-0.07572889057174681,0
2026-04-29,26.28,26.83,26.1,26.72,10618294.0,286634183.0,502923987.0,0.02111311902886032,1.2504736642667602,0
2026-04-30,26.55,26.88,26.46,26.55,7866424.0,212307677.0,502923987.0,0.01564137763029386,-0.6362275449101729,0
2026-05-06,26.75,26.8,26.52,26.64,13225270.0,356851697.0,502923987.0,0.026296757247333283,0.3389830508474523,0
2026-05-07,26.75,26.83,26.28,26.58,10230734.0,275060485.0,502923987.0,0.02034250555641125,-0.22522522522523403,0
2026-05-08,26.64,28.08,26.64,27.08,18176890.0,502358107.0,502923987.0,0.036142420067150224,1.8811136192625977,0
2026-05-11,27.25,28.39,27.25,27.78,20206448.0,569221755.0,502923987.0,0.04017793647213729,2.584933530280664,0
2026-05-12,27.7,28.59,27.58,28.1,18995270.0,542260168.0,502923987.0,0.0377696639870152,1.1519078473722022,0
