date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,210.8,213.85,208.32,210.27,7421169.0,2332641813.0,626145307.0,0.011852151436791013,,0
2026-04-02,209.23,209.23,198.52,200.64,8683908.0,2615034237.0,626145307.0,0.01386883827590518,-4.579825938079618,0
2026-04-03,203.52,203.52,196.04,196.83,5892048.0,1741338281.0,626145307.0,0.009410032997340664,-1.898923444976064,0
2026-04-07,197.16,201.38,196.05,196.89,5946493.0,1758087428.0,626145307.0,0.009496985657356368,0.03048315805516122,0
2026-04-08,204.54,216.11,204.2,213.05,15812092.0,4986536171.0,626145307.0,0.025253071169309266,8.207628625120634,0
2026-04-09,210.6,220.9,208.58,215.47,13158051.0,4234144036.0,626145307.0,0.021014372946502016,1.1358835954001334,0
2026-04-10,218.82,222.4,216.56,217.28,9257079.0,3024921550.0,626145307.0,0.01478423442052565,0.8400241332900071,0
2026-04-13,215.94,216.94,211.71,212.31,9363364.0,2983105238.0,626917810.0,0.014935552716232451,-2.2873711340206215,0
2026-04-14,215.66,221.14,214.64,217.62,12795009.0,4154763898.0,626917810.0,0.020409388273719645,2.5010597710894533,0
2026-04-15,219.93,224.43,213.93,214.84,13764563.0,4498310907.0,626917810.0,0.02195592911932108,-1.2774561161657982,0
2026-04-16,216.68,217.62,211.92,213.59,10501167.0,3350409237.0,626917810.0,0.01675046845454909,-0.5818283373673405,0
2026-04-17,212.25,214.8,207.36,210.58,13860230.0,4351391750.0,626917810.0,0.02210852807005116,-1.4092420057118749,0
2026-04-20,207.61,212.92,203.79,210.27,11349932.0,3544381331.0,626917810.0,0.018104338110923983,-0.14721246082248785,0
2026-04-21,211.15,211.21,204.93,207.14,9588394.0,2961495637.0,626917810.0,0.015294499290106307,-1.4885623246302493,0
2026-04-22,207.14,215.12,206.67,214.59,15335562.0,4866178733.0,626917810.0,0.024461838147491775,3.596601332432181,0
2026-04-23,215.94,217.15,208.56,211.28,11790930.0,3734182949.0,626917810.0,0.018807776413306873,-1.542476350249311,0
2026-04-24,212.59,219.83,207.56,216.87,17267206.0,5522597695.0,626917810.0,0.02754301397179959,2.6457781143506276,0
