date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,198.48,199.53,193.35,194.65,2396589.0,609432556.0,174994396.00000003,0.013695232846199255,,0
2026-04-02,194.66,197.59,189.66,192.16,1932265.0,484761241.0,174994396.00000003,0.011041867877871927,-1.2792191112252826,0
2026-04-03,193.42,197.85,191.59,195.11,2240323.0,568314751.0,174994396.00000003,0.01280225567909043,1.535179017485433,0
2026-04-07,195.09,198.48,193.65,193.94,1442031.0,368076363.0,174994396.00000003,0.008240441025322889,-0.5996617292809314,0
2026-04-08,199.78,206.21,196.82,205.86,3307589.0,870203449.0,174994396.00000003,0.01890111383909688,6.146230793028784,0
2026-04-09,203.48,208.86,201.2,206.34,2666219.0,718046480.0,174994396.00000003,0.015236025043910546,0.2331681725444401,0
2026-04-10,207.24,210.13,203.02,203.69,2418210.0,649214569.0,174994396.00000003,0.013818785374132779,-1.284288068236894,0
2026-04-13,202.1,203.48,195.1,196.02,2886675.0,746687581.0,174994396.00000003,0.016495813957379524,-3.7655260444793504,0
2026-04-14,198.72,204.71,198.03,201.02,2527653.0,663646979.0,174994396.00000003,0.014444193972931564,2.5507601265176927,0
2026-04-15,205.02,206.04,192.78,193.38,3085919.0,791528284.0,174994396.00000003,0.01763438756061651,-3.8006168540443808,0
2026-04-16,193.58,195.54,190.8,194.61,3570420.0,896457789.0,174994396.00000003,0.020403053364063152,0.6360533664288015,0
2026-04-17,195.03,195.5,187.43,188.12,3514775.0,869207690.0,174994396.00000003,0.020085071752812014,-3.334874877961058,0
2026-04-20,188.15,190.89,184.67,189.11,4103841.0,1004274066.0,174994396.00000003,0.0234512709767003,0.5262598341484237,0
2026-04-21,190.43,190.87,185.06,188.44,2838137.0,694057877.0,174994396.00000003,0.016218445075235434,-0.3542911532970261,0
2026-04-22,188.12,191.72,187.06,191.05,3473584.0,861378128.0,174994396.00000003,0.019849687072264872,1.3850562513266995,0
2026-04-23,192.5,193.87,184.32,187.95,3824836.0,938008154.0,174994396.00000003,0.02185690563485244,-1.6226118817063706,0
2026-04-24,187.95,191.57,185.51,188.98,3881421.0,956133857.0,174994396.00000003,0.02218025884668901,0.5480180899175346,0
2026-04-27,191.38,199.64,189.15,196.72,5302488.0,1348988550.0,174994396.00000003,0.030300901750019465,4.095671499629594,0
2026-04-28,195.19,203.02,189.51,198.03,5627156.0,1451498782.0,174994396.00000003,0.0321562068764762,0.6659211061406989,0
2026-04-29,189.28,191.2,176.71,188.08,11563303.0,2773593009.0,174994396.00000003,0.06607813315347537,-5.0244912387012,0
2026-04-30,186.97,195.79,185.67,192.12,6732631.0,1669181617.0,174994396.00000003,0.03847340917134283,2.148022118247539,0
2026-05-06,199.64,208.57,195.96,199.53,7375133.0,1949264266.0,174994396.00000003,0.0421449667451065,3.8569643972517165,0
2026-05-07,201.94,205.01,197.59,204.26,5416976.0,1422125727.0,174994396.00000003,0.030955139843449612,2.3705708414774707,0
2026-05-08,200.89,200.93,193.7,196.57,4763526.0,1222627367.0,174994396.00000003,0.027221020266271836,-3.764809556447668,0
2026-05-11,200.3,212.6,200.3,207.47,6877253.0,1848926627.0,174994396.00000003,0.03929984706481686,5.545098438215401,0
2026-05-12,207.4,210.65,202.28,208.47,5913653.0,1593351936.0,174994396.00000003,0.033793385017883655,0.4819973972140623,0
2026-05-13,206.55,222.78,205.81,220.37,7776460.0,2177524556.0,174994396.00000003,0.044438337328242206,5.7082553844677975,0
2026-05-14,222.67,222.68,207.58,208.09,7513495.0,2085520401.0,174994396.00000003,0.04293563206446908,-5.572446340245952,0
2026-05-15,206.55,222.72,199.02,212.54,8732618.0,2402350746.0,174994396.00000003,0.04990227229905121,2.1384977653899684,0
2026-05-18,217.93,233.34,217.8,221.57,8522691.0,2494643051.0,174994396.00000003,0.04870265102660772,4.2486120259715765,0
2026-05-19,219.61,234.87,213.54,233.43,8508888.0,2483010746.0,174994396.00000003,0.04862377421503257,5.352710204450073,0
2026-05-20,232.66,253.73,231.97,248.66,9833255.0,3105232036.0,174994396.00000003,0.05619182799430902,6.5244398749089605,0
2026-05-21,251.86,264.3,233.25,234.03,11844201.0,3837547151.0,174994396.00000003,0.0676833159845873,-5.883535751628733,0
2026-05-22,237.27,241.72,227.35,238.95,8423517.0,2563780140.0,174994396.00000003,0.04813592430697037,2.1022945776182578,0
2026-05-25,238.8,264.16,231.29,252.79,9330695.0,2998200283.0,174994396.00000003,0.053319964600466396,5.7920066959614935,0
2026-05-26,257.78,260.76,242.8,260.53,8074627.0,2638301106.0,174994396.00000003,0.04614220331947086,3.0618299774516355,0
2026-05-27,259.53,267.6,239.95,240.25,8775564.0,2893170571.0,174994396.00000003,0.05014768587218072,-7.784132345603179,0
2026-05-28,237.27,238.8,226.16,232.66,8909097.0,2690886066.0,174994396.00000003,0.05091075602215284,-3.1592091571279957,0
2026-05-29,233.24,234.81,215.79,218.25,7942864.0,2300398231.0,174994396.00000003,0.04538924777911173,-6.193587208802542,0
2026-06-01,220.11,221.36,205.17,205.78,6476907.0,1783362835.0,174994396.00000003,0.037012082375483604,-5.713631156930122,0
2026-06-02,208.09,215.68,205.27,210.53,5754544.0,1579654571.0,174994396.00000003,0.032884161616238264,2.3082904072310173,0
2026-06-03,211.16,220.97,209.64,214.23,6162023.0,1733342522.0,174994396.00000003,0.035212687610864976,1.7574692442882123,0
2026-06-04,207.86,219.44,207.41,216.99,5429428.0,1526574871.0,174994396.00000003,0.031026296407800392,1.2883349670914424,0
2026-06-05,213.92,221.36,208.47,209.62,5642556.0,1568891218.0,174994396.00000003,0.03224420969457787,-3.3964698834047624,0
2026-06-08,195.8,205.97,195.8,199.47,5078213.0,1331221387.0,174994396.00000003,0.029019289280555013,-4.84209521992176,0
2026-06-09,203.46,216.27,201.95,214.43,5872956.0,1600126705.0,174994396.00000003,0.033560823284878215,7.499874667869855,0
2026-06-10,210.16,221.0,210.13,216.4,7786153.0,1688357302.0,227492715.0,0.0342259443340856,0.9187147320804057,0
2026-06-11,214.2,232.95,214.15,230.45,12659509.0,2877930939.0,227492715.0,0.05564797536483751,6.492606284658042,0
2026-06-12,240.3,244.2,223.0,225.0,13798359.0,3226731347.0,227492715.0,0.0606540697358155,-2.364938164460828,0
2026-06-15,225.0,233.8,220.66,233.67,9477697.0,2173166199.0,227492715.0,0.041661540678346556,3.853333333333331,0
2026-06-16,235.33,238.8,227.24,232.88,10230788.0,2372996598.0,227492715.0,0.044971936793668316,-0.3380836222022454,0
2026-06-17,228.0,245.62,226.45,245.62,11163888.0,2651019354.0,227492715.0,0.04907360659878713,5.470628649948472,0
2026-06-18,244.42,250.68,242.5,245.99,10173279.0,2500918569.0,227492715.0,0.044719141885488506,0.15063919876232568,0
2026-06-22,251.19,259.22,243.32,257.2,11021388.0,2771527796.0,227492715.0,0.0484472129140487,4.557095816903112,0
2026-06-23,254.99,255.84,241.8,246.1,9033037.0,2242516723.0,227492715.0,0.03970692863725329,-4.315707620528775,0
2026-06-24,243.23,268.78,239.86,264.3,12523238.0,3211545590.0,227492715.0,0.05504896277667617,7.395367736692404,0
2026-06-25,270.0,272.8,257.57,268.55,11406093.0,3032477176.0,227492715.0,0.05013827805431044,1.6080211880438844,0
2026-06-26,262.31,281.0,258.8,274.48,11628310.0,3147540621.0,227492715.0,0.05111508735565445,2.208154905976545,0
2026-06-29,282.8,309.8,280.18,304.8,15496061.0,4560819107.0,227492715.0,0.06811673507874746,11.046342174293212,0
2026-06-30,306.37,339.98,303.02,339.46,13486763.0,4330381130.0,227492715.0,0.05928437312816808,11.371391076115467,0
2026-07-01,326.22,366.0,317.21,322.6,16733470.0,5666295104.0,227492715.0,0.07355606969656149,-4.966711836446103,0
2026-07-02,308.0,322.0,290.17,301.4,13083822.0,4031653876.0,227492715.0,0.05751314717924044,-6.57160570365779,0
2026-07-03,295.0,301.98,277.3,284.31,12670799.0,3651353271.0,227492715.0,0.05569760332764941,-5.670205706702047,0
2026-07-06,291.8,303.9,281.82,289.35,11699409.0,3411564724.0,227492715.0,0.0514276204405051,1.7727128838240125,0
2026-07-07,283.46,306.7,283.0,300.02,9447535.0,2818152440.0,227492715.0,0.0415289562129495,3.687575600483828,0
2026-07-08,300.9,323.8,284.24,316.09,12008099.0,3682292359.0,227492715.0,0.052784543012729,5.3563095793613735,0
2026-07-09,326.03,346.5,309.0,343.9,13514402.0,4390976935.0,227492715.0,0.059405867128536405,8.798127115694898,0
2026-07-10,344.0,362.49,312.5,312.8,14006155.0,4759414291.0,227492715.0,0.06156748799626397,-9.043326548415232,0
2026-07-13,305.0,321.87,295.03,297.58,11415353.0,3515290775.0,227492715.0,0.05017898265445555,-4.865728900255761,0
2026-07-14,297.38,302.0,271.14,293.5,13055678.0,3751928024.0,227492715.0,0.057389433327568316,-1.3710598830566467,0
2026-07-15,306.99,315.0,278.79,283.0,11277100.0,3322278376.0,227492715.0,0.049571257699394904,-3.5775127768313486,0
2026-07-16,273.33,279.0,253.03,256.53,11589243.0,3055229731.0,227492715.0,0.05094335877964268,-9.353356890459374,0
2026-07-17,250.1,259.49,239.06,239.06,11036352.0,2750012653.0,227492715.0,0.048512990844563966,-6.8101196741121806,0
2026-07-20,245.0,248.0,217.3,224.58,11679459.0,2703924926.0,227492715.0,0.05133992532464172,-6.0570568058228025,0
2026-07-21,229.0,263.0,213.88,262.0,12576518.0,2998415874.0,227492715.0,0.055283168078591,16.66221391041054,0
2026-07-22,255.0,267.0,251.12,253.01,12748342.0,3304886522.0,227492715.0,0.05603846259428571,-3.431297709923664,0
2026-07-23,256.0,257.96,241.2,244.13,7395300.0,1825354134.0,227492715.0,0.032507854152604404,-3.509742697917073,0
2026-07-24,240.0,260.27,235.05,256.49,9370626.0,2359585498.0,227492715.0,0.041190883848742144,5.062876336378164,0
2026-07-27,256.44,269.1,245.78,264.9,9572400.0,2480329658.0,227492715.0,0.04207783093186083,3.2788802682365725,0
2026-07-28,256.5,269.63,251.0,253.0,9561251.0,2498882160.0,227492715.0,0.042028822769115924,-4.492261230653072,0
2026-07-29,248.95,257.0,231.52,254.81,10932807.0,2667503956.0,227492715.0,0.04805783341237982,0.7154150197628439,0
2026-07-30,247.06,249.98,228.12,229.45,10039923.0,2382903629.0,227492715.0,0.04413294289445708,-9.952513637612348,0
2026-07-31,250.0,255.84,237.38,237.38,10624599.0,2623572350.0,227492715.0,0.046703029589321134,3.4560906515580747,0
2026-08-03,235.02,237.0,215.88,216.91,9861010.0,2197019347.0,227492715.0,0.04334648694135107,-8.623304406436938,0
2026-08-04,224.04,231.99,216.58,227.66,9459818.0,2123958594.0,227492715.0,0.041582949150701376,4.9559725231662854,0
2026-08-05,231.54,245.67,229.94,241.09,9057478.0,2154662743.0,227492715.0,0.039814365044612526,5.899147852060094,0
2026-08-06,235.1,251.88,231.8,244.4,9182666.0,2222198707.0,227492715.0,0.04036465958920926,1.3729312704799046,0
2026-08-07,243.0,254.5,242.0,251.68,7419782.0,1851481480.0,227492715.0,0.03261547078551504,2.9787234042553123,0
2026-08-10,251.0,261.8,247.0,253.08,7941793.0,2012108527.0,228356542.99999997,0.03477804005817342,0.5562619198982821,0
2026-08-11,249.0,255.4,243.99,246.0,5992119.0,1492557467.0,228356542.99999997,0.02624018966691049,-2.7975343764817473,0
2026-08-12,247.66,253.0,246.11,250.36,4822361.0,1206654584.0,228356542.99999997,0.021117682623177567,1.7723577235772447,0
2026-08-13,255.0,257.5,242.0,242.5,6149303.0,1546398714.0,228356542.99999997,0.026928516780007485,-3.1394791500239716,0
2026-08-14,246.79,251.71,243.03,248.2,5082182.0,1259104638.0,228356542.99999997,0.02225546915903347,2.350515463917513,0
2026-08-17,248.11,261.98,246.21,261.92,7702019.0,1974946061.0,228356542.99999997,0.033728041679103545,5.527800161160368,0
2026-08-18,262.0,273.85,258.66,272.98,9342646.0,2484272579.0,228356542.99999997,0.040912539125274816,4.22266340867441,0
2026-08-19,264.0,272.5,247.0,248.64,10737962.0,2758126425.0,228356542.99999997,0.04702279102202034,-8.916404132170863,0
2026-08-20,256.58,257.0,245.32,248.41,6488846.0,1631250770.0,228356542.99999997,0.028415415274525332,-0.09250321750321477,0
2026-08-21,248.98,248.98,239.2,241.07,5287155.0,1286466855.0,228356542.99999997,0.02315306989036001,-2.9547924801739067,0
