date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg,up_big
2026-04-01,31.22,31.36,30.94,31.23,2590691.0,80762618.0,435177853.00000006,0.005953177493157033,,0
2026-04-02,31.01,31.07,29.98,30.23,2207628.0,67477298.0,435177853.00000006,0.005072932790079278,-3.202049311559396,0
2026-04-03,30.29,30.67,29.97,30.31,2091824.0,63493431.0,435177853.00000006,0.0048068254980797465,0.26463777704266445,0
2026-04-07,30.38,31.18,30.38,30.79,2159116.0,66694588.0,435177853.00000006,0.004961456528901069,1.5836357637743381,0
2026-04-08,31.67,32.62,31.59,32.61,4272471.0,137456487.0,435177853.00000006,0.00981775834994066,5.911010068203959,0
2026-04-09,32.36,33.02,32.19,32.39,2811441.0,91820983.0,435177853.00000006,0.0064604413589034355,-0.6746396810794253,0
2026-04-10,32.97,33.58,32.58,32.66,3046183.0,100958666.0,435177853.00000006,0.00699985759615391,0.8335906143871474,0
2026-04-13,32.39,33.02,32.26,32.71,3738350.0,122150219.0,435177853.00000006,0.008590395798473687,0.15309246785060182,0
2026-04-14,33.07,33.62,32.74,33.11,4670401.0,154906110.0,435177853.00000006,0.01073216609669702,1.2228676245796377,0
2026-04-15,33.28,33.68,32.68,32.77,3714173.0,123443537.0,435177853.00000006,0.008534839202858054,-1.026880096647531,0
2026-04-16,33.16,33.17,32.48,32.63,4230799.0,138833938.0,435177853.00000006,0.009721999800389658,-0.4272200183094266,0
2026-04-17,32.63,33.95,32.18,33.44,4433317.0,147703106.0,435177853.00000006,0.010187368151751967,2.4823781795893174,0
2026-04-20,33.43,34.62,33.28,33.58,5037833.0,171304023.0,435177853.00000006,0.011576492152048921,0.4186602870813516,0
2026-04-21,33.61,33.64,32.99,33.39,2798868.0,93286037.0,435177853.00000006,0.006431549723188693,-0.5658129839189896,0
2026-04-22,33.27,34.28,33.17,34.12,3571426.0,121016769.0,435177853.00000006,0.00820681929326031,2.1862833183587727,0
2026-04-23,34.08,34.32,33.05,33.43,3411175.0,114659900.0,435177853.00000006,0.007838576748527686,-2.0222743259085463,0
2026-04-24,33.39,33.78,32.91,33.29,2647898.0,88339563.0,435177853.00000006,0.006084634090972455,-0.4187855219862424,0
2026-04-27,33.2,35.55,33.2,34.77,6709220.0,232533950.0,435177853.00000006,0.015417190819221214,4.445779513367398,0
2026-04-28,34.59,34.8,33.31,33.55,4410324.0,149779777.0,435177853.00000006,0.01013453228282736,-3.5087719298245834,0
2026-04-29,33.84,33.84,32.59,33.37,3724927.0,123792486.0,435177853.00000006,0.008559550938360826,-0.536512667660205,0
2026-04-30,32.66,34.7,32.28,33.99,6924927.0,233607877.0,435177853.00000006,0.01591286631950914,1.8579562481270795,0
2026-05-06,34.68,35.35,33.95,34.03,7372056.0,255410702.0,435177853.00000006,0.016940328992339597,0.11768167107972793,0
2026-05-07,34.03,35.66,33.79,35.31,10561848.0,368022277.0,435177853.00000006,0.024270187297422047,3.761387011460471,0
2026-05-08,34.98,35.23,34.29,34.53,5673368.0,196743768.0,435177853.00000006,0.013036895055410827,-2.2090059473237056,0
2026-05-11,34.88,36.46,34.21,35.93,10189202.0,362705714.0,435177853.00000006,0.023413879933820984,4.054445409788587,0
