# relevant holding periods: 61  distinct tickers: 57
  fetched 000049: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 000155: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 000333: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 000426: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 000657: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 000708: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 000831: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 000858: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 000933: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 002025: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 002049: 160 bars (2025-12-10 ~ 2026-08-21)
  fetched 002371: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 002378: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 002493: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 002842: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 002895: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 002935: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 002978: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 003010: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 300308: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 300408: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 300476: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 300627: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 300725: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 300748: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 300759: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 301018: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600019: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600111: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600150: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600160: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600183: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600276: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600298: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600309: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600312: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600547: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600549: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600690: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 600779: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 601899: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 603259: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 603505: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 603596: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 603662: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 605020: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688019: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688072: 160 bars (2025-12-10 ~ 2026-08-21)
  fetched 688082: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688085: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688131: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688206: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688239: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688293: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688356: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688617: 160 bars (2025-12-24 ~ 2026-08-21)
  fetched 688627: 160 bars (2025-12-24 ~ 2026-08-21)

# wrote 61 rows to /Users/huaichuaibeimeng/claude-projects/sim-portfolio/backtest/2026-08-24/t18_gate13_result.json
