code,name,g_q3_25,g_ann25,g_q1_26,g_h1_26,group,high_growth,ann_date,ret_5d,ret_20d,ret_40d
920071,金钛股份,63.62,51.99,37.38,12.87,decel,True,2026-08-07,,,
874391,金钛股份,63.62,51.99,37.38,12.87,decel,True,2026-08-07,,,
920080,奥美森,35.45,30.77,19.98,17.55,decel,False,2026-08-20,,,
600919,江苏银行,9.08,9.41,8.53,8.1,decel,False,2026-08-20,,,
301683,慧谷新材,53.09,44.58,7.58,3.0,decel,False,2026-08-24,,,
300199,翰宇药业,154.32,105.76,88.91,85.9,decel,True,2026-08-21,,,
833689,架桥资本,5344.37,866.11,698.55,492.58,decel,True,2026-08-21,,,
000831,中国稀土,186.01,210.57,108.81,55.49,decel,True,2026-08-08,7.590815627141878,,
688114,华大智造,54.17,40.2,38.9,20.62,decel,False,2026-08-22,,,
605319,无锡振华,27.9,24.84,7.86,2.98,decel,False,2026-08-21,,,
600578,京能电力,123.46,110.65,3.18,1.17,decel,True,2026-08-22,,,
688183,生益电子,526.11,348.72,122.83,110.29,decel,True,2026-08-15,,,
300905,宝丽迪,44.72,42.66,26.28,6.91,decel,False,2026-08-14,-6.120331950207469,,
300499,高澜股份,204.09,194.43,50.59,37.86,decel,True,2026-08-22,,,
300395,菲利华,60.61,46.19,41.49,34.57,decel,False,2026-08-21,,,
002997,瑞鹄模具,48.65,14.45,10.64,4.52,decel,False,2026-08-18,,,
600338,西藏珠峰,99.54,100.58,42.58,18.85,decel,True,2026-08-19,,,
688300,联瑞新材,19.72,16.44,8.46,4.42,decel,False,2026-08-15,,,
002391,长青股份,180.42,126.78,98.93,49.16,decel,True,2026-08-11,0.5780346820809079,,
920509,同惠电子,62.57,44.76,20.0,11.99,decel,False,2026-08-11,,,
920751,惠同新材,22.15,22.64,7.13,0.11,decel,False,2026-08-10,,,
688820,盛合晶微,,357.11,49.17,3.31,decel,True,2026-08-20,,,
600588,用友网络,0.28,21.64,7.75,6.34,decel,False,2026-08-22,,,
002664,信质集团,32.09,556.89,373.32,16.36,decel,True,2026-08-18,,,
002413,雷科防务,27.68,75.0,51.75,22.45,decel,True,2026-08-01,11.070110701106994,,
603049,中策橡胶,,22.15,6.69,5.79,decel,False,2026-08-18,,,
301310,鑫宏业,-0.62,19.27,10.02,6.45,decel,False,2026-08-20,,,
300557,理工光科,47.32,27.52,4.22,3.85,decel,False,2026-08-22,,,
002734,利民股份,1014.94,786.88,40.18,8.35,decel,True,2026-08-18,,,
001270,铖昌科技,310.06,336.93,51.48,35.76,decel,True,2026-08-11,6.960722913125172,,
001219,青岛食品,17.08,23.8,7.84,1.22,decel,False,2026-08-21,,,
688612,威迈斯,46.35,47.42,24.09,0.71,decel,False,2026-08-11,10.107858243451439,,
688499,利元亨,107.03,103.36,79.72,33.11,decel,True,2026-08-15,,,
603916,苏博特,15.25,25.54,20.37,14.01,decel,False,2026-08-20,,,
603293,埃泰克,16.14,15.71,1.79,1.32,decel,False,2026-08-18,,,
300409,道氏技术,205.95,300.15,183.8,34.33,decel,True,2026-07-25,6.937095825984718,,
001316,润贝航科,55.19,113.0,86.1,45.14,decel,True,2026-08-24,,,
920077,吉林碳谷,143.97,203.12,92.49,14.85,decel,True,2026-08-10,,,
688334,西高院,38.84,20.22,7.44,3.86,decel,False,2026-08-20,,,
688667,菱电电控,2456.57,1612.03,95.13,59.94,decel,True,2026-08-22,,,
688188,柏楚电子,21.96,25.07,20.89,20.2,decel,False,2026-08-18,,,
603256,宏和科技,5339.23,3542.9,401.36,350.88,decel,True,2026-08-14,-8.931119470748483,,
300394,天孚通信,50.44,50.42,48.44,36.76,decel,True,2026-08-19,,,
002246,北化股份,277.19,386.03,199.53,141.73,decel,True,2026-08-10,3.2305433186490484,,
688610,埃科光电,3473.22,1750.92,243.89,107.9,decel,True,2026-08-19,,,
688301,奕瑞科技,14.0,41.05,21.08,14.79,decel,False,2026-08-14,3.7410071942445944,,
605499,东鹏饮料,32.92,28.26,25.15,14.41,decel,False,2026-07-31,-9.639440765268581,,
605228,神通科技,666.65,450.69,403.71,34.92,decel,True,2026-07-23,-4.4061302681992265,0.3831417624521105,
600298,安琪酵母,15.02,16.19,14.46,7.02,decel,False,2026-08-15,,,
920274,宏裕包材,210.41,490.43,36.11,35.89,decel,True,2026-08-14,,,
688077,大地熊,69.13,273.71,213.86,185.02,decel,True,2026-08-18,,,
601068,中铝国际,-38.51,147.83,58.63,41.93,decel,True,2026-08-14,2.298850574712663,,
000970,中科三环,202.47,451.03,17.19,2.23,decel,True,2026-08-22,,,
603444,吉比特,97.48,97.39,91.39,67.77,decel,True,2026-08-14,-1.6628234691263177,,
688636,智明达,661.58,704.06,94.8,38.65,decel,True,2026-08-20,,,
688027,国盾量子,12.19,30.48,19.79,11.89,decel,False,2026-08-21,,,
000407,胜利股份,20.21,60.09,46.38,13.91,decel,True,2026-08-15,,,
688018,乐鑫科技,50.77,47.62,39.88,30.26,decel,False,2026-07-31,9.113924050632916,,
600388,紫金龙净,26.19,37.18,30.49,25.42,decel,False,2026-08-15,,,
002080,中材科技,269.72,234.52,79.74,35.54,decel,True,2026-08-18,,,
000423,东阿阿胶,8.27,13.62,7.69,4.1,decel,False,2026-08-21,,,
001210,金房能源,50.1,54.33,3.76,1.98,decel,True,2026-08-21,,,
000708,中信特钢,14.71,17.41,8.97,6.18,decel,False,2026-08-21,,,
688256,寒武纪,264.52,304.63,238.56,137.3,decel,True,2026-08-08,2.8469750889679624,,
603659,璞泰来,39.82,108.74,38.23,32.25,decel,True,2026-08-20,,,
002487,大金重工,247.77,148.68,73.86,4.57,decel,True,2026-08-22,,,
002107,沃华医药,187.87,168.2,62.05,54.34,decel,True,2026-07-16,-8.662613981762924,-4.103343465045595,
874885,鑫巨宏,58.89,97.0,340.09,378.29,accel,True,2026-08-07,,,
920193,吉和昌,,17.11,76.17,94.28,accel,True,2026-08-12,,,
