序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,sina_symbol
1853,688820,盛合晶微,0.27,3406831397.09,7.2006133293,0.5936,449359445.31,3.33,34.8628,10.35714638052,2.8,0.791030584558,30.1400071353,半导体,2026-08-20,sh688820
1854,688798,艾为电子,0.41,1350429235.14,-1.3967187849,8.8937,94872384.39,-39.39,-14.1749,18.00069636426,2.24,0.008941499405,31.052519373,半导体,2026-08-20,sh688798
1855,688788,科思科技,-0.8115,97381848.93,-36.9521046605,142.5063,-176170639.02,-62.04,-42.6989,7.554412491802,-10.11,-0.623430936864,27.6590494696,军工电子Ⅱ,2026-08-20,sh688788
1856,688778,厦钨新能,0.98,14487960872.5,91.089293552,20.0093,491169347.29,46.62,23.1678,18.84443698507,5.22,0.560290399563,8.2940741976,电池,2026-08-20,sh688778
1857,688755,汉邦科技,0.39,417620265.55,19.7500912058,14.5507,44397969.73,59.72,40.5596,11.233758228934,3.5,0.621148134003,37.0456462706,专用设备,2026-08-20,sh688755
1858,688686,奥普特,1.3972,904139670.57,32.4634399476,52.9516,170499744.61,16.78,66.92,26.089790490329,5.4,-1.375350353872,58.6052081219,自动化设备,2026-08-20,sh688686
1859,688665,四方光电,0.8,542031607.38,6.7193109875,41.66,80496909.6,-4.31,38.3665,12.011385888978,6.68,0.185406137605,43.3596775483,通用设备,2026-08-20,sh688665
1860,688636,智明达,0.31,296794389.98,0.6914234469,73.8448,53663881.31,40.12,100.8652,8.249002178954,3.79,-0.05249384439,50.7191884288,军工电子Ⅱ,2026-08-20,sh688636
1861,688617,惠泰医疗,3.82,1526351745.77,25.749347161,16.7872,537319119.8,26.38,34.1885,21.813993344425,15.96,3.881074226243,72.9767273171,医疗器械,2026-08-20,sh688617
1862,688615,合合信息,1.26,1030962358.26,22.2827166865,4.6675,246708764.8,4.81,-41.0875,15.147701858163,8.27,1.3992676275,86.9547530603,软件开发,2026-08-20,sh688615
1863,688608,恒玄科技,0.7223,1351185977.87,-30.2941207792,1.945,171096913.09,-43.87,-7.8515,41.577035787899,2.43,1.29248375498,42.4663447962,半导体,2026-08-20,sh688608
1864,688578,艾力斯,3.42,3319788082.89,39.8534171741,9.6123,1540790493.67,46.57,42.2466,18.804578009244,19.7,3.210180945822,94.8541737429,化学制药,2026-08-20,sh688578
1865,688536,思瑞浦,2.25,1605824436.86,69.1856086309,28.6508,307757831.93,368.52,91.9889,47.95350082947,4.81,2.572696150337,49.0039019153,半导体,2026-08-20,sh688536
1866,688425,铁建重工,0.09,4274749800.07,-11.6309450425,-4.7829,504676729.02,-31.38,3.2082,3.496235505416,2.68,-0.087188576705,27.9039051532,工程机械,2026-08-20,sh688425
1867,688378,奥来德,0.69,461165167.69,64.1447568998,-3.8503,175808330.99,551.02,19.5202,8.032883736892,8.9,0.600595690513,56.2948063164,光学光电子,2026-08-20,sh688378
1868,688375,国博电子,0.16,886064397.69,-17.2281986477,77.8688,98143788.36,-51.26,11261.3038,10.589590025048,1.51,0.248358364162,35.6763253398,军工电子Ⅱ,2026-08-20,sh688375
1869,688353,华盛锂电,1.44,792459942.58,126.512398032,42.3355,222863455.56,451.483715654,29.7158,22.889240758495,6.14,-0.278025090596,52.5522782558,电池,2026-08-20,sh688353
1870,688334,西高院,0.44,440906422.12,5.0720143653,1.8655,139174210.3,4.87,9.6053,9.423647476081,4.69,0.97325912572,54.7189700254,专业服务,2026-08-20,sh688334
1871,688321,微芯生物,0.1645,543229019.55,33.6032956103,11.3414,71380590.11,141.21,52.4792,5.477650618941,3.14,0.20175376774,86.3306076337,化学制药,2026-08-20,sh688321
1872,688290,景业智能,-0.12,103114889.0,-4.4932950445,-22.1619,-12508884.54,-511.42,38.5288,12.380825181877,-0.98,-0.765481439355,22.782790398,自动化设备,2026-08-20,sh688290
1873,688281,华秦科技,0.45,733953443.6,42.1247743751,45.4341,171206528.48,17.55,16.5438,12.679765151657,3.58,0.178278608815,43.4044157893,航空装备Ⅱ,2026-08-20,sh688281
1874,688271,联影医疗,1.1,7051579098.09,17.2156693851,42.5251,896995952.14,-10.12,24.8847,26.727587556356,4.12,-0.293657411581,47.1804815405,医疗器械,2026-08-20,sh688271
1875,688267,中触媒,0.36,459071930.75,-0.4462705906,-2.7957,80492021.49,-36.54,54.4803,12.594889897002,2.81,0.25247609966,35.8568716456,化学制品,2026-08-20,sh688267
1876,688261,东微半导,0.87,736433420.21,19.5835547497,63.2232,106301799.14,285.41,1712.6182,24.66920877879,3.54,-1.054896635631,17.39971302,半导体,2026-08-20,sh688261
