序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,603448,天博智能,,1383764900.0,,-4.5785,266704800.0,,-29.5806,,,,,汽车零部件,2026-08-18
2,301699,洛轴股份,,4501433600.0,,6.915,418720900.0,,6.3465,,,,,通用设备,2026-08-18
3,601123,马矿股份,,1499390700.0,,,492259400.0,,-13.8855,,,,,冶钢原料,2026-08-13
4,301697,贝特利,,2450584300.0,,41.3091,79813000.0,,15.1221,,,,,光伏设备,2026-08-11
5,688835,高凯技术,,412276200.0,,34.9707,108988800.0,,93.2086,,,,,专用设备,2026-08-06
6,301688,格林生物,,820809200.0,,0.0003,143398200.0,,11.178,,,,,化学制品,2026-08-06
7,000637,茂化实华,-0.18,2303616239.4,-19.2420717262,18.9466,-93730578.67,18.15,76.7364,1.067240438995,-15.58,-0.305302435878,2.5146679195,炼化及贸易,2026-08-06
8,600022,山东钢铁,0.0129,51194644003.25,-20.4232258814,-0.1688,135823810.53,109.361619173,206.4678,1.763698178819,0.74,0.369697962753,9.239128905,普钢,2026-08-01
9,875126,中凯智创,0.23,357366920.46,,,7989000.78,,,1.238541117143,13.5,0.911113267429,9.7956859619,,2026-07-27
10,603358,华达科技,0.86,3613753382.89,2.1431058461,-60.0727,393345853.28,96.51,27.0026,8.159286410131,10.5,0.018575444952,13.2278456077,汽车零部件,2026-07-25
11,874103,钜芯科技,,477244779.29,8.6673497744,-7.975,45290815.32,7.0353409052,-22.6119,5.352179050444,10.24,-0.714652169667,16.6864737962,,2026-07-17
12,600448,华纺股份,-0.125,2188233614.69,1.4519249607,6.9764,-78823583.03,-3223.8,-25.5846,1.789479978048,-6.73,0.24626120391,9.311809269,纺织制造,2026-07-14
13,002667,*ST威领,-0.0551,213040730.89,-53.8755151292,435.0304,-13047897.85,88.44,-154.215,1.037705281284,-3.64,0.098837842275,6.034741247,专用设备,2026-07-07
14,875123,星泰股份,0.77,307641753.11,,,34579513.19,,,7.627624395255,10.53,0.926531464637,28.4378607311,,2026-07-02
15,603843,*ST正平,-0.1426,651727893.79,-20.9153895798,55.9176,-99757478.55,-15.9974740456,88.6698,0.177640291127,-13.2634,-0.100002433496,8.3187169379,基础建设,2026-06-30
16,603389,亚振家居,-0.11,132741813.82,-11.2330989061,3.053,-27648743.98,48.1972100857,130.6321,0.883536451407,-12.73,-0.310767314045,27.6140900784,家居用品,2026-06-30
17,875002,音创股份,2.15,103472711.47,,,23204021.58,,,7.432420925,33.8,0.639118768519,48.7841711818,,2026-06-29
18,000972,中基健康,-0.1868,354172619.51,18.9216978637,-34.2882,-144087480.95,-230.8983557277,-2.8717,-0.222298945911,,-0.048450454343,-17.3381048555,农产品加工,2026-06-26
19,875128,隆胜四海,0.63,230779370.24,,,38535988.65,,,5.299456712706,12.93,0.130395404583,31.8180836457,,2026-06-23
20,874997,创始医疗,0.23,188497299.37,,,17693137.35,,,1.68760143148,12.27,0.412941613518,33.4863711209,,2026-06-18
21,688158,优刻得,-0.18,1227155351.32,12.1652017528,4.997,-83425231.24,49.5257213022,-334.1899,5.273612577678,-3.52,0.20638681823,24.7499808018,IT服务Ⅱ,2026-06-16
22,600753,ST海钦,0.112,677178497.21,188.1078889724,45.3184,25757962.69,135.7556896993,102.0215,0.086839036387,273.19,-0.115029440702,6.0147462091,物流,2026-06-11
23,000668,荣丰控股,-0.19,155026644.85,300.1923246985,4.3897,-27403998.51,20.17,77.0826,4.810403880119,-3.81,-0.127354755104,2.6707644702,房地产开发,2026-06-06
24,002816,*ST和科,-0.0362,144151633.95,2500.6760993843,140.981,-3622894.95,88.11,335.1718,2.2101993149,-1.63,-0.2861000463,16.235154468,专用设备,2026-05-30
25,300513,恒实科技,-0.2743,662663916.86,-19.7005809991,-7.109,-86060185.78,-72.06,126.6038,3.760235722458,-7.04,0.000491261764,8.1884866536,通信服务,2026-05-29
26,688353,华盛锂电,-0.18,538555316.81,62.2902017151,2.7173,-28628501.6,78.26178438,271.1205,21.171838062194,-0.84,-1.22952324163,-2.314450169,电池,2026-05-28
27,601118,海南橡胶,-0.0643,30574470082.36,9.4727954479,-14.2945,-275178641.18,40.2444273077,-46.4918,2.26542694705,-2.79,0.37779869313,2.9896337091,种植业,2026-05-21
28,875155,铭赛科技,0.83,235747253.15,,,33763882.54,,,11.699558347634,7.38,1.307078283016,46.3228560167,,2026-05-14
29,875013,卡夫特,3.88,220886248.85,,,57409306.66,,,9.876258429054,48.75,2.939954076351,48.2365754839,,2026-05-14
30,002496,辉丰股份,-0.0021,202395290.42,31.8034549424,-25.6396,-3227461.8,-347.45,-250.4256,0.878585880606,-0.24,-0.012017082955,7.7448598618,农化制品,2026-05-09
31,688159,有方科技,0.9,2175314798.15,-15.3429393187,-32.5599,83425548.09,-12.44,-56.7897,10.219047871881,9.25,1.619804489068,12.1907394063,通信设备,2026-05-01
32,688478,晶升股份,-0.06,102878524.34,-68.3751784543,79.5354,-8400324.38,-115.45,-154.9788,11.116499822182,-0.54,-0.427153223576,14.5963753527,半导体,2026-04-30
33,688439,振华风光,0.4803,700518597.16,-11.5937127806,-14.3673,96050761.28,-61.34,-24.3531,24.7708199874,1.95,0.41976576615,58.5652163245,军工电子Ⅱ,2026-04-30
34,688189,ST南新,-0.2501,83154434.61,-66.8853328578,0.4079,-68633808.25,-39.1895533974,10.4539,3.15594076516,-7.6405,0.274136528827,33.4388965789,化学制药,2026-04-30
