日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-06-15,600212,6.06,5.83,6.06,5.75,122758,71820920.0,5.26,-1.02,-0.06,2.31
2026-06-16,600212,5.8,5.88,5.92,5.71,110214,64273965.0,3.6,0.86,0.05,2.07
2026-06-17,600212,5.94,5.83,6.09,5.77,127403,74938002.0,5.44,-0.85,-0.05,2.4
2026-06-18,600212,5.75,5.76,5.92,5.72,108867,63093123.0,3.43,-1.2,-0.07,2.05
2026-06-22,600212,5.7,5.72,5.75,5.31,214378,118163193.0,7.64,-0.69,-0.04,4.04
2026-06-23,600212,5.81,5.93,6.15,5.75,242566,144599324.0,6.99,3.67,0.21,4.57
2026-06-24,600212,5.82,5.54,5.92,5.53,170178,95901399.0,6.58,-6.58,-0.39,3.2
2026-06-25,600212,5.39,5.37,5.61,5.28,133739,71940338.0,5.96,-3.07,-0.17,2.52
2026-06-26,600212,5.28,5.22,5.35,5.16,115821,60751225.0,3.54,-2.79,-0.15,2.18
2026-06-29,600212,5.22,5.21,5.32,5.0,107465,55323504.0,6.13,-0.19,-0.01,2.02
2026-06-30,600212,5.2,5.2,5.3,5.12,108084,56238849.0,3.45,-0.19,-0.01,2.03
2026-07-01,600212,5.2,5.28,5.37,5.18,141204,74626907.0,3.65,1.54,0.08,2.66
2026-07-02,600212,5.18,5.25,5.39,5.18,120992,64110859.0,3.98,-0.57,-0.03,2.28
2026-07-03,600212,5.21,5.53,5.6,5.21,186474,102425415.0,7.43,5.33,0.28,3.51
2026-07-06,600212,5.62,5.15,5.64,5.14,207024,109255287.0,9.04,-6.87,-0.38,3.9
2026-07-07,600212,5.19,5.07,5.21,4.97,137603,69785622.0,4.66,-1.55,-0.08,2.59
2026-07-08,600212,5.07,4.95,5.1,4.91,112003,55726750.0,3.75,-2.37,-0.12,2.11
2026-07-09,600212,4.9,4.84,4.99,4.72,152952,73660762.0,5.45,-2.22,-0.11,2.88
2026-07-10,600212,4.83,5.03,5.18,4.8,186710,94505067.0,7.85,3.93,0.19,3.52
2026-07-13,600212,5.01,4.82,5.09,4.81,115051,56368080.0,5.57,-4.17,-0.21,2.17
2026-07-14,600212,5.0,4.94,5.0,4.81,116967,57320006.0,3.94,2.49,0.12,2.2
2026-07-15,600212,4.95,5.05,5.12,4.9,130862,66038939.0,4.45,2.23,0.11,2.46
2026-07-16,600212,5.03,5.09,5.16,4.94,105446,53616638.0,4.36,0.79,0.04,1.99
2026-07-17,600212,5.08,4.96,5.15,4.87,114993,57400220.0,5.5,-2.55,-0.13,2.16
2026-07-20,600212,4.97,4.87,5.07,4.81,126406,62396171.0,5.24,-1.81,-0.09,2.38
2026-07-21,600212,4.89,4.91,4.98,4.73,141955,68957538.0,5.13,0.82,0.04,2.67
2026-07-22,600212,4.91,4.85,4.94,4.82,67970,33089870.0,2.44,-1.22,-0.06,1.28
2026-07-23,600212,4.83,5.01,5.02,4.83,108024,53562913.0,3.92,3.3,0.16,2.03
2026-07-24,600212,4.99,4.88,5.02,4.87,77310,38084218.0,2.99,-2.59,-0.13,1.46
2026-07-27,600212,4.85,5.01,5.04,4.85,91058,45410174.0,3.89,2.66,0.13,1.71
2026-07-28,600212,4.98,5.03,5.07,4.95,71556,36028192.0,2.4,0.4,0.02,1.35
2026-07-29,600212,5.05,5.1,5.13,5.0,87806,44601792.0,2.58,1.39,0.07,1.65
2026-07-30,600212,5.1,5.07,5.17,5.01,97233,49467457.0,3.14,-0.59,-0.03,1.83
2026-07-31,600212,5.07,5.17,5.2,5.07,104775,53920492.0,2.56,1.97,0.1,1.97
2026-08-03,600212,5.17,5.41,5.43,5.16,123996,65973089.0,5.22,4.64,0.24,2.33
2026-08-04,600212,5.47,5.51,5.57,5.39,108084,59341816.0,3.33,1.85,0.1,2.03
2026-08-05,600212,5.51,5.51,5.6,5.46,89233,49301849.0,2.54,0.0,0.0,1.68
2026-08-06,600212,5.51,5.39,5.52,5.3,86146,46480418.0,3.99,-2.18,-0.12,1.62
2026-08-07,600212,5.41,5.43,5.44,5.24,90178,48114102.0,3.71,0.74,0.04,1.7
2026-08-10,600212,5.4,5.51,5.53,5.35,75580,41406812.0,3.31,1.47,0.08,1.42
2026-08-11,600212,5.51,5.47,5.51,5.36,58404,31796628.0,2.72,-0.73,-0.04,1.1
2026-08-12,600212,5.47,5.6,5.62,5.45,89142,49517181.0,3.11,2.38,0.13,1.68
2026-08-13,600212,5.6,5.49,5.64,5.48,69219,38409446.0,2.86,-1.96,-0.11,1.3
2026-08-14,600212,5.51,5.44,5.53,5.38,62289,33796294.0,2.73,-0.91,-0.05,1.17
2026-08-17,600212,5.49,5.71,5.75,5.34,167578,93881199.0,7.54,4.96,0.27,3.15
2026-08-18,600212,5.74,5.74,5.81,5.6,115536,66039526.0,3.68,0.53,0.03,2.18
2026-08-19,600212,5.72,5.48,5.72,5.45,99909,55507048.0,4.7,-4.53,-0.26,1.88
2026-08-20,600212,5.48,5.56,5.61,5.48,53005,29427886.0,2.37,1.46,0.08,1.0
2026-08-21,600212,5.56,5.63,5.67,5.42,68756,38248066.0,4.5,1.26,0.07,1.29
2026-08-24,600212,5.69,5.9,6.1,5.66,236209,138915862.0,7.82,4.8,0.27,4.45
2026-08-25,600212,5.85,6.08,6.14,5.71,264809,158810348.0,7.29,3.05,0.18,4.99
2026-08-26,600212,6.07,6.13,6.14,5.86,114039,68223701.0,4.61,0.82,0.05,2.15
