date,open,close,high,low,volume
2026-07-01,5.200,5.280,5.370,5.180,141204.000
2026-07-02,5.180,5.250,5.390,5.180,120992.000
2026-07-03,5.210,5.530,5.600,5.210,186474.000
2026-07-06,5.620,5.150,5.640,5.140,207024.000
2026-07-07,5.190,5.070,5.210,4.970,137603.000
2026-07-08,5.070,4.950,5.100,4.910,112003.000
2026-07-09,4.900,4.840,4.990,4.720,152952.000
2026-07-10,4.830,5.030,5.180,4.800,186710.000
2026-07-13,5.010,4.820,5.090,4.810,115051.000
2026-07-14,5.000,4.940,5.000,4.810,116967.000
2026-07-15,4.950,5.050,5.120,4.900,130862.000
2026-07-16,5.030,5.090,5.160,4.940,105446.000
2026-07-17,5.080,4.960,5.150,4.870,114993.000
2026-07-20,4.970,4.870,5.070,4.810,126406.000
2026-07-21,4.890,4.910,4.980,4.730,141955.000
2026-07-22,4.910,4.850,4.940,4.820,67970.000
2026-07-23,4.830,5.010,5.020,4.830,108024.000
2026-07-24,4.990,4.880,5.020,4.870,77310.000
2026-07-27,4.850,5.010,5.040,4.850,91058.000
2026-07-28,4.980,5.030,5.070,4.950,71556.000
2026-07-29,5.050,5.100,5.130,5.000,87806.000
2026-07-30,5.100,5.070,5.170,5.010,97233.000
2026-07-31,5.070,5.170,5.200,5.070,104775.000
2026-08-03,5.170,5.410,5.430,5.160,123996.000
2026-08-04,5.470,5.510,5.570,5.390,108084.000
2026-08-05,5.510,5.510,5.600,5.460,89233.000
2026-08-06,5.510,5.390,5.520,5.300,86146.000
2026-08-07,5.410,5.430,5.440,5.240,90178.000
2026-08-10,5.400,5.510,5.530,5.350,75580.000
2026-08-11,5.510,5.470,5.510,5.360,58404.000
2026-08-12,5.470,5.600,5.620,5.450,89142.000
2026-08-13,5.600,5.490,5.640,5.480,69219.000
2026-08-14,5.510,5.440,5.530,5.380,62289.000
2026-08-17,5.490,5.710,5.750,5.340,167578.000
2026-08-18,5.740,5.740,5.810,5.600,115536.000
2026-08-19,5.720,5.480,5.720,5.450,99909.000
2026-08-20,5.480,5.560,5.610,5.480,53005.000
2026-08-21,5.560,5.630,5.670,5.420,68756.000
2026-08-24,5.690,5.900,6.100,5.660,236209.000
2026-08-25,5.850,6.080,6.140,5.710,264809.000
