股票代码,股票简称,sw_l1,首次预约,circulating_cap_yi,market_cap_yi,price,chg_20d_pct,latest_date,ago_date,err,预告方向,预告业绩变动详情,预告公告日期,已发预告
002913,奥士康,电子,2026-08-28,172.6,179.4,56.52,38.43,2026-08-26,2026-07-29,,预减,"预计2026年1-6月归属于上市公司股东的净利润盈利:7,800万元至10,000万元,同比上年下降:48.94%至60.17%。",2026-07-14,True
603660,苏州科达,计算机,2026-08-29,59.9,59.9,10.48,30.51,2026-08-26,2026-07-29,,增亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:27,000万元至33,000万元。",2026-07-10,True
002388,新亚制程,电子,2026-08-27,32.5,32.5,6.42,29.96,2026-08-26,2026-07-29,,首亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:600万元至1,200万元。",2026-07-15,True
605218,伟时电子,电子,2026-08-28,32.7,37.3,15.35,20.2,2026-08-26,2026-07-29,,首亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:4,800万元至5,568万元。",2026-07-15,True
603328,依顿电子,电子,2026-08-29,107.3,107.3,10.75,18.13,2026-08-26,2026-07-29,,预减,"预计2026年1-6月归属于上市公司股东的净利润盈利:9,250万元至11,850万元,同比上年下降:54.54%至64.51%,同比上年降低14,215.45万元至16,815.45万元。",2026-07-15,True
003004,声迅股份,计算机,2026-08-28,47.3,56.3,68.81,17.42,2026-08-26,2026-07-29,,增亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:1,200万元至1,560万元。",2026-07-15,True
002161,远 望 谷,电子,2026-08-29,45.7,45.7,6.18,15.3,2026-08-26,2026-07-29,,首亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:7,500万元至11,000万元。",2026-07-15,True
603990,麦迪科技,计算机,2026-08-27,68.3,68.3,22.38,15.26,2026-08-26,2026-07-29,,预减,"预计2026年1-6月归属于上市公司股东的净利润盈利:650万元至850万元,同比上年下降:69.99%至77.05%,同比上年降低1,982.75万元至2,182.75万元。",2026-07-15,True
001373,翔腾新材,电子,2026-08-27,12.0,19.6,28.55,14.11,2026-08-26,2026-07-29,,增亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:1,900万元至2,600万元。",2026-07-15,True
603175,超颖电子,电子,2026-08-31,39.9,383.8,87.82,13.21,2026-08-26,2026-07-29,,首亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:17,500万元至21,000万元。",2026-07-15,True
