股票代码,股票简称,sw_l1,首次预约,circulating_cap_yi,market_cap_yi,price,chg_20d_pct,latest_date,ago_date,err,预告方向,预告业绩变动详情,预告公告日期,已发预告
300604,长川科技,电子,2026-07-31,1306.1,1722.7,266.84,-1.58,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:90,000万元至100,000万元,同比上年增长:110.76%至134.18%。",2026-06-23,True
688216,气派科技,电子,2026-08-05,31.1,33.5,29.26,11.51,2026-08-26,2026-07-29,,扭亏,"预计2026年1-6月归属于上市公司股东的净利润盈利约:1,200万元,同比上年增长7,066.86万元左右。",2026-07-14,True
300120,经纬辉开,电子,2026-08-11,48.9,53.2,9.27,44.69,2026-08-26,2026-07-29,,,,,False
300075,数字政通,计算机,2026-08-14,56.1,67.6,10.89,-0.64,2026-08-26,2026-07-29,,,,,False
300935,盈建科,计算机,2026-08-15,18.5,24.4,30.75,31.41,2026-08-26,2026-07-29,,,,,False
688721,龙图光罩,电子,2026-08-20,22.2,53.8,40.28,10.8,2026-08-26,2026-07-29,,,,,False
301536,星宸科技,电子,2026-08-22,211.5,476.5,112.98,-10.17,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:82,000万元至90,000万元,同比上年增长:583.72%至650.42%。",2026-07-18,True
688530,欧莱新材,电子,2026-08-22,41.3,94.7,59.18,34.05,2026-08-26,2026-07-29,,扭亏,"预计2026年1-6月归属于上市公司股东的净利润盈利:6,500万元至7,000万元。",2026-07-24,True
300287,飞利信,计算机,2026-08-24,46.7,50.8,3.54,-1.67,2026-08-26,2026-07-29,,,,,False
301489,思泉新材,电子,2026-08-24,78.0,130.3,112.08,17.71,2026-08-26,2026-07-29,,,,,False
300975,商络电子,电子,2026-08-24,120.7,168.5,24.52,0.95,2026-08-26,2026-07-29,,,,,False
300468,四方精创,计算机,2026-08-24,125.6,125.8,23.71,14.08,2026-08-26,2026-07-29,,,,,False
001309,德明利,电子,2026-08-25,649.4,892.6,393.5,10.9,2026-08-26,2026-07-29,,扭亏,"预计2026年1-6月归属于上市公司股东的净利润盈利:570,000万元至650,000万元,同比上年增长:4932.74%至5611.02%。",2026-07-15,True
688150,莱特光电,电子,2026-08-25,149.5,149.5,37.14,5.06,2026-08-26,2026-07-29,,,,,False
002916,深南电路,电子,2026-08-25,2280.9,2336.9,343.08,8.56,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:210,000万元至230,000万元,同比上年增长:54.41%至69.12%。",2026-07-14,True
002156,通富微电,电子,2026-08-26,921.1,921.2,60.7,-2.25,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:160,000万元至180,000万元,同比上年增长:288.26%至336.8%。",2026-07-15,True
300830,金现代,计算机,2026-08-27,27.3,36.6,8.1,4.38,2026-08-26,2026-07-29,,,,,False
600410,华胜天成,计算机,2026-08-27,146.3,146.3,13.34,0.08,2026-08-26,2026-07-29,,首亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:22,000万元至33,000万元。",2026-07-15,True
300925,法本信息,计算机,2026-08-27,52.1,63.9,14.91,2.75,2026-08-26,2026-07-29,,,,,False
002841,视源股份,电子,2026-08-27,244.9,328.5,46.98,5.27,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:145,000万元至165,000万元,同比上年增长:264.62%至314.91%。",2026-07-07,True
300645,正元智慧,计算机,2026-08-27,18.3,18.7,13.16,10.69,2026-08-26,2026-07-29,,,,,False
300996,普联软件,计算机,2026-08-27,46.3,55.0,13.9,7.73,2026-08-26,2026-07-24,,,,,False
688270,ST臻镭,电子,2026-08-27,176.8,176.8,59.02,-3.01,2026-08-26,2026-07-29,,,,,False
