排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日打二板以上表现,BK1645,17020.39,723.98,4.44,24218248000,19.57,3,1,深中华A,10.0
2,昨日连板_含一字,BK1051,66947.13,2335.41,3.61,57122068000,11.45,6,2,海鸥住工,10.11
3,券商概念,BK0711,1087.36,28.05,2.65,3878289904000,0.65,55,0,锦龙股份,10.05
4,黄金概念,BK0547,20905.81,502.07,2.46,3392763984000,1.93,56,16,金诚信,10.0
5,科创板做市商,BK1107,1431.42,31.47,2.25,1908479312000,0.42,14,0,招商证券,4.76
6,昨日涨停_含一字,BK1050,141670.77,2854.49,2.06,613047936000,7.71,41,28,海鸥住工,10.11
7,昨日涨停,BK0815,177.99,3.51,2.01,594923616000,7.48,39,27,康盛股份,10.12
8,昨日首板,BK1630,5863.54,113.68,1.98,489365120000,6.38,28,21,康盛股份,10.12
9,超导概念,BK0679,6349.65,118.65,1.9,542541664000,0.89,14,5,百利电气,10.05
10,锂矿概念,BK1173,1943.06,36.11,1.89,4090635552000,1.06,32,6,西部矿业,6.69
11,稀缺资源,BK0519,37437.7,644.06,1.75,5403149824000,1.08,64,12,江西铜业,10.01
12,金融地产风格,BK1714,1060.1,17.72,1.7,22795902208000,0.2,96,3,湘财股份,10.03
13,题材股,BK1717,1313.18,21.57,1.67,1635410944000,9.22,33,26,海鸥住工,10.11
14,钒电池,BK1095,1308.78,21.25,1.65,525906432000,0.77,19,1,西部矿业,6.69
15,小金属概念,BK0695,4399.36,71.13,1.64,5447768320000,1.27,90,25,江西铜业,10.01
16,GDR,BK0868,1009.68,16.27,1.64,1498002096000,0.39,11,0,国轩高科,3.45
17,草甘膦,BK0950,1651.1,25.31,1.56,175934098000,0.99,12,1,润丰股份,3.58
18,低碳冶金,BK0979,918.62,14.14,1.56,253895140000,0.3,7,0,酒钢宏兴,2.07
19,东方财富热股,BK1637,3442.77,51.25,1.51,9828249856000,3.17,53,47,海鸥住工,10.11
20,最近多板,BK1638,2241.53,33.01,1.49,1151899776000,8.17,67,49,海鸥住工,10.11
