序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,605277,新亚电子,16.69,10.02,1.52,85932,143351264.0,0.4,16.69,16.63,16.65,15.17,2.23,25.17,3.68
2,301031,中熔电气,97.2,8.31,7.46,41062,399978140.98,6.18,100.29,94.74,97.96,89.74,3.57,28.32,8.07
3,603666,亿嘉和,27.69,6.17,1.61,43248,118281394.0,8.21,27.94,25.8,25.8,26.08,2.1,-22.41,2.78
4,002015,协鑫能科,16.8,5.79,0.92,1348254,2212938694.85,12.53,17.4,15.41,15.77,15.88,8.31,23.68,2.29
5,300438,鹏辉能源,63.4,4.62,2.8,94462,589770438.61,5.97,63.85,60.23,60.6,60.6,2.34,24.66,5.63
6,600869,远东股份,16.9,4.32,0.7,1493915,2543590320.0,7.78,17.49,16.23,16.25,16.2,6.73,91.3,8.58
7,603118,共进股份,16.85,3.69,0.6,799855,1354048928.0,7.08,17.45,16.3,16.8,16.25,10.16,91.32,2.6
8,300530,领湃科技,19.71,3.63,0.69,62785,122463085.0,7.31,20.19,18.8,18.88,19.02,3.65,-26.57,46.61
9,600506,统一股份,15.81,3.47,0.53,89450,140264954.0,5.56,15.95,15.1,15.18,15.28,3.58,28.45,7.8
10,002682,龙洲股份,4.89,3.38,0.16,249613,121799909.66,5.07,4.99,4.75,4.76,4.73,4.44,-14.94,5.7
11,002074,国轩高科,27.84,3.38,0.91,244566,675663242.36,4.6,28.02,26.78,26.88,26.93,1.41,18.23,1.68
12,300433,蓝思科技,39.11,3.19,1.21,610535,2363223421.15,3.38,39.19,37.91,37.91,37.9,1.23,178.96,3.91
13,000027,深圳能源,6.36,3.08,0.19,234622,147880454.74,2.59,6.36,6.2,6.21,6.17,0.49,7.95,0.9
14,688390,固德威,65.66,3.0,1.91,26867,175297830.0,4.17,66.12,63.46,63.63,63.75,1.11,39.33,5.61
15,002882,金龙羽,22.82,2.89,0.64,138447,314003813.64,7.66,23.5,21.8,22.0,22.18,5.61,128.67,4.68
16,920641,格利尔,13.93,2.8,0.38,17803,25097845.06,5.24,14.46,13.75,14.0,13.55,3.93,45.93,2.98
17,002837,英维克,61.85,2.69,1.62,795787,4943031805.66,4.65,63.3,60.5,63.05,60.23,7.02,213.76,22.04
18,688022,ST瀚川,8.87,2.66,0.23,16567,14441884.0,3.94,8.88,8.54,8.7,8.64,0.94,146.51,2.35
19,300014,亿纬锂能,55.98,2.58,1.41,197375,1100074132.31,4.07,56.25,54.03,54.55,54.57,0.93,18.43,2.43
20,601677,明泰铝业,16.81,2.56,0.42,180769,303799328.0,3.11,17.01,16.5,16.5,16.39,1.45,7.43,1.03
21,002026,山东威达,11.27,2.45,0.27,90613,100675549.57,4.27,11.35,10.88,11.22,11.0,2.06,20.74,1.27
22,002350,北京科锐,14.69,2.3,0.33,49735,73257319.98,4.32,15.0,14.38,14.5,14.36,0.94,-83.37,4.49
23,601107,四川成渝,5.91,2.25,0.13,62008,36445152.0,2.94,5.94,5.77,5.78,5.78,0.29,9.89,1.1
24,300274,阳光电源,111.95,2.15,2.36,123775,1375334879.26,3.31,112.4,108.77,109.0,109.59,0.78,25.32,4.91
25,603105,芯能科技,7.78,2.1,0.16,185394,143245953.0,3.28,7.83,7.58,7.64,7.62,3.71,80.59,1.88
26,000685,中山公用,11.36,2.07,0.23,92285,103988349.0,2.25,11.36,11.11,11.12,11.13,0.74,7.15,0.89
27,001208,华菱线缆,13.77,2.0,0.27,59504,81746052.0,2.37,13.85,13.53,13.55,13.5,1.87,72.18,3.03
28,000828,东莞控股,10.2,2.0,0.2,48531,49189335.6,2.5,10.2,9.95,10.0,10.0,0.47,9.63,1.02
29,002547,*ST春兴,2.58,1.98,0.05,114340,29577763.0,3.56,2.62,2.53,2.53,2.53,1.03,-14.53,-6.66
30,601512,中新集团,7.9,1.94,0.15,19127,15032473.0,2.84,7.92,7.7,7.78,7.75,0.13,11.59,0.76
31,002130,沃尔核材,17.38,1.94,0.33,238901,411318435.33,3.52,17.42,16.82,16.9,17.05,2.07,21.47,2.65
32,300120,经纬辉开,9.28,1.87,0.17,297623,274253932.98,3.4,9.35,9.04,9.07,9.11,5.64,428.05,2.13
33,600733,北汽蓝谷,5.07,1.81,0.09,418998,212788690.0,3.61,5.14,4.96,4.99,4.98,0.69,-9.27,5.36
34,000899,赣能股份,9.66,1.79,0.17,46811,44859894.9,2.32,9.67,9.45,9.49,9.49,0.48,18.79,1.55
35,603400,华之杰,44.83,1.66,0.73,17286,77645227.0,3.67,45.91,44.29,44.42,44.1,4.77,65.76,4.89
36,603097,江苏华辰,19.29,1.63,0.31,7687,14702932.0,2.48,19.4,18.93,19.27,18.98,0.34,8500.8,4.21
37,000881,中广核技,6.53,1.56,0.1,35154,22922547.0,2.02,6.56,6.43,6.43,6.43,0.39,-26.21,1.24
38,601727,上海电气,6.6,1.54,0.1,336147,222350234.0,1.85,6.68,6.56,6.56,6.5,0.27,67.4,1.88
39,002255,海陆重工,7.81,1.43,0.11,85875,67682123.04,3.38,8.03,7.77,7.83,7.7,1.35,20.15,1.4
40,688208,道通科技,25.78,1.42,0.36,26409,68028980.0,2.79,25.98,25.27,25.27,25.42,0.39,19.92,4.62
41,300870,欧陆通,212.94,1.4,2.93,42631,922991061.56,7.04,222.85,208.06,208.06,210.01,2.79,2010.06,12.52
42,601567,三星电气,14.76,1.37,0.2,37073,54211363.0,2.27,14.78,14.45,14.5,14.56,0.26,30.99,1.81
43,920030,德众汽车,4.52,1.35,0.06,8722,3935261.12,3.14,4.57,4.43,4.47,4.46,0.78,92.93,1.84
44,600020,中原高速,3.85,1.32,0.05,105876,40615996.0,1.84,3.86,3.79,3.8,3.8,0.47,6.3,0.73
45,600635,大众公用,4.63,1.31,0.06,100781,46418486.0,2.19,4.64,4.54,4.56,4.57,0.42,67.24,1.56
46,601222,林洋能源,5.58,1.27,0.07,51255,28445441.0,1.81,5.59,5.49,5.52,5.51,0.25,47.29,0.75
47,002276,万马股份,10.4,1.27,0.13,64473,67035561.5,2.04,10.46,10.25,10.3,10.27,0.64,25.12,1.69
48,600089,特变电工,19.24,1.26,0.24,269199,515167108.0,2.0,19.28,18.9,18.99,19.0,0.53,19.04,1.37
49,920682,球冠电缆,5.81,1.22,0.07,8183,4746235.01,2.09,5.84,5.72,5.73,5.74,0.36,34.81,2.01
50,000682,东方电子,11.66,1.22,0.14,43414,50410874.78,1.56,11.68,11.5,11.55,11.52,0.32,19.4,2.5
51,603390,通达电气,10.01,1.21,0.12,36808,37062232.0,3.64,10.2,9.84,9.84,9.89,1.05,24.24,2.07
52,688334,西高院,18.11,1.17,0.21,5359,9680795.0,1.4,18.15,17.9,17.95,17.9,0.17,20.6,1.92
53,002546,新联电子,8.01,1.14,0.09,52171,41543350.0,1.64,8.01,7.88,7.95,7.92,0.65,7.37,1.61
54,002298,中电鑫龙,8.05,1.13,0.09,133863,107620873.62,3.27,8.15,7.89,7.95,7.96,2.01,68.23,3.19
55,300712,永福股份,19.81,1.12,0.22,11383,22830444.0,4.65,20.5,19.59,19.59,19.59,0.61,-70.68,2.99
56,002358,森源电气,5.48,1.11,0.06,44435,24367077.0,2.03,5.53,5.42,5.42,5.42,0.48,23.94,1.53
57,300376,易事特,4.58,1.1,0.05,62715,28699974.0,2.65,4.62,4.5,4.52,4.53,0.27,178.91,1.64
58,600405,动力源,4.62,1.09,0.05,31351,14434151.0,1.53,4.63,4.56,4.58,4.57,0.51,-26.17,73.4
59,002346,柘中股份,20.84,1.07,0.22,50976,104778657.22,3.39,20.98,20.28,20.53,20.62,1.15,14.36,2.86
60,300682,朗新科技,9.49,1.06,0.1,58417,54959618.4,2.02,9.53,9.34,9.38,9.39,0.56,-28.35,1.61
61,002010,传化智联,4.75,1.06,0.05,67214,31901629.1,1.7,4.77,4.69,4.7,4.7,0.24,12.36,0.73
62,002518,科士达,35.58,1.05,0.37,63931,227722579.19,2.95,36.1,35.06,35.39,35.21,1.13,37.35,4.39
63,600268,国电南自,10.66,1.04,0.11,39688,42162069.0,1.61,10.69,10.52,10.56,10.55,0.39,27.93,2.9
64,300237,ST美晨,2.0,1.01,0.02,70522,14090224.2,2.53,2.02,1.97,1.97,1.98,0.49,-72.09,64.59
65,603195,公牛集团,40.53,1.0,0.4,14185,57468750.0,2.47,40.87,39.88,40.13,40.13,0.08,17.27,5.08
66,600406,国电南瑞,23.38,0.99,0.23,136380,317385795.0,1.77,23.44,23.03,23.1,23.15,0.17,65.09,3.78
67,600171,上海贝岭,22.66,0.98,0.22,30550,68868547.0,1.6,22.72,22.36,22.46,22.44,0.43,179.14,3.6
