序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,920627,力王股份,15.99,11.58,1.66,38296,59355590.09,13.33,16.4,14.49,15.04,14.33,8.18,38.64,3.22
2,603200,上海洗霸,42.69,10.0,3.88,173820,715605354.0,11.54,42.69,38.21,38.21,38.81,9.91,1007.06,6.84
3,301662,宏工科技,76.45,8.53,6.01,38828,292966452.71,13.09,79.28,70.06,70.39,70.44,8.71,29.15,5.91
4,920779,武汉蓝电,26.14,7.26,1.77,20986,53025342.41,9.44,26.15,23.85,23.88,24.37,10.48,47.33,4.57
5,920284,灵鸽科技,17.02,6.78,1.08,30426,51067705.05,8.72,17.3,15.91,15.94,15.94,4.54,-308.72,5.69
6,600869,远东股份,17.23,6.36,1.03,1518861,2586128531.0,7.78,17.49,16.23,16.25,16.2,6.84,93.09,8.75
7,920522,纳科诺尔,19.4,5.9,1.08,52359,100094393.37,7.91,19.67,18.22,18.32,18.32,2.88,91.74,3.97
8,688772,珠海冠宇,14.89,5.9,0.83,338606,494425440.0,10.1,15.0,13.58,13.63,14.06,2.97,-41.7,2.49
9,603876,鼎胜新材,23.64,4.79,1.08,133039,312145391.0,5.98,23.84,22.49,22.54,22.56,1.43,28.34,2.92
10,300438,鹏辉能源,63.35,4.54,2.75,96134,600368685.61,5.97,63.85,60.23,60.6,60.6,2.38,24.64,5.63
11,603032,德新科技,20.12,3.93,0.76,120379,239413576.0,6.97,20.52,19.17,19.22,19.36,5.17,43.96,3.95
12,688598,金博股份,37.17,3.83,1.37,141199,524346241.0,5.25,37.88,36.0,36.0,35.8,6.94,-27.25,2.03
13,920185,贝特瑞,21.9,3.69,0.78,46464,101145668.77,5.82,22.14,20.91,21.01,21.12,0.42,38.75,1.99
14,600110,诺德股份,11.66,3.64,0.41,1649008,1881816405.0,8.98,11.88,10.87,11.26,11.25,9.5,98.3,3.37
15,688116,天奈科技,33.47,3.62,1.17,54569,180876827.0,4.98,33.65,32.04,32.49,32.3,1.49,45.53,3.22
16,920239,长虹能源,22.56,3.39,0.74,11205,25234793.66,5.73,22.86,21.61,21.61,21.82,0.62,15.54,3.81
