序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,300327,中颖电子,23.65,4.0,0.91,91873,218248632.24,5.72,24.4,23.1,23.1,22.74,2.71,56.86,4.39
2,300866,安克创新,125.07,2.43,2.97,17013,210908132.64,3.06,125.14,121.4,122.12,122.1,0.55,38.99,7.13
3,300207,欣旺达,18.2,2.36,0.42,176919,319456303.28,3.04,18.25,17.71,17.78,17.78,1.03,73.73,1.37
4,000969,安泰科技,16.99,2.16,0.36,144203,245565638.0,2.71,17.24,16.79,16.8,16.63,1.38,44.97,3.15
5,002681,奋达科技,4.51,1.35,0.06,130246,58672002.5,2.7,4.55,4.43,4.44,4.45,0.83,-127.46,3.8
6,300870,欧陆通,212.82,1.34,2.81,42649,923374151.56,7.04,222.85,208.06,208.06,210.01,2.79,2008.92,12.52
7,600198,大唐电信,7.97,1.27,0.1,205765,162841310.0,4.19,8.08,7.75,7.83,7.87,1.58,-85.13,50.66
8,002298,中电鑫龙,8.05,1.13,0.09,133863,107620873.62,3.27,8.15,7.89,7.95,7.96,2.01,68.23,3.19
9,603195,公牛集团,40.58,1.12,0.45,14187,57476866.0,2.47,40.87,39.88,40.13,40.13,0.08,17.29,5.09
10,000049,德赛电池,23.61,0.98,0.23,26993,63476787.93,1.5,23.66,23.31,23.32,23.38,0.7,22.12,1.33
11,000400,许继电气,22.48,0.94,0.21,48771,109281814.29,1.57,22.5,22.15,22.22,22.27,0.48,27.53,1.85
12,002139,拓邦股份,9.74,0.62,0.06,47137,45784544.66,1.65,9.77,9.61,9.67,9.68,0.44,47.14,1.74
13,002594,比亚迪,91.74,0.42,0.38,159852,1475323474.25,2.38,93.23,91.06,91.2,91.36,0.46,51.19,3.66
14,002121,科陆电子,5.06,0.4,0.02,74527,37708645.0,1.98,5.11,5.01,5.04,5.04,0.53,-52.4,23.86
15,000063,中兴通讯,33.55,0.39,0.13,162610,544251388.27,0.93,33.65,33.34,33.42,33.42,0.4,29.15,2.13
16,002590,万安科技,9.58,0.21,0.02,20538,19754670.96,2.41,9.74,9.51,9.58,9.56,0.41,40.41,1.64
17,600699,均胜电子,19.17,0.16,0.03,98865,189270775.0,2.46,19.4,18.93,19.08,19.14,0.71,20.12,1.79
18,002735,王子新材,11.52,0.0,0.0,70203,81600188.0,5.21,11.95,11.35,11.75,11.52,2.46,107.18,2.77
19,001696,宗申动力,15.01,0.0,0.0,110183,164615215.71,1.87,15.09,14.81,14.96,15.01,1.24,25.03,3.23
20,002056,横店东磁,21.21,-0.14,-0.03,57880,122421229.0,1.93,21.35,20.94,21.2,21.24,0.36,18.19,3.25
21,002036,联创电子,6.78,-0.44,-0.03,140903,96112848.8,2.94,6.92,6.72,6.83,6.81,1.33,-10.02,10.66
22,300686,智动力,14.33,-0.49,-0.07,34579,49056843.0,3.61,14.55,14.03,14.26,14.4,1.34,-119.65,4.78
23,002993,奥海科技,37.51,-0.95,-0.36,18407,69187161.6,3.83,38.4,36.95,38.0,37.87,0.77,55.49,2.21
24,603595,ST东尼,26.41,-1.09,-0.29,8018,21214180.0,2.58,26.98,26.29,26.7,26.7,0.34,21.47,3.64
25,300136,信维通信,59.18,-1.1,-0.66,118492,703261181.77,3.49,60.49,58.4,60.0,59.84,1.44,136.48,7.18
26,002475,立讯精密,54.16,-1.28,-0.7,338993,1842818455.98,2.7,55.28,53.8,54.99,54.86,0.46,26.72,4.5
27,002861,瀛通通讯,15.42,-1.41,-0.22,14279,22109625.0,2.49,15.71,15.32,15.71,15.64,0.95,-26.52,2.78
28,688396,华润微,57.77,-1.48,-0.87,66941,389175067.0,2.61,59.05,57.52,59.05,58.64,0.5,53.11,3.27
29,688458,美芯晟,32.77,-1.53,-0.51,7182,23715709.0,4.51,34.03,32.53,32.53,33.28,0.77,-169.42,2.01
30,002577,雷柏科技,18.76,-1.68,-0.32,14533,27618706.0,4.04,19.45,18.68,18.88,19.08,0.52,176.52,4.49
31,002635,安洁科技,15.34,-1.92,-0.3,127958,197475001.16,5.88,16.0,15.08,15.57,15.64,3.24,30.85,1.73
32,002138,顺络电子,46.45,-2.19,-1.04,90154,420692437.76,3.2,47.52,46.0,47.0,47.49,1.18,41.88,5.71
33,300322,硕贝德,17.27,-2.21,-0.39,73167,126808693.52,4.93,17.88,17.01,17.78,17.66,1.66,157.11,7.7
34,300461,田中精机,30.8,-2.38,-0.75,16844,52336485.0,4.79,32.01,30.5,31.88,31.55,1.16,-143.91,8.65
35,605488,福莱新材,29.2,-2.63,-0.79,29684,87712001.0,5.7,30.58,28.87,30.23,29.99,1.08,84.27,3.89
36,002906,华阳集团,26.64,-2.81,-0.77,138524,374994510.0,4.67,27.67,26.39,27.3,27.41,2.64,17.42,1.96
37,002885,京泉华,27.62,-2.92,-0.83,59197,164807856.63,5.73,28.9,27.27,28.47,28.45,2.5,60.78,4.85
38,300787,海能实业,10.1,-3.07,-0.32,23326,23732141.79,3.36,10.4,10.05,10.3,10.42,1.19,-93.12,2.29
39,301622,英思特,38.64,-3.66,-1.47,13732,53065675.72,5.51,40.1,37.89,38.64,40.11,2.12,-85.61,2.94
40,600330,天通股份,26.3,-4.05,-1.11,915866,2440315193.0,6.53,27.59,25.8,26.88,27.41,7.43,-57.45,4.32
41,301489,思泉新材,112.08,-5.01,-5.91,47252,538493835.51,8.93,121.0,110.46,120.11,117.99,6.79,122.85,8.46
