序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,301082,久盛电气,9.8,2.83,0.27,136166,136448689.53,5.67,10.28,9.74,10.0,9.53,4.99,-105.85,2.84
2,002608,江苏国信,7.17,1.85,0.13,70335,50146512.44,2.13,7.18,7.03,7.05,7.04,0.19,7.44,0.72
3,002140,东华科技,9.18,0.66,0.06,28398,25974265.0,1.86,9.2,9.03,9.03,9.12,0.4,13.11,1.33
4,002564,天沃科技,4.44,0.45,0.02,40375,17926456.0,2.26,4.49,4.39,4.4,4.42,0.47,-24.53,34.89
5,300048,合康新能,5.05,0.4,0.02,18969,9587562.19,1.59,5.09,5.01,5.05,5.03,0.17,-123.51,3.12
6,601798,蓝科高新,7.79,-0.51,-0.04,17568,13731980.0,1.53,7.88,7.76,7.85,7.83,0.5,56.13,2.13
7,920304,迪尔化工,9.63,-0.72,-0.07,19099,18121042.23,4.43,9.74,9.31,9.52,9.7,1.41,49.49,3.09
8,002534,西子洁能,14.7,-0.88,-0.13,32144,47331993.99,3.78,15.06,14.5,14.98,14.83,0.39,-122.02,2.25
9,300614,百川畅银,10.74,-1.1,-0.12,10634,11475206.0,2.49,10.95,10.68,10.93,10.86,0.66,-21.22,2.39
10,300217,东方电热,4.23,-2.08,-0.09,173976,73475559.0,2.31,4.29,4.19,4.22,4.32,1.4,76.11,1.48
11,000811,冰轮环境,40.18,-5.68,-2.42,301394,1226872763.19,9.77,43.59,39.43,43.39,42.6,3.08,64.11,6.13
