序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
1,002295,精艺股份,10.09,10.03,0.92,62038,61190889.94,9.6,10.09,9.21,9.24,9.17,2.48,87.75,1.95
2,002015,协鑫能科,16.7,5.16,0.82,1354976,2224195751.49,12.53,17.4,15.41,15.77,15.88,8.35,23.54,2.27
3,300438,鹏辉能源,63.37,4.57,2.77,96161,600539747.61,5.97,63.85,60.23,60.6,60.6,2.38,24.65,5.63
4,920641,格利尔,14.02,3.47,0.47,17810,25107659.06,5.24,14.46,13.75,14.0,13.55,3.93,46.23,3.0
5,000027,深圳能源,6.36,3.08,0.19,238387,150274625.74,2.59,6.36,6.2,6.21,6.17,0.5,7.95,0.9
6,688390,固德威,65.63,2.95,1.88,27053,176515017.0,4.17,66.12,63.46,63.63,63.75,1.11,39.31,5.61
7,300338,*ST开元,3.12,2.63,0.08,50831,15897020.0,3.62,3.18,3.07,3.07,3.04,1.45,-13.73,-9.87
8,002350,北京科锐,14.7,2.37,0.34,49766,73302857.98,4.32,15.0,14.38,14.5,14.36,0.94,-83.43,4.49
9,603105,芯能科技,7.8,2.36,0.18,186260,143920721.0,3.28,7.83,7.58,7.64,7.62,3.73,80.8,1.88
10,688717,艾罗能源,50.2,2.12,1.04,54720,271348570.0,4.98,50.66,48.21,48.25,49.16,5.52,-114.31,1.86
11,000685,中山公用,11.35,1.98,0.22,92638,104389183.0,2.25,11.36,11.11,11.12,11.13,0.74,7.14,0.89
12,000531,穗恒运Ａ,5.72,1.42,0.08,34359,19524448.39,1.95,5.73,5.62,5.63,5.64,0.38,7.7,0.86
13,601222,林洋能源,5.58,1.27,0.07,52462,29119013.0,1.81,5.59,5.49,5.52,5.51,0.26,47.29,0.75
14,300068,ST南都,4.01,1.26,0.05,126211,50607154.0,2.53,4.06,3.96,3.96,3.96,1.48,-2.96,3.27
15,000682,东方电子,11.65,1.13,0.13,43632,50663889.88,1.56,11.68,11.5,11.55,11.52,0.33,19.39,2.5
16,300376,易事特,4.58,1.1,0.05,63015,28837520.0,2.65,4.62,4.5,4.52,4.53,0.27,178.91,1.64
17,600027,华电国际,4.65,1.09,0.05,343340,159427732.0,1.74,4.67,4.59,4.6,4.6,0.37,7.55,1.12
18,300682,朗新科技,9.49,1.06,0.1,58984,55498227.4,2.02,9.53,9.34,9.38,9.39,0.57,-28.35,1.61
19,600406,国电南瑞,23.39,1.04,0.24,138150,321525899.0,1.77,23.44,23.03,23.1,23.15,0.17,65.11,3.78
20,600268,国电南自,10.66,1.04,0.11,39845,42329469.0,1.61,10.69,10.52,10.56,10.55,0.39,27.93,2.9
