日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-07-01,3235.75,3243.09,3270.13,3223.31,0.45,14.39,73214025,231304644785.0,1.45,3.22
2026-07-02,3210.1,3191.2,3271.98,3182.96,-1.6,-51.89,67717400,189518816693.0,2.74,2.97
2026-07-03,3197.34,3235.97,3264.53,3191.53,1.4,44.77,66200792,173445948194.0,2.29,2.91
2026-07-06,3245.25,3188.39,3264.65,3178.96,-1.47,-47.58,68031986,175994631771.0,2.65,2.99
2026-07-07,3178.29,3102.65,3197.35,3094.02,-2.69,-85.74,58588215,145580582276.0,3.24,2.57
2026-07-08,3104.98,3035.0,3109.01,3035.0,-2.18,-67.65,57530723,144530079583.0,2.39,2.53
2026-07-09,3041.48,3061.38,3064.26,2952.24,0.87,26.38,66184139,172733835518.0,3.69,2.91
2026-07-10,3063.82,3080.63,3150.95,3055.68,0.63,19.25,72713309,196125059793.0,3.11,3.19
2026-07-13,3066.58,2934.17,3072.37,2927.08,-4.75,-146.46,63691809,159517564186.0,4.72,2.8
2026-07-14,2930.33,2966.38,2966.45,2869.74,1.1,32.21,57180260,147891536345.0,3.3,2.51
2026-07-15,2968.64,2947.43,3000.3,2933.72,-0.64,-18.95,53750125,129217478870.0,2.24,2.36
2026-07-16,2919.27,2913.93,2971.54,2894.18,-1.14,-33.5,52553868,125565611703.0,2.62,2.31
2026-07-17,2906.29,2785.79,2909.9,2769.08,-4.4,-128.14,67262777,139718828962.0,4.83,2.95
2026-07-20,2809.02,2712.27,2843.72,2665.92,-2.64,-73.52,74859488,146153665615.0,6.38,3.29
2026-07-21,2713.85,2773.64,2773.64,2579.89,2.26,61.37,80563541,164210996002.0,7.14,3.54
2026-07-22,2757.82,2751.77,2791.94,2736.46,-0.79,-21.87,63399304,143607805611.0,2.0,2.78
2026-07-23,2752.3,2839.83,2841.43,2752.3,3.2,88.06,70502671,134600489943.0,3.24,3.1
2026-07-24,2813.53,2764.44,2827.03,2763.39,-2.65,-75.39,65025734,112622332162.0,2.24,2.86
2026-07-27,2756.68,2859.82,2859.82,2756.68,3.45,95.38,62244584,111051969576.0,3.73,2.73
2026-07-28,2826.66,2811.85,2857.77,2800.42,-1.68,-47.97,60960239,110363668359.0,2.01,2.68
2026-07-29,2808.87,2853.58,2860.42,2781.0,1.48,41.73,69783279,128579760813.0,2.82,3.07
2026-07-30,2838.6,2777.05,2858.46,2765.27,-2.68,-76.53,68618806,121378764020.0,3.27,3.01
2026-07-31,2830.4,2847.14,2881.6,2830.4,2.52,70.09,68481014,126474684307.0,1.84,3.01
2026-08-03,2855.62,2902.03,2902.05,2855.62,1.93,54.89,64149449,104388101330.0,1.63,2.82
2026-08-04,2924.76,2974.02,2978.74,2910.22,2.48,71.99,69985168,126147089413.0,2.36,3.07
2026-08-05,2966.48,3031.16,3037.98,2966.48,1.92,57.14,73420906,146581007555.0,2.4,3.23
2026-08-06,3016.77,3037.24,3041.84,2993.53,0.2,6.08,66361535,131760132021.0,1.59,2.92
2026-08-07,3037.5,3054.86,3055.07,2984.53,0.58,17.62,63830664,143849139723.0,2.32,2.8
2026-08-10,3068.32,3090.64,3090.64,3043.14,1.17,35.78,59774154,125240526296.0,1.55,2.63
2026-08-11,3078.8,3077.17,3100.0,3046.51,-0.44,-13.47,55924589,119576102483.0,1.73,2.46
2026-08-12,3077.06,3118.49,3120.21,3076.56,1.34,41.32,53262078,113795583292.0,1.42,2.34
2026-08-13,3132.93,3097.44,3147.09,3097.03,-0.68,-21.05,65800821,143639669108.0,1.61,2.89
2026-08-14,3103.02,3095.19,3106.11,3061.52,-0.07,-2.25,59511727,125993159354.0,1.44,2.61
2026-08-17,3100.23,3161.71,3161.71,3077.32,2.15,66.52,58260058,133596018534.0,2.73,2.56
2026-08-18,3159.74,3150.9,3169.54,3112.02,-0.34,-10.81,60271022,138453124416.0,1.82,2.65
2026-08-19,3111.34,3001.65,3111.34,2994.64,-4.74,-149.25,59975683,133867165906.0,3.7,2.63
2026-08-20,3028.3,3031.69,3050.17,3011.99,1.0,30.04,49205788,106818585363.0,1.27,2.16
2026-08-21,3018.43,3043.51,3050.09,2985.79,0.39,11.82,43718201,97950541150.0,2.12,1.92
2026-08-24,3047.32,3012.12,3058.47,2970.99,-1.03,-31.39,49148996,105708889339.0,2.87,2.16
2026-08-25,2989.1,3056.2,3064.59,2970.23,1.46,44.08,53497666,109322085715.0,3.13,2.35
2026-08-26,3059.24,3062.83,3073.45,3034.11,0.22,6.63,26259572,55853275951.0,1.29,1.15
