2026-07-31 | 300604 | 长川科技 | 半导体 | 1306.1亿 | -1.58% | 预增
2026-08-05 | 688216 | 气派科技 | 半导体 | 31.1亿 | +11.51% | 扭亏
2026-08-11 | 300120 | 经纬辉开 | 光学光电子 | 48.9亿 | +44.69% | -
2026-08-14 | 300075 | 数字政通 | 软件开发 | 56.1亿 | -0.64% | -
2026-08-15 | 300935 | 盈建科 | 软件开发 | 18.5亿 | +31.41% | -
2026-08-20 | 688721 | 龙图光罩 | 半导体 | 22.2亿 | +10.80% | -
2026-08-22 | 301536 | 星宸科技 | 半导体 | 211.5亿 | -10.17% | 预增
2026-08-22 | 688530 | 欧莱新材 | 半导体 | 41.3亿 | +34.05% | 扭亏
2026-08-24 | 300287 | 飞利信 | IT服务Ⅱ | 46.7亿 | -1.67% | -
2026-08-24 | 301489 | 思泉新材 | 电子化学品Ⅱ | 78.0亿 | +17.71% | -
2026-08-24 | 300975 | 商络电子 | 元件 | 120.7亿 | +0.95% | -
2026-08-24 | 300468 | 四方精创 | 软件开发 | 125.6亿 | +14.08% | -
2026-08-25 | 001309 | 德明利 | 半导体 | 649.4亿 | +10.90% | 扭亏
2026-08-25 | 688150 | 莱特光电 | 电子化学品Ⅱ | 149.5亿 | +5.06% | -
2026-08-25 | 002916 | 深南电路 | 元件 | 2280.9亿 | +8.56% | 预增
2026-08-26 | 002156 | 通富微电 | 半导体 | 921.1亿 | -2.25% | 预增
2026-08-27 | 688201 | ST信安 | 软件开发 | 23.1亿 | +6.75% | -
2026-08-27 | 300830 | 金现代 | 软件开发 | 27.3亿 | +4.38% | -
2026-08-27 | 300440 | 运达科技 | IT服务Ⅱ | 83.4亿 | +27.13% | -
2026-08-27 | 300925 | 法本信息 | 软件开发 | 52.1亿 | +2.75% | -
2026-08-27 | 002841 | 视源股份 | 消费电子 | 244.9亿 | +5.27% | 预增
2026-08-27 | 300645 | 正元智慧 | 计算机设备 | 18.3亿 | +10.69% | -
2026-08-27 | 300996 | 普联软件 | 软件开发 | 46.3亿 | +7.73% | -
2026-08-27 | 688270 | ST臻镭 | 半导体 | 176.8亿 | -3.01% | -
2026-08-27 | 300803 | 指南针 | 软件开发 | 508.8亿 | +4.45% | -
2026-08-27 | 600654 | 中安科 | 软件开发 | 69.5亿 | +3.45% | -
2026-08-27 | 688019 | 安集科技 | 电子化学品Ⅱ | 523.9亿 | -10.02% | -
2026-08-27 | 688103 | 国力电子 | 其他电子Ⅱ | 69.0亿 | +18.07% | -
2026-08-27 | 603918 | 金桥信息 | IT服务Ⅱ | 39.1亿 | +2.58% | 续亏
2026-08-27 | 688066 | *ST航图 | IT服务Ⅱ | 21.1亿 | +3.21% | -
2026-08-27 | 301717 | 超纯应材 | 半导体 | 67.2亿 | N/A(次新股) | 预增
2026-08-27 | 688233 | 神工股份 | 半导体 | 181.6亿 | +6.33% | -
2026-08-27 | 600571 | 信雅达 | IT服务Ⅱ | 49.8亿 | +7.84% | 增亏
2026-08-27 | 688299 | 长阳科技 | 光学光电子 | 37.0亿 | +5.76% | -
2026-08-27 | 603990 | 麦迪科技 | 软件开发 | 68.3亿 | +15.26% | 预减
2026-08-27 | 300561 | 汇金科技 | 软件开发 | 40.9亿 | -3.74% | -
2026-08-27 | 603636 | 南威软件 | IT服务Ⅱ | 40.4亿 | +8.58% | 增亏
2026-08-27 | 600363 | 联创光电 | 消费电子 | 79.8亿 | -32.08% | -
2026-08-27 | 603138 | 海量数据 | IT服务Ⅱ | 36.7亿 | +6.18% | 增亏
2026-08-27 | 601519 | 大智慧 | 软件开发 | 166.5亿 | +3.71% | 增亏
2026-08-27 | 605118 | 力鼎光电 | 计算机设备 | 115.0亿 | -1.95% | 预增
2026-08-27 | 600410 | 华胜天成 | IT服务Ⅱ | 146.3亿 | +0.08% | 首亏
2026-08-27 | 300333 | 兆日科技 | 计算机设备 | 42.5亿 | +74.66% | -
2026-08-27 | 688141 | 杰华特 | 半导体 | 529.7亿 | +3.41% | -
2026-08-27 | 300277 | 汽轮科技 | IT服务Ⅱ | 90.9亿 | +2.42% | -
2026-08-27 | 002268 | 电科网安 | 计算机设备 | 117.7亿 | -1.90% | 减亏
2026-08-27 | 301583 | 托伦斯 | 半导体 | 37.8亿 | -36.71% | -
2026-08-27 | 002331 | 皖通科技 | IT服务Ⅱ | 27.9亿 | +5.15% | 增亏
2026-08-27 | 002771 | 真视通 | IT服务Ⅱ | 21.4亿 | +4.87% | 减亏
2026-08-27 | 688790 | 昂瑞微 | 半导体 | 12.0亿 | +6.59% | -
2026-08-27 | 603991 | 领先股份 | 半导体 | 119.3亿 | +16.93% | 扭亏
2026-08-27 | 002970 | 锐明技术 | 计算机设备 | 63.1亿 | +8.01% | -
2026-08-27 | 300074 | 华平股份 | 软件开发 | 21.1亿 | +11.59% | -
2026-08-27 | 301628 | 强达电路 | 元件 | 25.3亿 | +23.39% | -
2026-08-27 | 300150 | 世纪瑞尔 | IT服务Ⅱ | 20.2亿 | +11.25% | -
2026-08-27 | 300551 | 古鳌科技 | 计算机设备 | 35.8亿 | +14.57% | -
2026-08-27 | 300167 | ST迪威迅 | IT服务Ⅱ | 14.4亿 | +5.15% | -
2026-08-27 | 688702 | 盛科通信 | 半导体 | 733.8亿 | +2.81% | -
2026-08-27 | 688693 | 锴威特 | 半导体 | 28.1亿 | +25.47% | -
2026-08-27 | 300290 | ST荣科 | IT服务Ⅱ | 38.5亿 | +30.30% | -
2026-08-27 | 301348 | 蓝箭电子 | 半导体 | 39.8亿 | +13.33% | -
2026-08-27 | 688347 | 华虹宏力 | 半导体 | 958.5亿 | -12.90% | -
2026-08-27 | 603061 | 金海通 | 半导体 | 291.9亿 | +24.42% | 预增
2026-08-27 | 001373 | 翔腾新材 | 光学光电子 | 12.0亿 | +14.11% | 增亏
2026-08-27 | 300348 | 长亮科技 | 软件开发 | 73.2亿 | +9.14% | -
2026-08-27 | 688512 | 慧智微 | 半导体 | 43.9亿 | +15.95% | -
2026-08-27 | 300366 | ST创意 | 软件开发 | 27.3亿 | +18.16% | -
2026-08-27 | 300419 | ST浩丰 | IT服务Ⅱ | 30.5亿 | +7.93% | -
2026-08-27 | 688539 | 高华科技 | 元件 | 46.3亿 | +6.42% | -
2026-08-27 | 300183 | 东软载波 | 通信设备 | 40.0亿 | +5.28% | -
2026-08-27 | 688038 | 中科通达 | 软件开发 | 20.7亿 | +3.31% | -
2026-08-27 | 301314 | 科瑞思 | 通信设备 | 7.8亿 | +19.96% | -
2026-08-27 | 301389 | 隆扬电子 | 消费电子 | 147.0亿 | +13.78% | -
2026-08-27 | 301369 | 联动科技 | 半导体 | 69.7亿 | +3.72% | 预增
2026-08-27 | 688258 | 卓易信息 | IT服务Ⅱ | 110.2亿 | -0.54% | -
2026-08-27 | 001232 | 嘉立创 | 元件 | 64.9亿 | N/A(次新股) | 预增
2026-08-27 | 300959 | 线上线下 | 通信服务 | 46.7亿 | -1.89% | -
2026-08-27 | 002993 | 奥海科技 | 消费电子 | 89.4亿 | +5.96% | 预减
2026-08-27 | 300655 | 晶瑞电材 | 电子化学品Ⅱ | 139.9亿 | +2.47% | -
2026-08-27 | 000839 | 国安股份 | 通信服务 | 107.8亿 | -2.48% | 增亏
