序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000009,中国宝安,2026-07-31,2家机构买入，成功率38.69%,7.87,10.0699,362524375.65,519859161.01,157334785.36,677193946.37,1495614588.0,24.239157504794,45.278640085717,5.6024,20273281059.55,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.1270648,0.50825921,2.92249047,0.38119441
2,000017,深中华A,2026-08-25,1家机构买入，成功率32.47%,8.6,9.9744,-416771.400000006,112254739.0,112671510.4,224926249.4,566604911.0,-0.073555910284,39.697193764704,13.1245,4185965919.98,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
3,000017,深中华A,2026-08-21,主力做T，成功率19.29%,7.11,10.0619,4599091.67,104887598.01,100288506.34,205176104.35,403808386.0,1.138929212332,50.810263348518,9.4301,3524173953.35,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.9859353,20.95639944,,
4,000020,深华发A,2026-08-19,主力做T，成功率27.90%,13.74,10.008,-4353707.0,55691673.0,60045380.0,115737053.0,341669053.0,-1.27424680748,33.87402282524,10.565,2745222020.7,连续三个交易日内，涨幅偏离值累计达到20%的证券,-9.97088792,-14.55604076,,
5,000065,北方国际,2026-08-24,2家机构买入，成功率38.77%,9.98,10.0331,26892149.93,184880118.7,157987968.77,342868087.47,825797033.0,3.256508422209,41.519656013344,7.8008,10628885358.54,日涨幅偏离值达到7%的前5只证券,0.0,,,
6,000417,合百集团,2026-07-27,1家机构卖出，成功率21.52%,5.94,-6.6038,-12641290.79,35025191.86,47666482.65,82691674.51,429673891.0,-2.942066310005,19.24521741769,9.3224,4627423058.94,日跌幅偏离值达到7%的前5只证券,-4.71380471,-3.36700337,-3.1986532,1.34680135
7,000428,华天酒店,2026-07-30,1家机构卖出，成功率39.49%,3.83,-5.198,-16539271.52,34254492.69,50793764.21,85048256.9,452627130.0,-3.654061019277,18.789915862975,10.6638,3902486580.0,日振幅值达到15%的前5只证券,9.92167102,4.17754569,3.39425587,19.58224543
8,000428,华天酒店,2026-07-28,2家机构买入，成功率27.50%,3.67,9.8802,9600268.16,51423461.0,41823192.84,93246653.84,230028582.0,4.173510994386,40.536985895083,3.0943,3739458420.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.08174387,4.35967302,8.99182561,17.4386921
9,000505,京粮控股,2026-08-21,2家机构卖出，成功率33.97%,6.74,-10.0134,-7155484.55,42734081.93,49889566.48,92623648.41,425335840.0,-1.682314039184,21.776591507078,9.8111,4390893964.64,日跌幅偏离值达到7%的前5只证券,-1.18694362,3.56083086,,
10,000505,京粮控股,2026-08-20,2家机构买入，成功率37.16%,7.49,0.2677,-64321659.31,65337722.0,129659381.31,194997103.31,933785509.0,-6.888269167818,20.882429790416,20.7314,4866478716.64,日振幅值达到15%的前5只证券,-10.01335113,-11.08144192,,
