证券代码,sw_l2
002077,半导体
002119,半导体
002156,半导体
002185,半导体
002371,半导体
002409,半导体
003026,半导体
003043,半导体
300046,半导体
300077,半导体
300223,半导体
300327,半导体
300373,半导体
300456,半导体
300458,半导体
300604,半导体
300613,半导体
300623,半导体
300661,半导体
300666,半导体
300671,半导体
300672,半导体
300706,半导体
300782,半导体
300831,半导体
600171,半导体
600206,半导体
600360,半导体
600460,半导体
600584,半导体
603005,半导体
603068,半导体
603160,半导体
603290,半导体
603501,半导体
603690,半导体
603893,半导体
603986,半导体
605111,半导体
605358,半导体
688008,半导体
688012,半导体
688018,半导体
688037,半导体
688049,半导体
688082,半导体
688099,半导体
688107,半导体
688110,半导体
688123,半导体
688126,半导体
688135,半导体
688138,半导体
688200,半导体
688216,半导体
688230,半导体
688233,半导体
688256,半导体
688286,半导体
688368,半导体
688385,半导体
688396,半导体
688508,半导体
688521,半导体
688536,半导体
688589,半导体
688601,半导体
688608,半导体
688689,半导体
688699,半导体
688711,半导体
688728,半导体
688766,半导体
688798,半导体
688981,半导体
688262,半导体
688234,半导体
688259,半导体
688220,半导体
688173,半导体
688270,半导体
688261,半导体
688048,半导体
688153,半导体
688209,半导体
688072,半导体
688279,半导体
688052,半导体
688325,半导体
688167,半导体
688213,半导体
688045,半导体
688120,半导体
688047,半导体
688332,半导体
688130,半导体
600745,半导体
600877,半导体
688595,半导体
301308,半导体
688380,半导体
688661,半导体
688041,半导体
688401,半导体
688403,半导体
688381,半导体
688416,半导体
688391,半导体
301369,半导体
688252,半导体
688409,半导体
688061,半导体
688372,半导体
688419,半导体
688432,半导体
688362,半导体
688172,半导体
688498,半导体
688141,半导体
301297,半导体
688525,半导体
688515,半导体
688486,半导体
603061,半导体
688535,半导体
688484,半导体
688352,半导体
688146,半导体
688478,半导体
688249,半导体
688469,半导体
688512,半导体
688361,半导体
688458,半导体
688593,半导体
688620,半导体
688582,半导体
002213,半导体
688347,半导体
301348,半导体
688693,半导体
688591,半导体
688702,半导体
688653,半导体
688652,半导体
688720,半导体
603375,半导体
688709,半导体
688584,半导体
301536,半导体
688691,半导体
688530,半导体
001309,半导体
300053,半导体
688721,半导体
301611,半导体
688449,半导体
688605,半导体
301629,半导体
301678,半导体
688729,半导体
603991,半导体
688783,半导体
688727,半导体
688795,半导体
688790,半导体
688802,半导体
688807,半导体
688809,半导体
688785,半导体
301666,半导体
688820,半导体
688797,半导体
600641,半导体
603316,半导体
301583,半导体
688825,半导体
301717,半导体
002049,半导体
000823,元件
002134,元件
002138,元件
002199,元件
002384,元件
002436,元件
002463,元件
002484,元件
002579,元件
002636,元件
002815,元件
002913,元件
002916,元件
002938,元件
300319,元件
300408,元件
300460,元件
300476,元件
300657,元件
300739,元件
300814,元件
300852,元件
300903,元件
300936,元件
300964,元件
301041,元件
600183,元件
600237,元件
600563,元件
600601,元件
603186,元件
603228,元件
603328,元件
603386,元件
603738,元件
603920,元件
603936,元件
603989,元件
605058,元件
605258,元件
688020,元件
688183,元件
688519,元件
688655,元件
300975,元件
301132,元件
301282,元件
301366,元件
301176,元件
688539,元件
301251,元件
301566,元件
001389,元件
301628,元件
301458,元件
603175,元件
603459,元件
002141,元件
002552,元件
001232,元件
000636,元件
000045,光学光电子
000050,光学光电子
000100,光学光电子
000536,光学光电子
000725,光学光电子
000727,光学光电子
002036,光学光电子
002106,光学光电子
002217,光学光电子
002222,光学光电子
002273,光学光电子
002289,光学光电子
002387,光学光电子
002449,光学光电子
002456,光学光电子
002587,光学光电子
002654,光学光电子
002745,光学光电子
002845,光学光电子
002876,光学光电子
002952,光学光电子
002955,光学光电子
002962,光学光电子
002983,光学光电子
003015,光学光电子
003019,光学光电子
300076,光学光电子
300088,光学光电子
300102,光学光电子
300120,光学光电子
300162,光学光电子
300219,光学光电子
300232,光学光电子
300241,光学光电子
300296,光学光电子
300301,光学光电子
300303,光学光电子
300323,光学光电子
300389,光学光电子
300545,光学光电子
300566,光学光电子
300582,光学光电子
300632,光学光电子
300701,光学光电子
300708,光学光电子
300752,光学光电子
300808,光学光电子
300889,光学光电子
300909,光学光电子
300939,光学光电子
300940,光学光电子
600071,光学光电子
600552,光学光电子
600703,光学光电子
600707,光学光电子
603297,光学光电子
603679,光学光电子
603685,光学光电子
603703,光学光电子
603773,光学光电子
605218,光学光电子
605588,光学光电子
688010,光学光电子
688055,光学光电子
688079,光学光电子
688127,光学光电子
688181,光学光电子
688195,光学光电子
688299,光学光电子
688538,光学光电子
301106,光学光电子
001308,光学光电子
301183,光学光电子
688322,光学光电子
000509,光学光电子
002137,光学光电子
002992,光学光电子
300269,光学光电子
300331,光学光电子
301045,光学光电子
301321,光学光电子
301379,光学光电子
688502,光学光电子
001373,光学光电子
301421,光学光电子
300489,光学光电子
688378,光学光电子
688496,光学光电子
301479,光学光电子
688781,光学光电子
001399,光学光电子
688307,光学光电子
000020,光学光电子
002130,其他电子Ⅱ
002161,其他电子Ⅱ
002388,其他电子Ⅱ
002729,其他电子Ⅱ
002859,其他电子Ⅱ
002922,其他电子Ⅱ
300184,其他电子Ⅱ
300493,其他电子Ⅱ
300516,其他电子Ⅱ
300656,其他电子Ⅱ
300736,其他电子Ⅱ
300991,其他电子Ⅱ
301031,其他电子Ⅱ
600353,其他电子Ⅱ
603933,其他电子Ⅱ
688093,其他电子Ⅱ
688103,其他电子Ⅱ
688662,其他电子Ⅱ
688800,其他电子Ⅱ
300475,其他电子Ⅱ
000670,其他电子Ⅱ
002782,其他电子Ⅱ
002885,其他电子Ⅱ
300131,其他电子Ⅱ
300650,其他电子Ⅱ
301099,其他电子Ⅱ
301328,其他电子Ⅱ
001298,其他电子Ⅱ
301359,其他电子Ⅱ
001287,其他电子Ⅱ
301275,其他电子Ⅱ
301563,其他电子Ⅱ
000062,其他电子Ⅱ
002045,消费电子
002055,消费电子
002139,消费电子
002241,消费电子
002351,消费电子
002369,消费电子
002475,消费电子
002600,消费电子
002635,消费电子
002655,消费电子
002660,消费电子
002681,消费电子
002855,消费电子
002861,消费电子
002866,消费电子
002888,消费电子
002925,消费电子
002947,消费电子
002981,消费电子
002993,消费电子
300032,消费电子
300115,消费电子
300136,消费电子
300256,消费电子
300322,消费电子
300433,消费电子
300602,消费电子
300647,消费电子
300679,消费电子
300686,消费电子
300709,消费电子
300735,消费电子
300787,消费电子
300793,消费电子
300822,消费电子
300843,消费电子
300857,消费电子
300866,消费电子
300916,消费电子
300951,消费电子
300956,消费电子
300968,消费电子
300976,消费电子
301051,消费电子
301067,消费电子
301086,消费电子
301180,消费电子
600130,消费电子
600203,消费电子
601138,消费电子
601231,消费电子
603327,消费电子
603380,消费电子
603595,消费电子
603626,消费电子
603629,消费电子
603633,消费电子
603890,消费电子
605277,消费电子
688007,消费电子
688036,消费电子
688260,消费电子
688678,消费电子
688210,消费电子
301189,消费电子
301123,消费电子
002426,消费电子
002841,消费电子
300812,消费电子
600363,消费电子
301326,消费电子
301285,消费电子
603052,消费电子
301389,消费电子
001314,消费电子
301387,消费电子
301383,消费电子
301486,消费电子
301329,消费电子
603296,消费电子
301567,消费电子
603341,消费电子
300784,消费电子
301606,消费电子
300868,消费电子
301626,消费电子
688775,消费电子
301491,消费电子
002402,消费电子
300128,消费电子
000021,消费电子
002643,电子化学品Ⅱ
002741,电子化学品Ⅱ
300054,电子化学品Ⅱ
300236,电子化学品Ⅱ
300346,电子化学品Ⅱ
300398,电子化学品Ⅱ
300429,电子化学品Ⅱ
300481,电子化学品Ⅱ
300537,电子化学品Ⅱ
300576,电子化学品Ⅱ
300655,电子化学品Ⅱ
603002,电子化学品Ⅱ
603078,电子化学品Ⅱ
603931,电子化学品Ⅱ
688019,电子化学品Ⅱ
688106,电子化学品Ⅱ
688268,电子化学品Ⅱ
688359,电子化学品Ⅱ
688550,电子化学品Ⅱ
688150,电子化学品Ⅱ
300285,电子化学品Ⅱ
300684,电子化学品Ⅱ
688371,电子化学品Ⅱ
688035,电子化学品Ⅱ
301319,电子化学品Ⅱ
688603,电子化学品Ⅱ
688548,电子化学品Ⅱ
688549,电子化学品Ⅱ
301489,电子化学品Ⅱ
600330,电子化学品Ⅱ
688683,电子化学品Ⅱ
688545,电子化学品Ⅱ
301630,电子化学品Ⅱ
603115,电子化学品Ⅱ
002584,电子化学品Ⅱ
000977,计算机设备
000997,计算机设备
002152,计算机设备
002197,计算机设备
002236,计算机设备
002268,计算机设备
002376,计算机设备
002415,计算机设备
002512,计算机设备
002528,计算机设备
002577,计算机设备
002835,计算机设备
002912,计算机设备
002970,计算机设备
002990,计算机设备
003004,计算机设备
300042,计算机设备
300130,计算机设备
300155,计算机设备
300248,计算机设备
300249,计算机设备
300270,计算机设备
300302,计算机设备
300324,计算机设备
300333,计算机设备
300368,计算机设备
300386,计算机设备
300449,计算机设备
300455,计算机设备
300462,计算机设备
300479,计算机设备
300508,计算机设备
300531,计算机设备
300546,计算机设备
300551,计算机设备
300552,计算机设备
300588,计算机设备
300645,计算机设备
300659,计算机设备
300691,计算机设备
300743,计算机设备
300771,计算机设备
300789,计算机设备
300790,计算机设备
300807,计算机设备
300845,计算机设备
300884,计算机设备
300941,计算机设备
301042,计算机设备
600100,计算机设备
603019,计算机设备
603106,计算机设备
603496,计算机设备
603508,计算机设备
603516,计算机设备
603660,计算机设备
605118,计算机设备
688060,计算机设备
688188,计算机设备
688208,计算机设备
688288,计算机设备
688619,计算机设备
301117,计算机设备
300275,计算机设备
001229,计算机设备
301318,计算机设备
001339,计算机设备
301330,计算机设备
301339,计算机设备
301391,计算机设备
688489,计算机设备
688475,计算机设备
002180,计算机设备
301503,计算机设备
301589,计算机设备
688292,计算机设备
002869,计算机设备
300847,计算机设备
301182,计算机设备
301608,计算机设备
301600,计算机设备
000066,计算机设备
000158,IT服务Ⅱ
000555,IT服务Ⅱ
000938,IT服务Ⅱ
002065,IT服务Ⅱ
002195,IT服务Ⅱ
002232,IT服务Ⅱ
002331,IT服务Ⅱ
002368,IT服务Ⅱ
002373,IT服务Ⅱ
002380,IT服务Ⅱ
002401,IT服务Ⅱ
002421,IT服务Ⅱ
002474,IT服务Ⅱ
002609,IT服务Ⅱ
002642,IT服务Ⅱ
002649,IT服务Ⅱ
002657,IT服务Ⅱ
002771,IT服务Ⅱ
002777,IT服务Ⅱ
003005,IT服务Ⅱ
300017,IT服务Ⅱ
300020,IT服务Ⅱ
300044,IT服务Ⅱ
300078,IT服务Ⅱ
300079,IT服务Ⅱ
300096,IT服务Ⅱ
300150,IT服务Ⅱ
300166,IT服务Ⅱ
300167,IT服务Ⅱ
300168,IT服务Ⅱ
300170,IT服务Ⅱ
300212,IT服务Ⅱ
300231,IT服务Ⅱ
300245,IT服务Ⅱ
300250,IT服务Ⅱ
300264,IT服务Ⅱ
300271,IT服务Ⅱ
300277,IT服务Ⅱ
300287,IT服务Ⅱ
300288,IT服务Ⅱ
300290,IT服务Ⅱ
300300,IT服务Ⅱ
300339,IT服务Ⅱ
300399,IT服务Ⅱ
300419,IT服务Ⅱ
300440,IT服务Ⅱ
300448,IT服务Ⅱ
300496,IT服务Ⅱ
300523,IT服务Ⅱ
300532,IT服务Ⅱ
300541,IT服务Ⅱ
300609,IT服务Ⅱ
300634,IT服务Ⅱ
300674,IT服务Ⅱ
300678,IT服务Ⅱ
300682,IT服务Ⅱ
300687,IT服务Ⅱ
300846,IT服务Ⅱ
300872,IT服务Ⅱ
300895,IT服务Ⅱ
301085,IT服务Ⅱ
301178,IT服务Ⅱ
301185,IT服务Ⅱ
600131,IT服务Ⅱ
600271,IT服务Ⅱ
600410,IT服务Ⅱ
600446,IT服务Ⅱ
600476,IT服务Ⅱ
600536,IT服务Ⅱ
600571,IT服务Ⅱ
600718,IT服务Ⅱ
600728,IT服务Ⅱ
600756,IT服务Ⅱ
600797,IT服务Ⅱ
600845,IT服务Ⅱ
600850,IT服务Ⅱ
603138,IT服务Ⅱ
603171,IT服务Ⅱ
603636,IT服务Ⅱ
603869,IT服务Ⅱ
603887,IT服务Ⅱ
