股票代码,chg_20d_pct,latest_date,ago_date,err
000725,0.0,2026-08-26,2026-07-29,
000636,6.31,2026-08-26,2026-07-29,
000100,-0.2,2026-08-26,2026-07-29,
000062,2.93,2026-08-26,2026-07-29,
002106,4.89,2026-08-26,2026-07-29,
002077,3.96,2026-08-26,2026-07-29,
002134,5.57,2026-08-26,2026-07-29,
002156,-2.25,2026-08-26,2026-07-29,
002222,21.99,2026-08-26,2026-07-29,
002161,15.3,2026-08-26,2026-07-29,
002387,0.28,2026-08-26,2026-07-29,
002289,21.53,2026-08-26,2026-07-29,
002388,29.96,2026-08-26,2026-07-29,
002600,0.49,2026-08-26,2026-07-29,
002584,11.68,2026-08-26,2026-07-29,
002636,13.34,2026-08-26,2026-07-29,
002654,19.49,2026-08-26,2026-07-29,
002745,5.02,2026-08-26,2026-07-29,
002729,5.0,2026-08-26,2026-07-29,
002681,2.74,2026-08-26,2026-07-29,
002815,15.8,2026-08-26,2026-07-29,
002876,6.86,2026-08-26,2026-07-29,
002861,6.49,2026-08-26,2026-07-29,
002888,11.64,2026-08-26,2026-07-29,
002993,5.96,2026-08-26,2026-07-29,
002913,38.43,2026-08-26,2026-07-29,
002916,8.56,2026-08-26,2026-07-29,
003019,12.32,2026-08-26,2026-07-29,
003026,8.68,2026-08-26,2026-07-29,
300076,7.91,2026-08-26,2026-07-29,
300088,1.92,2026-08-26,2026-07-29,
300032,10.51,2026-08-26,2026-07-29,
300115,-3.54,2026-08-26,2026-07-29,
300120,44.69,2026-08-26,2026-07-29,
300136,-3.91,2026-08-26,2026-07-29,
300162,4.69,2026-08-26,2026-07-29,
300223,5.27,2026-08-26,2026-07-29,
300303,-0.57,2026-08-26,2026-07-29,
300398,8.24,2026-08-26,2026-07-29,
300346,6.0,2026-08-26,2026-07-29,
300408,-1.44,2026-08-26,2026-07-29,
300429,16.51,2026-08-26,2026-07-29,
300476,22.46,2026-08-26,2026-07-29,
300456,9.2,2026-08-26,2026-07-29,
300493,-4.42,2026-08-26,2026-07-29,
300516,9.68,2026-08-26,2026-07-29,
300537,9.35,2026-08-26,2026-07-29,
300604,-1.58,2026-08-26,2026-07-29,
300613,11.51,2026-08-26,2026-07-29,
300655,2.47,2026-08-26,2026-07-29,
300672,17.41,2026-08-26,2026-07-29,
300661,13.15,2026-08-26,2026-07-29,
300701,11.74,2026-08-26,2026-07-29,
300709,16.75,2026-08-26,2026-07-29,
300736,8.31,2026-08-26,2026-07-29,
300752,12.76,2026-08-26,2026-07-29,
300793,1.18,2026-08-26,2026-07-29,
300831,-0.4,2026-08-26,2026-07-29,
300857,14.08,2026-08-26,2026-07-29,
300866,4.28,2026-08-26,2026-07-29,
300903,44.65,2026-08-26,2026-07-29,
300968,-3.13,2026-08-26,2026-07-29,
301067,15.94,2026-08-26,2026-07-29,
301051,32.69,2026-08-26,2026-07-29,
301180,10.2,2026-08-26,2026-07-29,
600171,-0.26,2026-08-26,2026-07-29,
600707,10.13,2026-08-26,2026-07-29,
600353,40.69,2026-08-26,2026-07-29,
601231,12.43,2026-08-26,2026-07-29,
603186,50.57,2026-08-26,2026-07-29,
603327,10.56,2026-08-26,2026-07-29,
603297,12.59,2026-08-26,2026-07-29,
603328,18.13,2026-08-26,2026-07-29,
603629,20.9,2026-08-26,2026-07-29,
603685,-4.99,2026-08-26,2026-07-29,
603738,28.18,2026-08-26,2026-07-29,
603989,3.11,2026-08-26,2026-07-29,
605058,12.6,2026-08-26,2026-07-29,
605218,20.2,2026-08-26,2026-07-29,
688010,3.82,2026-08-26,2026-07-29,
688008,-6.75,2026-08-26,2026-07-29,
688019,-10.02,2026-08-26,2026-07-29,
688020,11.96,2026-08-26,2026-07-29,
688107,4.41,2026-08-26,2026-07-29,
688135,17.12,2026-08-26,2026-07-29,
688103,18.07,2026-08-26,2026-07-29,
688200,6.15,2026-08-26,2026-07-29,
688216,11.51,2026-08-26,2026-07-29,
688195,44.61,2026-08-26,2026-07-29,
688230,6.27,2026-08-26,2026-07-29,
688519,31.69,2026-08-26,2026-07-29,
688233,6.33,2026-08-26,2026-07-29,
688299,5.76,2026-08-26,2026-07-29,
688601,37.93,2026-08-26,2026-07-29,
688678,27.54,2026-08-26,2026-07-29,
688728,-4.72,2026-08-26,2026-07-29,
688711,12.37,2026-08-26,2026-07-29,
688981,-7.44,2026-08-26,2026-07-29,
688210,22.31,2026-08-26,2026-07-29,
301189,16.71,2026-08-26,2026-07-29,
688262,9.04,2026-08-26,2026-07-29,
688220,-14.85,2026-08-26,2026-07-29,
688173,9.39,2026-08-26,2026-07-29,
301123,21.76,2026-08-26,2026-07-29,
688270,-3.01,2026-08-26,2026-07-29,
688150,5.06,2026-08-26,2026-07-29,
688048,11.91,2026-08-26,2026-07-29,
688209,4.82,2026-08-26,2026-07-29,
688279,20.7,2026-08-26,2026-07-29,
688052,19.44,2026-08-26,2026-07-29,
300475,3.44,2026-08-26,2026-07-29,
688325,2.41,2026-08-26,2026-07-29,
688047,-0.86,2026-08-26,2026-07-29,
002841,5.27,2026-08-26,2026-07-29,
002992,3.19,2026-08-26,2026-07-29,
002885,13.41,2026-08-26,2026-07-29,
300131,20.55,2026-08-26,2026-07-29,
600363,-32.08,2026-08-26,2026-07-29,
688595,1.64,2026-08-26,2026-07-29,
688371,15.25,2026-08-26,2026-07-29,
300975,0.95,2026-08-26,2026-07-29,
301326,34.02,2026-08-26,2026-07-29,
688391,4.54,2026-08-26,2026-07-29,
688409,14.45,2026-08-26,2026-07-29,
301369,3.72,2026-08-26,2026-07-29,
688372,4.4,2026-08-26,2026-07-29,
001298,10.19,2026-08-26,2026-07-29,
301379,4.66,2026-08-26,2026-07-29,
301389,13.78,2026-08-26,2026-07-29,
688498,25.77,2026-08-26,2026-07-29,
688141,3.41,2026-08-26,2026-07-29,
603061,24.42,2026-08-26,2026-07-29,
688502,21.74,2026-08-26,2026-07-29,
688515,2.92,2026-08-26,2026-07-29,
688535,2.01,2026-08-26,2026-07-29,
688539,6.42,2026-08-26,2026-07-29,
688512,15.95,2026-08-26,2026-07-29,
688478,7.08,2026-08-26,2026-07-29,
688458,2.03,2026-08-26,2026-07-29,
001373,14.11,2026-08-26,2026-07-29,
688603,11.08,2026-08-26,2026-07-29,
688620,7.14,2026-08-26,2026-07-29,
688347,-12.9,2026-08-26,2026-07-29,
301348,13.33,2026-08-26,2026-07-29,
688548,-0.26,2026-08-26,2026-07-29,
688702,2.81,2026-08-26,2026-07-29,
688693,25.47,2026-08-26,2026-07-29,
301489,17.71,2026-08-26,2026-07-29,
688652,3.95,2026-08-26,2026-07-29,
301566,8.7,2026-08-26,2026-07-29,
688709,0.28,2026-08-26,2026-07-29,
688584,8.97,2026-08-26,2026-07-29,
603341,-0.51,2026-08-26,2026-07-29,
301536,-10.17,2026-08-26,2026-07-29,
688691,2.62,2026-08-26,2026-07-29,
688530,34.05,2026-08-26,2026-07-29,
001309,10.9,2026-08-26,2026-07-29,
300489,35.1,2026-08-26,2026-07-29,
300784,8.5,2026-08-26,2026-07-29,
688496,-11.54,2026-08-26,2026-07-29,
688721,10.8,2026-08-26,2026-07-29,
301626,24.9,2026-08-26,2026-07-29,
301628,23.39,2026-08-26,2026-07-29,
688605,2.47,2026-08-26,2026-07-29,
688775,-10.08,2026-08-26,2026-07-29,
688729,-8.23,2026-08-26,2026-07-29,
301491,2.14,2026-08-26,2026-07-29,
603991,16.93,2026-08-26,2026-07-29,
688790,6.59,2026-08-26,2026-07-29,
603175,13.21,2026-08-26,2026-07-29,
688802,-6.95,2026-08-26,2026-07-29,
688809,-5.63,2026-08-26,2026-07-29,
688785,4.27,2026-08-26,2026-07-29,
300128,14.12,2026-08-26,2026-07-29,
603316,12.96,2026-08-26,2026-07-29,
603115,6.21,2026-08-26,2026-07-29,
688307,21.84,2026-08-26,2026-07-29,
301583,-36.71,2026-08-26,2026-07-29,
688825,5.95,2026-08-26,2026-07-29,
001232,,,,insufficient_bars(17)
301717,,,,insufficient_bars(12)
000066,1.73,2026-08-26,2026-07-29,
000555,-2.4,2026-08-26,2026-07-29,
000158,-0.71,2026-08-26,2026-07-29,
000938,-6.46,2026-08-26,2026-07-29,
000977,-1.6,2026-08-26,2026-07-29,
002063,0.0,2026-08-26,2026-07-29,
002152,-0.2,2026-08-26,2026-07-29,
002195,-5.08,2026-08-26,2026-07-29,
002197,0.91,2026-08-26,2026-07-29,
002253,7.85,2026-08-26,2026-07-29,
002212,-5.91,2026-08-26,2026-07-29,
002279,-5.1,2026-08-26,2026-07-29,
002268,-1.9,2026-08-26,2026-07-29,
002331,5.15,2026-08-26,2026-07-29,
002401,4.66,2026-08-26,2026-07-29,
002642,-0.28,2026-08-26,2026-07-29,
002512,19.4,2026-08-26,2026-07-29,
002771,4.87,2026-08-26,2026-07-29,
002835,8.38,2026-08-26,2026-07-29,
002970,8.01,2026-08-26,2026-07-29,
003004,17.42,2026-08-26,2026-07-29,
300020,-7.61,2026-08-26,2026-07-29,
003005,10.95,2026-08-26,2026-07-29,
300074,11.59,2026-08-26,2026-07-29,
300075,-0.64,2026-08-26,2026-07-29,
300085,2.73,2026-08-26,2026-07-29,
300150,11.25,2026-08-26,2026-07-29,
300166,2.71,2026-08-26,2026-07-29,
300167,5.15,2026-08-26,2026-07-29,
300168,4.37,2026-08-26,2026-07-29,
300170,4.07,2026-08-26,2026-07-29,
300229,2.8,2026-08-26,2026-07-29,
300231,0.24,2026-08-26,2026-07-29,
300245,5.37,2026-08-26,2026-07-29,
300264,4.21,2026-08-26,2026-07-29,
300277,2.42,2026-08-26,2026-07-29,
300287,-1.67,2026-08-26,2026-07-29,
300288,5.71,2026-08-26,2026-07-29,
300290,30.3,2026-08-26,2026-07-29,
300300,3.06,2026-08-26,2026-07-29,
300302,4.62,2026-08-26,2026-07-29,
300333,74.66,2026-08-26,2026-07-15,
300348,9.14,2026-08-26,2026-07-29,
300366,18.16,2026-08-26,2026-07-29,
300368,-13.49,2026-08-26,2026-07-29,
300380,1.91,2026-08-26,2026-07-29,
300378,10.03,2026-08-26,2026-07-29,
300419,7.93,2026-08-26,2026-07-29,
300440,27.13,2026-08-26,2026-07-29,
300449,6.99,2026-08-26,2026-07-29,
300451,2.65,2026-08-26,2026-07-29,
300468,14.08,2026-08-26,2026-07-29,
300469,15.03,2026-08-26,2026-07-29,
300523,5.89,2026-08-26,2026-07-29,
300525,1.62,2026-08-26,2026-07-29,
300532,1.76,2026-08-26,2026-07-29,
300551,14.57,2026-08-26,2026-07-29,
300542,12.88,2026-08-26,2026-07-29,
300556,8.98,2026-08-26,2026-07-29,
300561,-3.74,2026-08-26,2026-07-29,
300579,3.79,2026-08-26,2026-07-29,
300588,-2.66,2026-08-26,2026-07-29,
300598,13.57,2026-08-26,2026-07-29,
300605,14.06,2026-08-26,2026-07-29,
300634,3.19,2026-08-26,2026-07-29,
300645,10.69,2026-08-26,2026-07-29,
300659,5.94,2026-08-26,2026-07-29,
300663,-5.04,2026-08-26,2026-07-29,
300691,15.67,2026-08-26,2026-07-29,
300678,-5.76,2026-08-26,2026-07-29,
300789,10.33,2026-08-26,2026-07-29,
300730,-0.88,2026-08-26,2026-07-29,
300803,4.45,2026-08-26,2026-07-29,
300790,14.36,2026-08-26,2026-07-29,
300830,4.38,2026-08-26,2026-07-29,
300925,2.75,2026-08-26,2026-07-29,
300996,7.73,2026-08-26,2026-07-24,
300935,31.41,2026-08-26,2026-07-29,
301042,23.35,2026-08-26,2026-07-29,
301178,9.25,2026-08-26,2026-07-29,
301185,3.92,2026-08-26,2026-07-29,
600100,-2.01,2026-08-26,2026-07-29,
600271,1.03,2026-08-26,2026-07-29,
600410,0.08,2026-08-26,2026-07-29,
600571,7.84,2026-08-26,2026-07-29,
600654,3.45,2026-08-26,2026-07-29,
600718,0.36,2026-08-26,2026-07-29,
601519,3.71,2026-08-26,2026-07-29,
603138,6.18,2026-08-26,2026-07-29,
603496,-7.06,2026-08-26,2026-07-29,
603232,-0.2,2026-08-26,2026-07-29,
603636,8.58,2026-08-26,2026-07-29,
603918,2.58,2026-08-26,2026-07-29,
603660,30.51,2026-08-26,2026-07-29,
603990,15.26,2026-08-26,2026-07-29,
605118,-1.95,2026-08-26,2026-07-29,
605398,4.33,2026-08-26,2026-07-29,
688030,13.63,2026-08-26,2026-07-29,
688038,3.31,2026-08-26,2026-07-29,
688051,14.89,2026-08-26,2026-07-29,
688058,13.87,2026-08-26,2026-07-29,
688060,10.71,2026-08-26,2026-07-29,
688066,3.21,2026-08-26,2026-07-29,
