股票代码,circulating_cap_yi,market_cap_yi,price,change_pct_1d
000062,231.7,231.9,22.17,0.09
000100,989.8,1023.4,4.92,0.2
000636,579.9,579.9,50.54,-1.54
000725,2019.5,2115.2,5.71,-0.52
002077,70.1,70.1,12.08,-0.49
002106,72.5,72.6,10.29,0.0
002134,50.8,50.8,20.5,-2.05
002156,921.1,921.2,60.7,-0.33
002161,45.7,45.7,6.18,3.87
002222,300.1,301.4,64.1,0.55
002289,105.9,108.1,38.59,-1.53
002387,100.7,100.8,7.22,-0.28
002388,32.5,32.5,6.42,-0.47
002584,38.0,47.5,8.12,-0.25
002600,884.2,997.2,12.28,0.9
002636,448.0,450.3,61.85,-3.45
002654,115.0,115.0,13.61,0.37
002681,70.8,80.9,4.51,1.35
002729,24.3,25.3,13.84,-0.5
002745,117.9,164.4,11.08,-1.07
002815,102.5,162.8,13.19,-1.86
002861,23.2,28.7,15.42,-1.41
002876,43.1,50.4,28.97,0.1
002888,13.3,26.2,17.75,-1.33
002913,172.6,179.4,56.52,-0.56
002916,2280.9,2336.9,343.08,0.61
002993,89.4,103.5,37.51,-0.95
003019,43.2,44.2,24.98,0.77
003026,41.3,53.6,28.55,-1.55
300032,31.2,31.2,3.88,-0.51
300076,19.1,19.1,4.5,0.22
300088,171.3,172.1,6.89,-1.71
300115,351.0,352.0,25.86,-0.5
300120,48.9,53.2,9.27,1.76
300136,488.4,572.6,59.18,-1.1
300162,26.0,31.8,7.59,-0.13
300223,554.3,674.9,131.06,-2.27
300303,93.3,99.5,7.02,0.72
300346,357.0,376.1,54.42,-0.96
300398,196.8,197.9,34.71,-0.46
300408,2003.7,2139.7,107.16,-1.78
300429,45.7,60.8,10.95,-0.09
300456,183.6,225.0,30.73,-1.0
300476,2136.1,2426.4,246.89,0.78
300493,61.4,62.1,12.11,-0.08
300516,77.2,77.2,30.63,-0.94
300537,29.3,40.0,19.29,-1.03
300604,1306.1,1722.7,266.84,1.22
300613,144.0,152.6,65.54,-1.97
300655,139.9,140.5,12.47,-0.64
300661,686.1,781.5,114.0,-0.75
300672,326.2,336.7,155.09,-1.5
300701,24.7,27.4,9.8,-0.81
300709,60.6,75.5,40.45,0.07
300736,36.6,37.5,29.33,-0.91
300752,24.3,35.1,10.87,-2.69
300793,41.5,42.4,11.14,0.0
300831,27.7,48.1,15.02,-1.64
