证券代码,证券名称,sw_l1,股票代码,股票简称,首次预约,初次变更,二次变更,三次变更,实际披露
000062,深圳华强,电子,000062,深圳华强,2026-08-28,,,,
000100,TCL科技,电子,000100,TCL科技,2026-08-29,,,,
000636,风华高科,电子,000636,风华高科,2026-08-28,,,,
000725,京东方A,电子,000725,京东方Ａ,2026-08-29,,,,
002077,大港股份,电子,002077,大港股份,2026-08-29,,,,
002106,莱宝高科,电子,002106,莱宝高科,2026-08-29,,,,
002134,天津普林,电子,002134,天津普林,2026-08-27,,,,
002156,通富微电,电子,002156,通富微电,2026-08-26,2026-08-29,,,
002161,远望谷,电子,002161,远 望 谷,2026-08-29,,,,
002222,福晶科技,电子,002222,福晶科技,2026-08-28,,,,
002289,宇顺电子,电子,002289,宇顺电子,2026-08-29,,,,
002387,维信诺,电子,002387,维信诺,2026-08-28,,,,
002388,新亚制程,电子,002388,新亚制程,2026-08-27,,,,
002584,西陇科学,电子,002584,西陇科学,2026-08-28,,,,
002600,领益智造,电子,002600,领益智造,2026-08-27,2026-08-29,,,
002636,金安国纪,电子,002636,金安国纪,2026-08-28,,,,
002654,万润科技,电子,002654,万润科技,2026-08-27,,,,
002681,奋达科技,电子,002681,奋达科技,2026-08-29,,,,
002729,好利科技,电子,002729,好利科技,2026-08-27,,,,
002745,木林森,电子,002745,木林森,2026-08-28,,,,
002815,崇达技术,电子,002815,崇达技术,2026-08-29,,,,
002861,瀛通通讯,电子,002861,瀛通通讯,2026-08-29,,,,
002876,三利谱,电子,002876,三利谱,2026-08-27,,,,
002888,惠威科技,电子,002888,惠威科技,2026-08-28,,,,
002913,奥士康,电子,002913,奥士康,2026-08-28,,,,
002916,深南电路,电子,002916,深南电路,2026-08-25,2026-08-27,,,
002993,奥海科技,电子,002993,奥海科技,2026-08-27,,,,
003019,宸展光电,电子,003019,宸展光电,2026-08-29,,,,
003026,中晶科技,电子,003026,中晶科技,2026-08-29,,,,
300032,金龙机电,电子,300032,金龙机电,2026-08-29,,,,
300076,*ST宁视,电子,300076,*ST宁视,2026-08-27,,,,
300088,长信科技,电子,300088,长信科技,2026-08-28,,,,
300115,长盈精密,电子,300115,长盈精密,2026-08-27,,,,
