
=== 2025-01-14  n=153 ===
  605033 美邦股份     board=9 pct=10.0 turn=2.2 floatmkt~38.3亿
  600128 苏豪弘业     board=4 pct=10.0 turn=35.6 floatmkt~26.5亿
  603777 来伊份      board=4 pct=10.0 turn=10.9 floatmkt~66.5亿
  002917 金奥博      board=4 pct=10.0 turn=3.4 floatmkt~37.4亿
  600202 哈空调      board=3 pct=10.1 turn=23.4 floatmkt~22.1亿
  603086 先达股份     board=3 pct=10.0 turn=20.2 floatmkt~23.4亿
  603166 福达股份     board=3 pct=10.0 turn=17.3 floatmkt~57.2亿
  002310 东方新能     board=3 pct=4.9 turn=0.5 floatmkt~79.8亿
  600381 *ST春天    board=2 pct=5.1 turn=0.7 floatmkt~26.7亿
  600423 *ST柳化    board=2 pct=10.1 turn=0.9 floatmkt~27.1亿
  603106 恒银科技     board=2 pct=10.0 turn=7.7 floatmkt~45.7亿
  603111 康尼机电     board=2 pct=10.1 turn=12.0 floatmkt~57.0亿
  603158 腾龙股份     board=2 pct=10.0 turn=3.3 floatmkt~46.9亿
  000421 南京公用     board=2 pct=10.0 turn=0.4 floatmkt~45.0亿
  000631 顺发恒能     board=2 pct=9.9 turn=2.5 floatmkt~78.0亿
  000679 大连友谊     board=2 pct=10.0 turn=14.5 floatmkt~21.3亿
  002164 宁波东力     board=2 pct=10.0 turn=6.1 floatmkt~27.0亿
  002418 康盛股份     board=2 pct=9.9 turn=11.4 floatmkt~45.7亿
  002647 仁东控股     board=2 pct=5.0 turn=2.4 floatmkt~27.0亿
  600234 科新发展     board=1 pct=4.9 turn=0.8 floatmkt~14.3亿
  600289 ST信通     board=1 pct=5.0 turn=5.4 floatmkt~9.8亿
  600358 国旅联合     board=1 pct=10.2 turn=3.1 floatmkt~17.5亿
  600410 华胜天成     board=1 pct=10.1 turn=13.6 floatmkt~78.7亿
  600480 凌云股份     board=1 pct=10.0 turn=4.0 floatmkt~101.5亿
  600539 狮头股份     board=1 pct=10.0 turn=2.6 floatmkt~16.2亿
  600545 卓郎智能     board=1 pct=10.1 turn=4.3 floatmkt~44.2亿
  600556 天下秀      board=1 pct=10.1 turn=1.7 floatmkt~94.5亿
  600579 中化装备     board=1 pct=10.0 turn=10.8 floatmkt~40.7亿
  600580 卧龙电驱     board=1 pct=10.0 turn=10.6 floatmkt~238.9亿
  600601 方正科技     board=1 pct=9.9 turn=18.8 floatmkt~213.4亿
  600608 ???      board=1 pct=5.0 turn=0.7 floatmkt~10.0亿
  600692 亚通股份     board=1 pct=10.0 turn=3.9 floatmkt~22.6亿
  600733 北汽蓝谷     board=1 pct=10.0 turn=4.1 floatmkt~365.5亿
  600824 益民集团     board=1 pct=9.9 turn=16.6 floatmkt~53.5亿
  600831 广电网络     board=1 pct=5.2 turn=1.4 floatmkt~17.1亿
  600858 银座股份     board=1 pct=10.1 turn=7.7 floatmkt~30.3亿
  601226 华电科工     board=1 pct=10.0 turn=3.6 floatmkt~80.3亿
  601616 广电电气     board=1 pct=10.0 turn=4.2 floatmkt~32.8亿
  603007 顺景科技     board=1 pct=5.0 turn=2.5 floatmkt~64.5亿
  603009 北特科技     board=1 pct=10.0 turn=10.0 floatmkt~156.3亿
  603015 弘讯科技     board=1 pct=10.0 turn=19.5 floatmkt~55.0亿
  603048 浙江黎明     board=1 pct=10.0 turn=2.9 floatmkt~21.7亿
  603177 德创环保     board=1 pct=10.0 turn=6.3 floatmkt~15.5亿
  603219 富佳股份     board=1 pct=10.0 turn=1.9 floatmkt~80.4亿
  603280 南方路机     board=1 pct=10.0 turn=14.7 floatmkt~6.0亿
  603308 应流股份     board=1 pct=10.0 turn=3.2 floatmkt~113.7亿
  603320 迪贝电气     board=1 pct=10.0 turn=10.1 floatmkt~21.4亿
  603350 安乃达      board=1 pct=10.0 turn=8.2 floatmkt~9.5亿
  603511 爱慕股份     board=1 pct=10.0 turn=0.1 floatmkt~50.3亿
  603557 *ST起步    board=1 pct=4.9 turn=3.6 floatmkt~12.0亿
  603559 中通国脉     board=1 pct=5.0 turn=0.4 floatmkt~32.1亿
  603598 引力传媒     board=1 pct=10.0 turn=1.6 floatmkt~44.4亿
  603629 利通电子     board=1 pct=10.0 turn=10.5 floatmkt~55.3亿
  603637 镇海股份     board=1 pct=10.0 turn=3.0 floatmkt~20.2亿
  603667 五洲新春     board=1 pct=10.0 turn=18.0 floatmkt~120.4亿
  603677 奇精机械     board=1 pct=10.0 turn=1.6 floatmkt~24.5亿
  603728 鸣志电器     board=1 pct=10.0 turn=6.7 floatmkt~240.4亿
  603808 歌力思      board=1 pct=10.0 turn=0.8 floatmkt~26.9亿
  603813 原尚股份     board=1 pct=10.0 turn=3.4 floatmkt~10.5亿
  603825 ST华扬     board=1 pct=10.0 turn=10.8 floatmkt~32.6亿
  603879 永悦科技     board=1 pct=5.1 turn=2.1 floatmkt~13.1亿
  603908 牧高笛      board=1 pct=10.0 turn=4.0 floatmkt~20.3亿
  603950 长源东谷     board=1 pct=10.0 turn=2.1 floatmkt~56.3亿
  603969 银龙股份     board=1 pct=9.9 turn=2.8 floatmkt~51.1亿
  603986 兆易创新     board=1 pct=10.0 turn=7.6 floatmkt~821.4亿
  603989 艾华集团     board=1 pct=10.0 turn=2.9 floatmkt~61.9亿
  605018 长华集团     board=1 pct=10.0 turn=0.5 floatmkt~42.4亿
  605080 浙江自然     board=1 pct=10.0 turn=3.0 floatmkt~37.9亿
  605133 嵘泰股份     board=1 pct=10.0 turn=3.8 floatmkt~44.3亿
  605258 协和电子     board=1 pct=10.0 turn=1.8 floatmkt~26.1亿
  000016 *ST康佳A   board=1 pct=10.0 turn=0.6 floatmkt~96.9亿
  000056 *ST皇庭    board=1 pct=10.0 turn=8.9 floatmkt~24.1亿
  000070 特发信息     board=1 pct=5.0 turn=1.4 floatmkt~50.0亿
