code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct,code6,name
sh.688585,2025-07-22,48.19,40.16,10,False,19.15,7.5646,1455243633.41,19237549023.0,535.75,0,0.2,688585,上纬新材
sh.600749,2025-07-31,28.2,25.64,8,False,9.98,20.3202,1284658698.88,6322077041.0,138.98,0,0.1,600749,西藏旅游
sh.605303,2025-08-26,24.24,22.04,7,False,0.73,29.3634,1002315482.66,3413485777.0,92.53,0,0.1,605303,园林股份
sh.600421,2025-08-19,8.6,8.19,6,False,5.01,13.1347,217246572.72,1653989606.0,27.22,1,0.1,600421,?
sh.600475,2025-07-10,18.4,16.73,6,False,5.5,2.4863,427768679.27,17205030739.0,75.41,0,0.1,600475,华光环能
sh.600826,2025-07-18,14.49,13.17,6,False,3.87,17.8998,1872365068.31,10460256921.0,89.91,0,0.1,600826,兰生股份
sh.603316,2025-07-03,11.97,10.88,6,False,2.02,35.3476,1050670835.31,2972396529.0,75.51,0,0.1,603316,诚邦股份
sh.603377,2025-08-26,3.96,3.77,6,False,5.04,3.3061,93592695.24,2830909387.0,34.24,1,0.1,603377,ST东时
sh.603626,2025-08-22,15.26,13.87,6,False,0.94,34.1827,2843620481.93,8318887864.0,79.32,0,0.1,603626,科森科技
sh.603757,2025-08-18,51.85,47.14,6,False,9.25,19.556,1618215134.43,8274775693.0,118.96,0,0.1,603757,大元泵业
sh.605255,2025-08-29,47.19,42.9,6,True,10.0,0.0837,5294718.0,6325827957.0,83.62,0,0.1,605255,天普股份
sh.605500,2025-07-10,13.28,12.07,6,False,3.56,12.063,623340068.25,5167371866.0,77.07,0,0.1,605500,森林包装
sz.002231,2025-08-19,4.62,4.4,6,True,5.0,0.4625,6298889.52,1361922058.0,54.0,1,0.1,002231,?
sz.002289,2025-08-08,25.99,24.75,6,False,4.69,0.8252,59935340.85,7263129041.0,35.15,1,0.1,002289,宇顺电子
sh.600117,2025-07-25,3.8,3.45,5,False,10.14,7.7838,962265482.34,12362412733.0,71.17,0,0.1,600117,西宁特钢
