code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct
sh.600010,2025-07-11,2.09,1.9,1,False,4.74,4.4472,2862864852.46,64374546961.0,15.47,0,0.1
sh.600010,2025-07-24,2.52,2.29,1,False,-2.18,8.5825,6569046505.63,76540011717.0,42.37,0,0.1
sh.600010,2025-07-30,2.92,2.65,1,False,3.77,11.5285,10191375884.09,88401577691.0,59.56,0,0.1
sh.600010,2025-08-25,2.99,2.72,1,False,1.1,6.7647,6195590906.83,91587075655.0,18.65,0,0.1
sh.600021,2025-08-15,11.76,10.69,1,False,0.09,6.2257,2026860090.59,32556340501.0,29.23,0,0.1
sh.600021,2025-08-18,12.94,11.76,2,False,1.62,4.0931,1458813248.67,35640791788.0,35.21,0,0.1
sh.600053,2025-08-11,17.88,16.25,1,False,0.74,8.1768,622179130.61,7609078498.0,14.98,0,0.1
sh.600053,2025-08-12,19.67,17.88,2,True,10.01,1.2178,103854531.48,8528044956.0,28.48,0,0.1
sh.600053,2025-08-13,21.64,19.67,3,False,3.97,6.442,592191457.29,9192664658.0,39.52,0,0.1
sh.600058,2025-08-22,9.22,8.38,1,False,1.07,2.4871,238890099.25,9605166630.0,9.89,0,0.1
sh.600076,2025-08-15,2.76,2.51,1,False,3.19,4.5925,165786556.51,3609941350.0,15.48,0,0.1
sh.600076,2025-08-19,2.97,2.7,1,False,0.0,8.7715,335064739.3,3819925204.0,21.22,0,0.1
sh.600089,2025-07-22,14.44,13.13,1,False,0.99,7.1986,5005193496.61,69530096083.0,23.74,0,0.1
sh.600097,2025-07-02,11.43,10.39,1,False,5.87,9.2673,252217882.42,2721589702.0,11.3,0,0.1
sh.600104,2025-08-20,19.8,18.0,1,False,0.17,1.7873,3965074120.53,221847150480.0,11.24,0,0.1
sh.600107,2025-07-14,4.33,4.12,1,False,-1.94,3.6555,56564095.53,1547369595.0,15.47,1,0.1
sh.600107,2025-08-14,4.14,3.94,1,False,0.25,2.148,31183591.7,1451750079.0,-6.12,1,0.1
sh.600107,2025-08-18,4.55,4.33,1,False,0.46,2.3185,37501296.0,1617480958.0,3.64,1,0.1
sh.600107,2025-08-19,4.78,4.55,2,False,5.05,1.4488,24888944.22,1717900623.0,9.13,1,0.1
sh.600107,2025-08-20,5.02,4.78,3,False,3.77,1.6192,29123642.0,1798643898.0,14.61,1,0.1
sh.600107,2025-08-21,5.27,5.02,4,True,4.98,0.3555,6745094.08,1897354172.0,20.32,1,0.1
sh.600107,2025-08-25,5.7,5.43,1,False,2.76,4.3297,88394404.31,2041582657.0,31.03,1,0.1
sh.600107,2025-08-26,5.99,5.7,2,False,1.58,3.4502,74033751.5,2145781447.0,38.02,1,0.1
sh.600107,2025-08-29,5.99,5.7,1,False,-0.7,3.4233,72981073.94,2131892441.0,45.04,1,0.1
sh.600110,2025-07-31,6.26,5.69,1,False,-0.7,17.9795,1920357938.4,10680819480.0,4.51,0,0.1
sh.600110,2025-08-15,7.0,6.36,1,False,-2.52,13.0728,1560227348.46,11934913320.0,21.32,0,0.1
sh.600110,2025-08-18,7.7,7.0,2,False,9.71,6.1778,819462060.46,13264625926.0,36.77,0,0.1
sh.600110,2025-08-19,8.47,7.7,3,False,7.79,21.3213,3082136168.81,14455667191.0,46.79,0,0.1
sh.600111,2025-07-10,27.01,24.55,1,False,7.94,8.2143,7843432262.3,95485096263.0,6.46,0,0.1
sh.600111,2025-07-11,29.71,27.01,2,False,5.89,9.4781,10049066044.07,106024055919.0,18.37,0,0.1
sh.600111,2025-08-18,42.9,39.0,1,False,1.79,7.9146,11749317544.64,148451185716.0,22.4,0,0.1
sh.600113,2025-07-02,27.58,25.07,1,False,-1.68,4.6984,514261363.4,10945457249.0,95.46,0,0.1
sh.600113,2025-07-10,31.68,28.8,1,False,0.03,4.4014,554393414.12,12595842553.0,125.16,0,0.1
sh.600113,2025-08-11,36.1,32.82,1,False,1.55,3.6288,526082836.22,14497432656.0,23.97,0,0.1
sh.600113,2025-08-12,39.71,36.1,2,False,2.49,4.7693,759216477.71,15918824098.0,37.45,0,0.1
sh.600113,2025-08-13,43.68,39.71,3,False,5.77,4.8068,845384495.91,17587261711.0,52.94,0,0.1
sh.600113,2025-08-15,50.9,46.27,1,False,-0.58,4.9713,1020684076.15,20531532520.0,77.29,0,0.1
sh.600113,2025-08-25,54.51,49.55,1,False,2.18,2.2565,492558503.75,21828429149.0,86.74,0,0.1
sh.600113,2025-08-26,59.96,54.51,2,False,6.97,3.5151,863321830.69,24560377534.0,127.04,0,0.1
sh.600114,2025-07-24,22.89,20.81,1,False,3.84,4.7609,667164295.95,14013407044.0,13.82,0,0.1
sh.600117,2025-07-21,2.59,2.35,1,False,8.94,1.7742,149459343.98,8424041482.0,20.47,0,0.1
sh.600117,2025-07-22,2.85,2.59,2,True,10.04,0.5787,53690998.95,9277863997.0,30.73,0,0.1
sh.600117,2025-07-23,3.14,2.85,3,True,10.18,1.8793,192083979.88,10221038678.0,43.38,0,0.1
sh.600117,2025-07-24,3.45,3.14,4,False,4.78,5.3583,556531642.82,10386347215.0,57.53,0,0.1
sh.600117,2025-07-25,3.8,3.45,5,False,10.14,7.7838,962265482.34,12362412733.0,71.17,0,0.1
sh.600117,2025-07-29,3.82,3.47,1,False,-2.02,12.4765,1446376499.52,11592806472.0,69.78,0,0.1
sh.600117,2025-07-30,4.2,3.82,2,False,6.28,7.3918,1003059925.94,13569900781.0,79.49,0,0.1
sh.600118,2025-08-25,33.3,30.27,1,False,0.1,6.9502,2640122939.38,37986287292.0,15.26,0,0.1
sh.600118,2025-08-26,36.63,33.3,2,False,7.78,9.9116,4239702246.9,42775154838.0,26.05,0,0.1
sh.600119,2025-07-04,8.62,7.84,1,False,9.95,8.373,263297624.84,3144603187.0,0.47,0,0.1
