code,name,max_streak,peak_date,isST
000609,*ST中迪,11,2025-10-31,1
605255,天普股份,9,2025-09-03,0
000691,亚太实业,9,2025-09-18,1
600403,大有能源,8,2025-10-23,0
002058,威尔泰,8,2025-09-16,1
002713,东易日盛,8,2025-10-16,1
603843,*ST正平,7,2025-09-22,1
605178,时空科技,7,2025-10-31,0
000620,盈新发展,7,2025-10-28,0
600376,首开股份,6,2025-09-10,0
603618,杭电股份,6,2025-09-23,0
002513,蓝丰生化,6,2025-09-29,0
600107,*ST尔雅,5,2025-10-15,1
600162,香江控股,5,2025-09-18,0
600170,上海建工,5,2025-09-18,0
600735,ST新华锦,5,2025-10-31,1
603177,德创环保,5,2025-09-01,0
603378,*ST亚士,5,2025-10-30,0
000626,远大控股,5,2025-10-20,0
000638,*ST万方,5,2025-10-28,1
001234,泰慕士,5,2025-09-19,0
002047,宝鹰股份,5,2025-10-31,1
002453,华软科技,5,2025-09-25,0
002748,世龙实业,5,2025-10-27,0
600078,澄星股份,4,2025-10-14,0
600103,青山纸业,4,2025-09-12,0
600167,联美控股,4,2025-09-25,0
600629,华建集团,4,2025-09-16,0
603122,合富中国,4,2025-10-31,0
603398,*ST沐邦,4,2025-09-29,1
603516,淳中科技,4,2025-09-12,0
603686,福龙马,4,2025-09-23,0
603839,安正时尚,4,2025-09-05,0
603938,三孚股份,4,2025-10-20,0
603948,建业股份,4,2025-09-01,0
000004,国华退,4,2025-10-13,1
000559,万向钱潮,4,2025-09-18,0
000592,平潭发展,4,2025-10-29,0
000718,苏宁环球,4,2025-09-12,0
000852,石化机械,4,2025-10-23,0
000969,安泰科技,4,2025-10-14,0
002059,云南旅游,4,2025-09-22,0
002231,*ST奥维,4,2025-10-23,1
002256,兆新股份,4,2025-09-02,0
002278,神开股份,4,2025-10-23,0
002305,*ST南置,4,2025-10-17,1
002512,ST达华,4,2025-10-28,0
002759,ST天际,4,2025-09-09,0
002790,瑞尔特,4,2025-10-31,0
600172,黄河旋风,3,2025-10-22,0
600173,卧龙新能,3,2025-09-10,0
600262,北方股份,3,2025-10-22,0
600381,*ST春天,3,2025-09-02,1
600400,红豆股份,3,2025-09-22,0
600408,安泰集团,3,2025-10-20,0
600699,均胜电子,3,2025-09-18,0
600996,贵广网络,3,2025-09-23,0
601011,宝泰隆,3,2025-10-14,0
601069,西部黄金,3,2025-09-03,0
601116,三江购物,3,2025-09-11,0
601212,白银有色,3,2025-10-13,0
601218,吉鑫科技,3,2025-09-29,0
601608,中信重工,3,2025-10-22,0
603032,德新科技,3,2025-09-02,0
603156,养元饮品,3,2025-09-26,0
603228,景旺电子,3,2025-09-12,0
603285,键邦股份,3,2025-09-08,0
603297,永新光学,3,2025-09-19,0
603359,*ST东珠,3,2025-09-12,0
603389,亚振家居,3,2025-09-22,1
603626,科森科技,3,2025-09-18,0
603709,中源家居,3,2025-09-08,0
603828,*ST利达,3,2025-09-11,1
603933,睿能科技,3,2025-10-20,0
603959,ST百利,3,2025-09-16,0
605188,国光连锁,3,2025-10-15,0
605288,凯迪股份,3,2025-09-02,0
605298,必得科技,3,2025-09-09,0
605358,立昂微,3,2025-09-25,0
605398,新炬网络,3,2025-09-12,0
688109,品茗科技,3,2025-09-29,0
000599,青岛双星,3,2025-10-28,0
000908,石药景峰,3,2025-10-28,1
000981,山子高科,3,2025-10-09,0
001203,大中矿业,3,2025-10-31,0
001231,农心科技,3,2025-10-27,0
001309,德明利,3,2025-09-23,0
002067,景兴纸业,3,2025-09-18,0
002115,三维通信,3,2025-09-01,0
002146,荣盛发展,3,2025-09-16,0
002150,正泰电源,3,2025-09-05,0
002168,ST惠程,3,2025-09-01,1
002208,合肥城建,3,2025-10-14,0
002213,大为股份,3,2025-10-28,0
002214,大立科技,3,2025-10-13,1
002289,宇顺电子,3,2025-09-10,1
002295,精艺股份,3,2025-09-26,0
002370,亚太药业,3,2025-10-16,0
002490,山东墨龙,3,2025-10-23,0
002549,凯美特气,3,2025-09-23,0
002592,ST八菱,3,2025-10-20,1
002620,*ST瑞和,3,2025-09-02,1
002647,仁东控股,3,2025-09-17,1
002678,珠江钢琴,3,2025-10-24,0
002717,*ST岭南,3,2025-10-24,1
002767,先锋电子,3,2025-10-21,0
002808,恒久退,3,2025-10-31,1
002816,*ST和科,3,2025-10-13,1
002868,绿康生化,3,2025-09-19,1
002905,金逸影视,3,2025-09-12,0
002942,新农股份,3,2025-10-16,0
002975,博杰股份,3,2025-09-03,0
300111,向日葵,3,2025-09-24,0
300948,冠中生态,3,2025-10-09,0
