date,n_limitup
2025-11-13,104
2025-12-22,101
2025-11-17,98
2025-12-25,94
2025-11-25,94
2025-11-10,92
2025-12-26,91
2025-11-03,90
2025-11-14,87
2025-12-29,86
2025-12-19,82
2025-11-11,82
2025-11-28,81
2025-12-12,81
2025-11-05,80
2025-12-05,79
2025-12-24,78
2025-12-08,77
2025-11-24,77
2025-11-26,75
2025-11-12,75
2025-12-01,74
2025-11-06,73
2025-12-18,70
2025-12-30,65
2025-11-04,65
2025-12-23,65
2025-12-15,63
2025-11-07,63
2025-11-18,61
2025-12-31,60
2025-11-27,60
2025-12-10,59
2025-11-19,59
2025-12-17,57
2025-12-02,55
2025-12-09,53
2025-12-03,52
2025-11-20,46
2025-12-16,42
2025-12-04,39
2025-12-11,35
2025-11-21,32
