code,name,board,streak,circ_mkt_est,turn,ret_20d_pre,amount
sz.001400,江顺科技,主板,1,1090641554.1253853,32.4903,0.24204564384474425,354352712.86
sz.301469,恒达新材,创业板,1,1521808892.91837,22.749,0.19307770614183917,346196305.05
sz.002789,*ST建艺,ST,4,1546915842.2762222,2.4321,-0.05571293673276678,37622540.2
sz.002569,*ST步森,ST,1,1640401450.1793234,1.2826,0.05630026809651478,21039789.0
sz.002306,ST云网,ST,4,1708800726.6772714,10.687,0.08673469387755106,182619533.66
sz.003003,天元股份,主板,1,1787365634.5529203,32.634,0.1910286156225831,583288901.18
sz.001360,南矿集团,主板,1,1859032970.2583313,13.5601,0.41176470588235325,252086729.8
sz.002652,扬子新材,主板,1,1945193915.627838,7.2678,0.06349206349206349,141372803.4
sh.600892,大晟文化,ST,1,1965299524.2305584,2.3751,-0.04999999999999993,46677829.0
sz.002592,ST八菱,ST,2,2016528383.8214316,4.7668,0.08309859154929589,96123875.0
sh.600735,ST新华锦,ST,1,2120393505.2531042,1.7799,-0.19617224880382766,37740884.0
sz.002800,天顺股份,主板,1,2242095230.4653206,8.2008,0.0651890482398958,183869745.66
sz.002253,川大智胜,ST,1,2389686954.8267016,3.9758,0.2197686645636172,95009173.95
sh.603028,赛福天,主板,1,2389770333.370592,7.1572,0.12936610608020693,171040642.3
sz.002763,汇洁股份,主板,1,2395383198.4273815,3.4592,0.06191117092866749,82861095.6
sz.300668,杰恩股份,创业板,1,2516995360.9360013,17.5128,0.39632545931758534,440796363.57
sz.000609,*ST中迪,ST,1,2772544488.873213,3.1186,-0.23971518987341778,86464572.43
sz.003007,直真科技,主板,2,2803499109.0870275,7.0265,0.09179960817240418,196987864.9
sh.603843,*ST正平,ST,1,3309151970.3603907,0.2969,-0.45381062355658197,9824872.2
sz.301043,绿岛风,创业板,1,3324825193.213743,9.1479,0.14275349174678031,304151683.85
sh.603398,*ST沐邦,ST,1,3490851999.064765,2.9939,-0.1606217616580311,104512618.0
sh.603278,大业股份,主板,2,3819871229.5668306,18.8725,0.2583783783783784,720905197.8
sz.000593,德龙汇能,主板,1,3947933902.344657,7.7538,0.00799289520426294,306114898.92
sh.600793,宜宾纸业,主板,1,3998153873.16312,6.9207,0.04602323503127792,276700235.1
sh.603095,越剑智能,主板,1,4031955103.446697,4.3694,0.10526315789473695,176172246.29
sz.001300,三柏硕,主板,1,4050211298.1437445,3.2377,0.1370967741935485,131133691.2
sz.002347,泰尔股份,主板,1,4081249535.5989895,13.1029,0.26686656671664166,534762045.4
sz.002363,隆基机械,主板,2,4286538155.0166426,1.0515,0.15582959641255623,45072948.7
sz.002931,锋龙股份,主板,1,4357007438.96236,0.3932,0.061794997547817365,17131753.25
sz.002713,东易日盛,ST,1,4438421216.425036,5.7595,-0.20336503291880026,255630869.96
sz.002560,通达股份,主板,1,4685919922.591207,8.552,0.30920245398773005,400739871.78
sz.002870,香山股份,主板,1,4999134574.2404785,9.348,0.12086981078791315,467319100.0
sz.002356,鹏飞绿能,主板,1,5331527025.065826,9.6466,0.044554455445544594,514311086.0
sh.600824,益民集团,主板,1,5338213584.30597,5.6633,0.12910284463894972,302319049.92
sh.605007,五洲特纸,主板,2,5659292286.788089,5.5344,0.20356234096692116,313207872.32
sz.002197,证通电子,主板,1,5737714577.734654,10.2033,0.05213270142180093,585436231.51
sz.001208,华菱线缆,主板,1,5782413200.777639,50.409,1.0550133096716947,2914856670.38
sz.002009,天奇股份,主板,1,6232592462.6909,6.8884,0.07975460122699385,429325899.2
sz.002951,金时科技,主板,2,6370181298.308974,5.9254,0.23949889462048635,377458722.65
sz.001331,胜通能源,主板,10,6424619635.400815,1.6429,1.8285291943828534,105550075.99
sz.002196,方正电机,主板,1,6511801508.771541,27.0021,0.0007336757153337814,1758323155.2
sz.002264,新 华 都,主板,1,6629585634.431695,8.8465,-0.022662889518413665,586486293.15
sz.002201,九鼎新材,主板,1,6815037229.661095,1.0829,0.434727503168568,73800038.16
sh.603130,云中马,主板,1,6874731320.732805,3.4443,0.2843497428361499,236786370.88
sh.600279,重庆港,主板,1,6904769571.261023,2.3021,0.15476190476190488,158954700.3
sz.300900,广联航空,创业板,1,6944877451.850433,24.0241,0.7998846597462514,1668444303.91
sz.002297,博云新材,主板,2,7089824611.938141,4.1514,0.3781979977753058,294326978.94
sz.002082,ST万邦,主板,1,7134407845.938656,4.0036,0.016666666666666607,285633152.52
sz.002640,跨境通,主板,1,7305059400.689472,8.6733,0.02807775377969768,633589717.0
sz.002346,柘中股份,主板,1,7422221385.427746,2.6324,0.16646848989298468,195382555.75
sz.000551,创元科技,主板,4,7910916488.692641,27.3804,0.5603367633302152,2166040578.27
sz.002228,合兴包装,主板,4,7920782007.691637,1.1441,0.5783132530120481,90621666.95
sh.600865,百大集团,主板,1,7992107852.073288,21.0077,1.2675026123301985,1678958041.24
sh.603163,圣晖集成,主板,4,8115586397.149381,7.2265,0.6281978396816372,586472850.99
sz.002969,嘉美包装,主板,7,8447880818.767248,0.2174,1.3670212765957448,18365692.9
sz.002289,宇顺电子,ST,2,8707723869.077684,0.9899,-0.11559216131780747,86197758.58
sz.000777,中核科技,主板,1,8788175670.406256,12.6841,0.15509601181683919,1114700990.21
sh.600966,博汇纸业,主板,1,8816193332.27557,3.1513,0.07244094488188968,277824700.48
sz.002446,盛路通信,主板,1,8853814098.915842,13.7895,0.29674306393244887,1220896695.17
sz.002115,三维通信,主板,1,8971735210.665483,18.9471,0.17758784425451113,1699883642.1
sz.002935,天奥电子,主板,1,9060868697.816875,7.1503,0.24310635903207656,647879294.5
sz.001212,中旗新材,主板,1,9084176682.34759,8.3541,0.2559055118110236,758901204.22
sh.600370,*ST三房,主板,1,9245671456.665146,2.4103,0.0474137931034484,222848419.12
sz.002361,神剑股份,主板,6,9660833962.835812,9.6706,0.9090909090909094,934260609.21
sz.300503,昊志机电,创业板,1,9777701608.827301,21.7643,0.5783351508542347,2128048311.25
sz.000859,国风新材,主板,1,9843406872.985493,25.9679,0.36481700118063753,2556126053.37
sz.003009,中天火箭,主板,1,10396338188.733118,8.5454,0.1655617882032976,888408683.58
sh.600592,龙溪股份,主板,1,10451019916.755713,9.8265,0.08242424242424229,1026969472.12
sh.603268,松发股份,ST,4,10741466660.8506,4.585,0.28099885189437424,492496246.4
sh.603389,亚振家居,ST,2,11252148883.450596,0.6538,0.04699293888483069,73566549.4
sh.605123,派克新材,主板,1,11667615829.011705,5.3992,0.42982328026873096,629957913.84
sh.600391,航发科技,主板,1,11742284903.294138,13.0292,0.3698424606151538,1529925784.62
