序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000032,深桑达A,2025-03-10,1家机构卖出，成功率41.71%,24.36,-8.3866,-180004070.55,360235276.01,540239346.56,900474622.57,2405498609,-7.483025343541,37.434011360511,15.1954,15706446435.96,日跌幅偏离值达到7%的前5只证券,1.3136289,8.62068966,6.69129721,-3.9408867
2,000409,云鼎科技,2025-03-10,主力做T，成功率30.24%,14.11,-10.0128,-66440723.28,201670707.64,268111430.92,469782138.56,2650414713,-2.506804801306,17.7248540108,42.2761,5973373186.95,日换手率达到20%的前5只证券,7.44153083,9.21332388,3.1892275,-11.8355776
3,000409,云鼎科技,2025-03-10,主力做T，成功率30.24%,14.11,-10.0128,-66440723.28,201670707.64,268111430.92,469782138.56,2650414713,-2.506804801306,17.7248540108,42.2761,5973373186.95,日跌幅偏离值达到7%的前5只证券,7.44153083,9.21332388,3.1892275,-11.8355776
4,000581,威孚高科,2025-03-10,主力做T，成功率32.38%,25.81,10.0171,-75239631.71,349488428.64,424728060.35,774216488.99,3248928579,-2.315829045807,23.829901771134,6.8844,23725979753.19,连续三个交易日内，涨幅偏离值累计达到20%的证券,7.78767919,1.12359551,-5.6567222,-13.05695467
5,000581,威孚高科,2025-03-10,浙江资金买入，成功率48.36%,25.81,10.0171,89588991.05,267539173.45,177950182.4,445489355.85,1455890837,6.153551404624,30.599090572475,6.8844,23725979753.19,日涨幅偏离值达到7%的前5只证券,7.78767919,1.12359551,-5.6567222,-13.05695467
6,000665,湖北广电,2025-03-10,普通席位买入，成功率29.54%,5.8,10.0569,-70335318.23,96761507.17,167096825.4,263858332.57,1023037275,-6.875147167047,25.791663609716,15.6007,6595239914.0,日涨幅偏离值达到7%的前5只证券,10.0,21.03448276,10.0,-8.44827586
7,000665,湖北广电,2025-03-10,主力做T，成功率16.94%,5.8,10.0569,-81603699.2,109620052.0,191223751.2,300843803.2,1115351365,-7.316411828662,26.973007129462,15.6007,6595239914.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.0,21.03448276,10.0,-8.44827586
8,001268,联合精密,2025-03-10,1家机构卖出，成功率12.11%,21.64,-2.4346,-51946023.5,31851041.8,83797065.3,115648107.1,382038520,-13.597064374556,30.271321096103,40.1824,901795258.76,日换手率达到20%的前5只证券,-0.32347505,1.66358595,-1.20147874,2.31053604
9,001319,铭科精技,2025-03-10,4家机构卖出，成功率21.09%,32.41,-3.8279,-47111087.41,69131817.0,116242904.41,185374721.41,637119086,-7.394392735238,29.095772750088,31.2686,2056886875.75,日换手率达到20%的前5只证券,-1.48102438,-4.75161987,-4.53563715,-12.0950324
10,001333,光华股份,2025-03-10,主力做T，成功率34.59%,25.0,-1.536,22551672.42,61896351.42,39344679.0,101241030.42,392775016,5.741625994867,25.77583254939,35.3549,1100000000.0,日换手率达到20%的前5只证券,-0.48,-6.68,-14.08,-18.8
11,002105,信隆健康,2025-03-10,主力做T，成功率22.90%,8.49,9.9741,-40325343.25,152703058.0,193028401.25,345731459.25,1175203275,-3.431350482749,29.418864515162,22.2009,3094367067.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.01177856,20.96584217,37.69140165,5.18256773
12,002114,罗平锌电,2025-03-10,1家机构买入，成功率40.59%,7.83,9.9719,28372998.47,85219150.0,56846151.53,142065301.53,748401235,3.791148002315,18.982504956716,23.7815,2532150144.09,连续三个交易日内，涨幅偏离值累计达到20%的证券,-1.53256705,-4.72541507,-6.64112388,-11.87739464
13,002162,悦心健康,2025-03-10,1家机构买入，成功率42.40%,4.79,10.1149,125441804.3,159386503.3,33944699.0,193331202.3,595389022,21.068880960993,32.47140863474,4.9017,4410138644.37,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.80167015,-6.05427975,16.70146138,-6.47181628
14,002167,东方锆业,2025-03-10,主力做T，成功率36.34%,10.45,10.0,106153218.54,227183101.54,121029883.0,348212984.54,1318639306,8.050208882519,26.40699264428,17.3766,7918841232.5,日涨幅偏离值达到7%的前5只证券,0.28708134,-1.53110048,-0.4784689,-8.99521531
15,002196,方正电机,2025-03-10,1家机构买入，成功率33.46%,8.81,9.9875,88651672.96,178918272.16,90266599.2,269184871.36,742819773,11.93447942318,36.23824797674,1.5669,4302895685.67,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.98864926,12.82633371,21.56640182,16.0045403
16,002277,友阿股份,2025-03-10,1家机构买入，成功率37.75%,6.33,10.087,24717233.92,168072004.0,143354770.08,311426774.08,1813069782,1.363280893289,17.176767114637,20.9529,8825113824.0,日涨幅偏离值达到7%的前5只证券,2.21169036,1.10584518,-3.63349131,-13.1121643
17,002369,卓翼科技,2025-03-10,1家机构卖出，成功率17.14%,12.95,-7.8292,-102686818.86,235373684.94,338060503.8,573434188.74,2375289754,-4.323128102038,24.141652098416,31.4044,7329354869.55,日跌幅偏离值达到7%的前5只证券,3.47490347,5.17374517,-5.01930502,-16.37065637
18,002369,卓翼科技,2025-03-10,1家机构卖出，成功率17.14%,12.95,-7.8292,-102686818.86,235373684.94,338060503.8,573434188.74,2375289754,-4.323128102038,24.141652098416,31.4044,7329354869.55,日换手率达到20%的前5只证券,3.47490347,5.17374517,-5.01930502,-16.37065637
19,002484,江海股份,2025-03-10,主力做T，成功率31.46%,22.36,9.9852,11200129.3,225499835.34,214299706.04,439799541.38,1219088657,0.918729678575,36.076091665251,6.9555,18345759845.4,日涨幅偏离值达到7%的前5只证券,2.72808587,7.33452594,9.97316637,-3.89087657
20,002575,群兴玩具,2025-03-10,主力做T，成功率42.80%,10.41,-9.4783,-82075851.42,151988858.53,234064709.95,386053568.48,1575715937,-5.208797442023,24.500200792219,24.953,6153548790.0,日跌幅偏离值达到7%的前5只证券,1.63304515,1.34486071,-1.15273775,-8.16522574
21,002760,凤形股份,2025-03-10,1家机构买入，成功率39.37%,24.17,10.0137,-1274577.5,93341863.0,94616440.5,187958303.5,629024635,-0.202627596612,29.880912931176,6.613,2610087024.02,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.01241208,6.33016136,-10.75713695,-20.06619777
22,003033,征和工业,2025-03-10,1家机构卖出，成功率35.26%,43.55,-9.1573,-14159682.25,71709553.0,85869235.25,157578788.25,465463417,-3.04206125183,33.85417252888,12.9694,3516395407.85,日跌幅偏离值达到7%的前5只证券,1.26291619,11.38920781,2.0206659,24.15614237
23,113588,润达转债,2025-03-10,,223.746,20.0,-1184760.0,361856020.0,363040780.0,724896800.0,2312088170,-0.051241990482,31.352472168049,,,"非上市首日,当日收盘价涨幅达15%的前五只可转债",,,,
24,300210,森远股份,2025-03-10,买一主买，成功率43.97%,12.37,19.9806,90256182.0,123615658.82,33359476.82,156975135.64,340356477,26.518132634215,46.120801644095,5.8857,5983653658.44,日涨幅达到15%的前5只证券,-6.54810024,-1.13177041,-4.44624091,-14.87469685
25,300451,创业慧康,2025-03-10,主力做T，成功率31.87%,8.03,20.0299,-11722720.0,227436295.8,239159015.8,466595311.6,2887010022,-0.406050547475,16.16188749067,25.8333,12259350973.1,日涨幅达到15%的前5只证券,-4.73225405,-3.98505604,-10.83437111,-18.18181818
26,300605,恒锋信息,2025-03-10,2家机构买入，成功率31.80%,19.02,6.8539,37454242.81,158371002.08,120916759.27,279287761.35,1921347029,1.949374175757,14.536039410609,37.0889,2161763177.4,连续三个交易日内，涨幅偏离值累计达到30%的证券,-2.20820189,5.25762355,-7.04521556,-23.13354364
27,300605,恒锋信息,2025-03-10,2家机构买入，成功率25.42%,19.02,6.8539,14340600.46,83661978.18,69321377.72,152983355.9,790807604,1.813412059705,19.345205474276,37.0889,2161763177.4,日换手率达到30%的前5只证券,-2.20820189,5.25762355,-7.04521556,-23.13354364
28,300840,酷特智能,2025-03-10,4家机构卖出，成功率25.45%,27.31,-5.2394,11128664.64,214841309.0,203712644.36,418553953.36,2061337688,0.539875863367,20.304967778768,41.0889,4836195036.85,日换手率达到30%的前5只证券,4.35737825,5.71219334,-4.02782863,-12.01025265
29,300938,信测标准,2025-03-10,2家机构买入，成功率34.06%,44.8,16.3636,195187089.96,404037257.18,208850167.22,612887424.4,2485428111,7.853258321822,24.659229598615,28.6583,5049836825.6,连续三个交易日内，涨幅偏离值累计达到30%的证券,-3.32589286,10.0,-2.09821429,-19.79910714
30,300938,信测标准,2025-03-10,2家机构买入，成功率48.63%,44.8,16.3636,52913730.99,236956807.39,184043076.4,420999883.79,1419616736,3.727325104598,29.655883388374,28.6583,5049836825.6,日涨幅达到15%的前5只证券,-3.32589286,10.0,-2.09821429,-19.79910714
31,301021,英诺激光,2025-03-10,普通席位买入，成功率36.03%,36.11,20.0066,26962988.93,134546468.0,107583479.07,242129947.07,819608679,3.28973931351,29.54214044749,15.3819,5493225878.02,日涨幅达到15%的前5只证券,-6.39711991,-6.72943783,-6.23096095,-14.92661313
32,301225,恒勃股份,2025-03-10,1家机构买入，成功率28.69%,45.17,20.0053,19963595.08,84319813.64,64356218.56,148676032.2,557729709,3.579439064811,26.657362840967,44.0287,1363230600.0,日换手率达到30%的前5只证券,-5.29112243,0.92982068,5.82244853,-6.42019039
33,301225,恒勃股份,2025-03-10,1家机构买入，成功率52.95%,45.17,20.0053,45442417.65,136560308.11,91117890.46,227678198.57,993393129,4.574464662922,22.919244347824,44.0287,1363230600.0,连续三个交易日内，涨幅偏离值累计达到30%的证券,-5.29112243,0.92982068,5.82244853,-6.42019039
34,301225,恒勃股份,2025-03-10,1家机构买入，成功率28.69%,45.17,20.0053,19963595.08,84319813.64,64356218.56,148676032.2,557729709,3.579439064811,26.657362840967,44.0287,1363230600.0,日涨幅达到15%的前5只证券,-5.29112243,0.92982068,5.82244853,-6.42019039
35,301255,通力科技,2025-03-10,普通席位买入，成功率57.58%,53.8,5.8014,-1419372.7,78803400.3,80222773.0,159026173.3,482462736,-0.294193228635,32.961338033783,34.0676,1463360000.0,日换手率达到30%的前5只证券,-1.30111524,-3.04832714,-7.56505576,0.37174721
36,301268,铭利达,2025-03-10,3家机构买入，成功率43.28%,23.64,11.6147,29628127.18,119990978.5,90362851.32,210353829.82,773363773,3.831072544951,27.199855638958,11.5478,4255359144.48,连续三个交易日内，涨幅偏离值累计达到30%的证券,-10.19458545,-12.47884941,-15.39763113,-13.40947547
37,301379,天山电子,2025-03-10,3家机构买入，成功率31.26%,34.08,9.971,46124389.48,214090669.49,167966280.01,382056949.5,1549782367,2.976184944554,24.652296840851,24.398,3108973560.0,连续三个交易日内，涨幅偏离值累计达到30%的证券,-1.5258216,-3.55046948,-3.6971831,-6.95422535
38,301603,乔锋智能,2025-03-10,1家机构买入，成功率36.27%,54.68,5.1336,2725180.82,66317886.25,63592705.43,129910591.68,492911434,0.552874336447,26.355767531252,36.4838,1320631360.0,日换手率达到30%的前5只证券,4.60863204,10.77176298,2.04828091,-6.03511339
39,600107,*ST尔雅,2025-03-10,买一主买，成功率47.12%,4.79,10.1149,11285717.0,38372688.0,27086971.0,65459659.0,82386784,13.698455567825,79.454077246176,4.8249,1724400000.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,-2.92275574,6.88935282,10.8559499,5.01043841
40,600172,黄河旋风,2025-03-10,普通席位买入，成功率45.60%,4.59,10.0719,69001535.64,96653185.64,27651650.0,124304835.64,557070820,12.386492554035,22.314009489853,9.664,5858013892.5,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,-2.83224401,-2.39651416,0.0,-8.49673203
41,600228,返利科技,2025-03-10,普通席位买入，成功率41.36%,5.91,4.6018,-16629088.99,94543817.93,111172906.92,205716724.85,1313770488,-1.265752971458,15.658497943821,25.0037,2462515911.69,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,-5.07614213,-3.04568528,5.41455161,-0.67681895
42,600289,ST信通,2025-03-10,普通席位买入，成功率27.54%,6.16,4.9404,-5289258.48,41299285.76,46588544.24,87887830.0,412183156,-1.283230137624,21.322518574728,5.0402,3486083733.44,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券,5.03246753,5.68181818,22.4025974,45.45454545
43,600403,大有能源,2025-03-10,普通席位买入，成功率43.02%,3.05,10.1083,-5641303.26,18709227.0,24350530.26,43059757.26,120895194,-4.666275865358,35.617426826744,1.6861,7291977826.1,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,2.95081967,0.0,18.68852459,18.36065574
44,600589,大位科技,2025-03-10,买一主买，成功率35.68%,7.78,10.0424,16419573.02,315933854.0,299514280.98,615448134.98,2182999847,0.752156398113,28.192770412961,20.2968,11502495744.2,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,10.02570694,6.55526992,3.34190231,1.41388175
45,600592,龙溪股份,2025-03-10,普通席位卖出，成功率37.30%,19.28,-4.0796,11212671.52,248860627.28,237647955.76,486508583.04,2170901796,0.516498329895,22.410437171152,26.5902,7703392848.88,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,3.00829876,-0.5186722,-0.72614108,-6.58713693
46,600592,龙溪股份,2025-03-10,普通席位卖出，成功率37.30%,19.28,-4.0796,11212671.52,248860627.28,237647955.76,486508583.04,2170901796,0.516498329895,22.410437171152,26.5902,7703392848.88,有价格涨跌幅限制的日换手率达到20%的前五只证券,3.00829876,-0.5186722,-0.72614108,-6.58713693
47,600712,南宁百货,2025-03-10,普通席位买入，成功率44.61%,6.24,10.0529,49753449.38,66576644.38,16823195.0,83399839.38,213457361,23.308378379137,39.070959647065,6.4881,3361165835.04,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,1.44230769,1.44230769,2.08333333,-8.01282051
48,600811,*ST东方,2025-03-10,2家机构卖出，成功率25.62%,1.14,-10.2362,0.0,2376011800.0,2376011900.0,2376011800.0,2376011900,-4.208733e-06,99.999995791267,0.9232,4170969225.9,有价格涨跌幅限制的连续10个交易日内收盘价格跌幅偏离值累计达到-50%的证券,-9.64912281,-0.87719298,-23.68421053,-41.22807018
49,600811,*ST东方,2025-03-10,上海资金卖出，成功率32.78%,1.14,-10.2362,-6656004.0,3602742.0,10258746.0,13861488.0,38504868,-17.286136391897,35.999313125811,0.9232,4170969225.9,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,-9.64912281,-0.87719298,-23.68421053,-41.22807018
50,600829,人民同泰,2025-03-10,上海资金买入，成功率41.97%,8.42,10.0654,11675825.5,35483891.0,23808065.5,59291956.5,223706779,5.219254218488,26.504318181614,4.7528,4882661986.74,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,2.49406176,0.83135392,-0.83135392,-5.93824228
51,600860,京城股份,2025-03-10,普通席位买入，成功率45.27%,16.24,10.0271,-38428616.32,170547549.68,208976166.0,379523715.68,927846002,-4.141701989033,40.903739937654,6.1757,7068158520.64,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,-7.69704433,-0.86206897,-9.79064039,-19.64285714
52,601020,华钰矿业,2025-03-10,买一主买，成功率48.12%,23.76,5.3659,237316541.9,947087710.57,709771168.67,1656858879.24,8633376569,2.748826487566,19.191319479673,22.8493,19482361224.48,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2.86195286,-0.46296296,-1.68350168,-1.5993266
53,601177,杭齿前进,2025-03-10,广东资金卖出，成功率30.97%,21.57,-10.0125,-35994755.44,89558952.56,125553708.0,215112660.56,1990430342,-1.808390611843,10.807344322527,22.5931,8629294200.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,-2.64255911,-1.90078813,-5.23875753,-5.88780714
54,603048,浙江黎明,2025-03-10,普通席位卖出，成功率26.74%,21.65,-5.8696,-24391264.05,37454150.27,61845414.32,99299564.59,559117889,-4.362454596762,17.760040689737,16.6945,3179952000.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,-8.31408776,-4.8960739,-11.45496536,-16.39722864
55,603270,金帝股份,2025-03-10,普通席位卖出，成功率40.77%,28.02,-0.8843,30662432.18,151487396.75,120824964.57,272312361.32,664652429,4.613303260793,40.970641110829,33.0583,1981481009.34,有价格涨跌幅限制的日换手率达到20%的前五只证券,2.42683797,3.74732334,-2.67665953,-0.99928622
56,603300,海南华铁,2025-03-10,卖一主卖，成功率58.85%,11.55,-9.9766,-66999309.94,406799906.24,473799216.18,880599122.42,5709196155,-1.173533158102,15.424222579019,24.8362,22785932296.05,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,5.8008658,7.61904762,3.03030303,-4.76190476
57,603360,百傲化学,2025-03-10,卖一主卖，成功率34.80%,32.4,-10.0,-184368427.99,79929946.28,264298374.27,344228320.55,779863379,-23.641118810632,44.139567239508,4.6079,16344033130.8,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,-1.01851852,-2.80864198,-2.09876543,4.62962963
58,603588,高能环境,2025-03-10,普通席位买入，成功率40.19%,6.28,9.9825,-59441016.77,276489079.64,335930096.41,612419176.05,2807266684,-2.117398290258,21.815496886722,15.8153,9565912389.96,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,3.98089172,2.86624204,6.52866242,-3.18471338
59,603700,宁水集团,2025-03-10,普通席位卖出，成功率38.01%,12.7,-9.9929,-15420257.5,30827347.5,46247605.0,77074952.5,523736331,-2.944278750064,14.716365456801,20.032,2581173400.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券,-2.75590551,-0.78740157,-3.77952756,-6.2992126
60,603887,城地香江,2025-03-10,西藏自治区资金买入，成功率28.06%,22.45,7.5192,-71814326.48,200837595.65,272651922.13,473489517.78,3422550595,-2.098269243555,13.834405208552,25.7485,13364023001.45,有价格涨跌幅限制的日换手率达到20%的前五只证券,3.78619154,1.60356347,-5.79064588,-13.89755011
61,603990,麦迪科技,2025-03-10,买一主买，成功率43.24%,16.31,2.3854,31159168.11,114772319.35,83613151.24,198385470.59,1380310350,2.25740306229,14.372526482178,26.4345,4995471342.61,有价格涨跌幅限制的日换手率达到20%的前五只证券,-2.51379522,-4.16922134,-5.82464746,-15.9411404
62,605066,天正电气,2025-03-10,普通席位卖出，成功率34.10%,8.36,-7.828,22182297.59,284481229.94,262298932.35,546780162.29,4698934114,0.472070836744,11.636259394677,20.7329,4200340925.0,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,0.11961722,1.79425837,-2.03349282,-7.17703349
63,605068,明新旭腾,2025-03-10,买一主买，成功率38.50%,15.99,9.9725,28133651.22,61677280.22,33543629.0,95220909.22,345604891,8.140408875174,27.551956497051,6.936,2592620774.64,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,-4.69043152,-3.25203252,8.56785491,9.38086304
64,605069,正和生态,2025-03-10,卖一主卖，成功率35.69%,9.43,-2.0768,-10120785.78,30259828.7,40380614.48,70640443.18,371411380,-2.724953064174,19.019461164599,45.554,793640851.54,有价格涨跌幅限制的日换手率达到20%的前五只证券,9.96818664,20.99681866,7.31707317,13.1495228
65,605303,园林股份,2025-03-10,普通席位买入，成功率42.74%,10.87,10.0202,-7491890.24,40323677.76,47815568.0,88139245.76,119563824,-6.266017587393,73.717319178416,2.2475,1752650624.96,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.0275989,21.06715731,-3.21987121,-8.73965041
66,605318,法狮龙,2025-03-10,普通席位买入，成功率44.22%,24.83,10.0133,-7343442.3,53775411.7,61118854.0,114894265.7,259025133,-2.835030799888,44.356416062529,4.2473,3121851765.24,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,-3.82601692,4.43012485,9.14216673,18.80789368
67,688096,京源环保,2025-03-10,普通席位买入，成功率22.32%,14.3,9.6626,44896125.0,133310521.24,88414396.24,221724917.48,856453500,5.242097206678,25.888728048867,12.8912,2178810920.0,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,-1.67832168,5.87412587,3.00699301,-4.47552448
68,688395,正弦电气,2025-03-10,普通席位买入，成功率38.49%,25.32,20.0,-10269927.7,58716540.49,68986468.19,127703008.68,203719000,-5.041222320942,62.685860759183,9.4773,2192654270.4,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,7.62243286,13.07266983,7.30647709,-2.8436019
69,688519,南亚新材,2025-03-10,1家机构买入，成功率40.60%,38.11,17.5509,8128.98000000417,76994166.44,76986037.46,153980203.9,323931200,0.002509477321,47.534848109722,4.0116,8852711001.5,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,0.23615849,-2.33534505,1.52191026,-10.60089215
70,688529,豪森智能,2025-03-10,普通席位买入，成功率42.29%,23.5,20.0204,-53684668.2,62113028.79,115797696.99,177910725.78,510594900,-10.514141093066,34.843811753701,13.8566,3931251761.5,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,-3.19148936,-2.12765957,-7.65957447,-16.17021277
71,688680,海优新材,2025-03-10,1家机构买入，成功率36.65%,42.54,20.0,107547671.23,159493795.53,51946124.3,211439919.83,377502200,28.48928330219,56.010248372063,11.1366,3574224625.5,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,13.25811001,15.42078044,9.9670898,1.08133521
72,688700,东威科技,2025-03-10,3家机构买入，成功率42.43%,39.74,19.9879,261897385.9,328610585.98,66713200.08,395323786.06,755442500,34.668076776194,52.330096077465,6.6035,11858470046.4,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,3.09511827,3.12028183,10.21640664,2.6673377
73,900906,中毅达B,2025-03-10,买一主买，成功率64.44%,0.248,10.2222,169588.6,448058.6,278470.0,726528.6,1062401,15.962767354323,68.385534275664,1.2258,3229028583.15,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,3.22580645,0.0,10.08064516,17.74193548
74,920130,立方控股,2025-03-10,西藏自治区资金买入，成功率21.40%,41.88,13.0975,12036781.96,78730900.58,66694118.62,145425019.2,729439000,1.6501423642,19.936556614056,33.8241,2292878194.44,当日换手率达到20%的前5只股票,-18.33810888,6.16045845,-8.61986628,-18.69627507
75,920204,沪江材料,2025-03-10,主力做T，成功率7.61%,26.8,19.1641,-19719453.78,27915253.46,47634707.24,75549960.7,419229400,-4.703738282668,18.021150401189,32.1711,1336812300.8,当日价格振幅达到30%的前5只股票,-5.44776119,-4.29104478,4.21641791,-13.91791045
76,920245,威博液压,2025-03-10,主力做T，成功率24.07%,61.5,6.6043,-25782566.51,34117251.92,59899818.43,94017070.35,311080100,-8.288079665012,30.222785176551,11.1238,1497834099.0,北交所股票最近3个有成交的交易日以内收盘价涨跌幅偏离值累计达到+40%(-40%),-12.19512195,-14.63414634,-26.50406504,-33.90243902
77,920263,中航泰达,2025-03-10,主力做T，成功率25.55%,17.05,-5.2778,-17351433.43,48455721.12,65807154.55,114262875.67,465598500,-3.726694443818,24.541074696332,24.2111,1749223215.85,当日价格振幅达到30%的前5只股票,2.05278592,-3.22580645,-12.55131965,-24.04692082
78,920270,天铭科技,2025-03-10,普通席位买入，成功率39.11%,19.24,30.0,-2826668.97,24713723.99,27540392.96,52254116.95,178121000,-1.586937514386,29.336303383655,11.939,1560100739.08,当日收盘价涨幅达到20%的前5只股票,7.17255717,24.74012474,0.46777547,-12.62993763
79,920427,华维设计,2025-03-10,西藏自治区资金买入，成功率30.66%,19.56,29.9668,-6830213.68,49731063.89,56561277.57,106292341.46,495328100,-1.378927155556,21.458976678287,29.7735,990130407.84,北交所股票最近3个有成交的交易日以内收盘价涨跌幅偏离值累计达到+40%(-40%),-14.41717791,-11.34969325,-17.17791411,-22.29038855
80,920427,华维设计,2025-03-10,买一主买，成功率34.62%,19.56,29.9668,-20529.2100000009,32948593.38,32969122.59,65917715.97,274898900,-0.007467912749,23.978894047957,29.7735,990130407.84,当日收盘价涨幅达到20%的前5只股票,-14.41717791,-11.34969325,-17.17791411,-22.29038855
81,920427,华维设计,2025-03-10,买一主买，成功率34.62%,19.56,29.9668,-20529.2100000009,32948593.38,32969122.59,65917715.97,274898900,-0.007467912749,23.978894047957,29.7735,990130407.84,当日价格振幅达到30%的前5只股票,-14.41717791,-11.34969325,-17.17791411,-22.29038855
82,920579,机科股份,2025-03-10,西藏自治区资金买入，成功率8.33%,35.86,11.3319,-43953896.21,92454335.23,136408231.44,228862566.67,1387539400,-3.167758422572,16.494131025757,48.9389,1598438701.2,北交所股票最近3个有成交的交易日以内收盘价涨跌幅偏离值累计达到+40%(-40%),-2.95593977,19.91076408,2.20301171,-12.24205243
83,920579,机科股份,2025-03-10,西藏自治区资金买入，成功率34.01%,35.86,11.3319,-45564514.95,56511681.43,102076196.38,158587877.81,818983700,-5.563543566252,19.363984632417,48.9389,1598438701.2,当日换手率达到20%的前5只股票,-2.95593977,19.91076408,2.20301171,-12.24205243
84,920634,新威凌,2025-03-10,西藏自治区资金买入，成功率30.50%,32.5,15.7407,-14667853.15,48676511.2,63344364.35,112020875.55,701247100,-2.091681113548,15.974522468613,40.6974,1065375220.0,北交所股票最近3个有成交的交易日以内收盘价涨跌幅偏离值累计达到+40%(-40%),-5.6,2.76923077,-3.72307692,-3.13846154
