序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000002,万科A,2025-12-10,普通席位买入，成功率63.97%,5.25,10.0629,2462336.15999997,463811384.13,461349047.97,925160432.1,3229111691.0,0.076254288969,28.650617279005,6.5478,51011098052.25,日涨幅偏离值达到7%的前5只证券,-3.42857143,-4.38095238,-5.52380952,-9.33333333
2,000004,国华退,2025-12-01,1家机构买入，成功率38.49%,12.36,5.0127,12064466.0,48346408.0,36281942.0,84628350.0,261261715.0,4.617770345724,32.392174260971,7.3439,1560916812.48,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-2.99352751,-5.66343042,-8.17152104,-12.45954693
3,000004,国华退,2025-10-10,3家机构买入，成功率43.16%,12.26,4.9658,-25843521.0,29755776.92,55599297.92,85355074.84,217603533.0,-11.876425278444,39.225040909607,12.8739,1548288035.68,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,4.97553018,8.89070147,-0.16313214,9.62479608
4,000004,国华退,2025-08-28,3家机构买入，成功率30.55%,11.82,4.6944,-5473544.97,36786931.43,42260476.4,79047407.83,323989852.0,-1.689418645742,24.398112268652,13.7631,1492721417.76,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-4.31472081,-6.2605753,-12.85956007,-8.9678511
5,000004,国华退,2025-05-21,3家机构买入，成功率44.10%,9.47,4.9889,5861791.19,39476140.19,33614349.0,73090489.19,314185609.0,1.865709638534,23.263474550166,9.9059,1195948240.71,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-0.73917635,-4.01267159,4.96304118,4.11826822
6,000004,国华退,2025-05-13,2家机构买入，成功率44.91%,8.53,5.0493,9420650.16,52327627.6,42906977.44,95234605.04,314171830.0,2.998566154069,30.31290394177,11.5964,1077237433.29,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,-0.58616647,1.992966,5.74443142,17.46776084
7,000004,国华退,2025-05-06,主力做T，成功率47.54%,7.57,-5.0188,2186562.0,3584755.0,1398193.0,4982948.0,8098494.0,26.99961252055,61.52931643834,0.727,956000864.01,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,2.11360634,-1.05680317,12.68163804,19.15455746
8,000004,国华退,2025-01-20,普通席位卖出，成功率42.05%,11.97,-10.0,-3474891.0,4173939.0,7648830.0,11822769.0,53374230.0,-6.510428347163,22.150706436421,3.5308,1511668473.21,日跌幅偏离值达到7%的前5只证券,-4.34419382,-9.77443609,-13.03258145,14.45279866
9,000006,深振业A,2025-10-21,1家机构买入，成功率44.20%,13.22,9.9834,92705768.38,219555456.61,126849688.23,346405144.84,1207541059.0,7.677235294738,28.68682122717,7.0884,17846833375.12,日涨幅偏离值达到7%的前5只证券,-0.68078669,7.03479576,-3.10136157,-9.75794251
10,000006,深振业A,2025-10-16,2家机构卖出，成功率41.72%,11.45,-7.7357,52878749.66,204531999.01,151653249.35,356185248.36,1642459095.0,3.21948655044,21.686095528607,10.5637,15457355684.2,日跌幅偏离值达到7%的前5只证券,6.89956332,4.97816594,23.58078603,10.48034934
11,000006,深振业A,2025-10-15,2家机构卖出，成功率24.74%,12.41,-10.0073,-10033330.52,124723869.0,134757199.52,259481068.52,1114119702.0,-0.900561268416,23.290232463729,6.5659,16753343584.36,日跌幅偏离值达到7%的前5只证券,-7.73569702,-1.36986301,5.80177276,4.99597099
12,000006,深振业A,2025-10-10,1家机构买入，成功率42.37%,11.94,10.0461,9086149.97999999,180543570.67,171457420.69,352000991.36,1283165582.0,0.70810424683,27.432234490841,8.4037,16118849508.24,日涨幅偏离值达到7%的前5只证券,9.96649916,15.49413735,2.51256281,17.5879397
13,000006,深振业A,2025-10-10,2家机构买入，成功率31.77%,11.94,10.0461,71330567.27,405775697.53,334445130.26,740220827.79,2905107374.0,2.455350459965,25.479981718225,8.4037,16118849508.24,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.96649916,15.49413735,2.51256281,17.5879397
14,000006,深振业A,2025-03-27,浙江资金买入，成功率44.45%,7.44,10.0592,49922292.37,143553932.77,93631640.4,237185573.17,770545145.0,6.478827709699,30.781528468394,7.8806,10043906226.24,日涨幅偏离值达到7%的前5只证券,4.30107527,-2.01612903,-6.3172043,-15.45698925
15,000007,全新好,2025-12-16,3家机构买入，成功率17.59%,12.0,3.3592,2950712.35999998,177945866.85,174995154.49,352941021.34,1061275685.0,0.278034482624,33.256299595708,11.2712,4157376528.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.0,-4.16666667,-1.5,-3.16666667
16,000010,*ST美丽,2025-08-11,2家机构买入，成功率19.38%,5.1,9.9138,-5334549.0,309877702.0,315212251.0,625089953.0,1466088868.0,-0.363862594992,42.636566353084,22.3942,3730925966.1,连续三个交易日内，涨幅偏离值累计达到20%的证券,-6.66666667,-11.56862745,-8.62745098,-5.09803922
17,000010,*ST美丽,2025-07-16,4家机构卖出，成功率47.69%,3.37,-9.6515,17702441.0,53591601.0,35889160.0,89480761.0,470992128.0,3.758542860402,18.998355955537,25.1534,1825037354.07,日跌幅偏离值达到7%的前5只证券,-3.26409496,-5.6379822,1.48367953,0.29673591
18,000010,*ST美丽,2025-07-15,3家机构卖出，成功率23.35%,3.73,-4.359,-49618448.33,61994067.91,111612516.24,173606584.15,740433428.0,-6.701270695466,23.446616209499,35.413,2019996834.03,日换手率达到20%的前5只证券,-9.65147453,-12.60053619,-3.75335121,-7.2386059
19,000010,*ST美丽,2025-07-15,3家机构卖出，成功率23.35%,3.73,-4.359,-49618448.33,61994067.91,111612516.24,173606584.15,740433428.0,-6.701270695466,23.446616209499,35.413,2019996834.03,日振幅值达到15%的前5只证券,-9.65147453,-12.60053619,-3.75335121,-7.2386059
20,000010,*ST美丽,2025-07-14,3家机构卖出，成功率54.29%,3.9,-2.0101,-362988.569999993,98059868.7,98422857.27,196482725.97,837958751.0,-0.04331819073,23.447780184349,38.6416,2112061032.9,日振幅值达到15%的前5只证券,-4.35897436,-13.58974359,-10.25641026,-11.28205128
21,000010,*ST美丽,2025-07-14,3家机构卖出，成功率54.29%,3.9,-2.0101,-362988.569999993,98059868.7,98422857.27,196482725.97,837958751.0,-0.04331819073,23.447780184349,38.6416,2112061032.9,日换手率达到20%的前5只证券,-4.35897436,-13.58974359,-10.25641026,-11.28205128
22,000010,*ST美丽,2025-07-10,1家机构买入，成功率33.76%,3.62,10.0304,12352436.96,63461125.0,51108688.04,114569813.04,384584358.0,3.211892710415,29.790554570605,14.3015,1960425881.82,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.94475138,7.73480663,-9.94475138,-4.6961326
23,000011,深物业A,2025-10-24,2家机构卖出，成功率34.85%,10.35,-8.4071,3375955.34,53154891.3,49778935.96,102933827.26,483363384.0,0.698430094572,21.295329904427,8.7273,5690372587.56,日跌幅偏离值达到7%的前5只证券,-2.89855072,6.85990338,7.82608696,-1.73913043
24,000014,沙河股份,2025-10-23,1家机构卖出，成功率26.45%,22.46,-3.6052,-44091343.8,41952312.8,86043656.6,127995969.4,794197712.0,-5.551683558615,16.116386066849,13.7774,5436358191.04,日振幅值达到15%的前5只证券,-3.6064114,-2.76046305,-7.25734639,-19.23419412
25,000014,沙河股份,2025-09-23,1家机构买入，成功率50.81%,21.07,10.0261,51727671.79,152197280.59,100469608.8,252666889.39,1502614405.0,3.442511373369,16.815151548477,12.9971,5099913939.68,连续三个交易日内，涨幅偏离值累计达到20%的证券,-4.22401519,-2.46796393,-6.59705743,-3.65448505
26,000014,沙河股份,2025-09-23,1家机构买入，成功率53.89%,21.07,10.0261,48402899.01,92618327.99,44215428.98,136833756.97,618769098.0,7.822449305637,22.113864026545,12.9971,5099913939.68,日振幅值达到15%的前5只证券,-4.22401519,-2.46796393,-6.59705743,-3.65448505
27,000016,*ST康佳A,2025-04-15,1家机构买入，成功率35.04%,5.68,7.5758,123161135.95,200096069.96,76934934.01,277031003.97,1490436516.0,8.263427165656,18.587239442676,17.1024,9936799004.56,日振幅值达到15%的前5只证券,-7.04225352,-10.73943662,-13.38028169,-12.85211268
28,000016,*ST康佳A,2025-04-11,主力做T，成功率29.94%,5.1,9.9138,4932610.90000001,149286563.34,144353952.44,293640515.78,1430381982.0,0.344845709892,20.528818139154,10.0751,9002661084.48,连续三个交易日内，涨幅偏离值累计达到20%的证券,3.52941176,11.37254902,-4.70588235,-3.33333333
29,000016,*ST康佳A,2025-03-03,普通席位买入，成功率47.14%,5.76,9.9237,129270947.96,191192815.96,61921868.0,253114683.96,1144047275.0,11.29944109696,22.124495157772,12.9216,10056412992.48,日涨幅偏离值达到7%的前5只证券,0.69444444,-4.51388889,-5.90277778,-7.29166667
30,000016,*ST康佳A,2025-01-16,西藏自治区资金买入，成功率24.06%,6.81,10.0162,28799074.1,202501186.34,173702112.24,376203298.58,2465157769.0,1.168244664182,15.260820354415,24.4547,11830198675.44,日振幅值达到15%的前5只证券,-7.19530103,-12.48164464,-27.01908957,-28.78120411
31,000016,*ST康佳A,2025-01-16,西藏自治区资金买入，成功率24.06%,6.81,10.0162,28799074.1,202501186.34,173702112.24,376203298.58,2465157769.0,1.168244664182,15.260820354415,24.4547,11830198675.44,日涨幅偏离值达到7%的前5只证券,-7.19530103,-12.48164464,-27.01908957,-28.78120411
32,000016,*ST康佳A,2025-01-15,西藏自治区资金买入，成功率31.64%,6.19,1.9769,-143729101.25,178157253.33,321886354.58,500043607.91,2707128176.0,-5.309283192581,18.471368010689,27.0645,10783515906.88,日振幅值达到15%的前5只证券,10.01615509,2.10016155,-17.28594507,-21.00161551
33,000017,深中华A,2025-11-20,主力做T，成功率45.37%,8.39,9.9607,10137295.77,119513920.77,109376625.0,228890545.77,860627492.0,1.177895879952,26.59577435042,11.5782,4205156652.17,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.01191895,-0.95351609,-13.11084625,-9.17759237
34,000019,深粮控股,2025-04-08,3家机构买入，成功率26.54%,7.38,7.7372,8212309.0,91310528.17,83098219.17,174408747.34,672040468.0,1.221996202764,25.952119797048,13.1214,3242967200.46,连续三个交易日内，涨幅偏离值累计达到20%的证券,-3.52303523,-1.89701897,2.30352304,-4.74254743
35,000020,深华发A,2025-09-29,卖一主卖，成功率37.90%,15.45,-8.5799,-61483576.22,46959951.0,108443527.22,155403478.22,503765670.0,-12.204796769895,30.848366110378,17.7082,3103972840.59,日跌幅偏离值达到7%的前5只证券,-4.33656958,-4.66019417,-3.55987055,-5.95469256
36,000020,深华发A,2025-09-26,主力做T，成功率37.74%,16.9,10.026,40835724.28,181223399.0,140387674.72,321611073.72,456311354.0,8.949092307705,70.480620501939,8.9575,3382981991.3,连续三个交易日内，涨幅偏离值累计达到20%的证券,-8.57988166,-12.5443787,-14.55621302,-15.50295858
37,000020,深华发A,2025-06-18,1家机构买入，成功率20.69%,15.16,10.0145,4023349.31999999,84251158.91,80227809.59,164478968.5,516537225.0,0.778907913171,31.842616667172,14.8945,2996357125.76,连续三个交易日内，涨幅偏离值累计达到20%的证券,-3.82585752,-9.96042216,-7.51978892,-7.91556728
38,000021,深科技,2025-10-17,2家机构卖出，成功率16.75%,27.4,-9.9869,-57072265.09,603327504.76,660399769.85,1263727274.61,5681892656.0,-1.004458699686,22.241308506163,12.83,43057159888.2,日跌幅偏离值达到7%的前5只证券,-0.58394161,3.39416058,8.17518248,-0.3649635
39,000021,深科技,2025-10-10,2家机构买入，成功率44.65%,31.72,3.4573,-96681002.99,1395648799.66,1492329802.65,2887978602.31,11769973621.0,-0.821420727889,24.536831562284,24.5564,49845734001.96,日振幅值达到15%的前5只证券,-1.04035309,-9.04791929,-13.61916772,-6.55737705
