序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1,603019,中科曙光,102.46,4.583,3,0,2080312304.18,0.0,2080312304.18,36158578749,5.753302193155,7.9376,1498.69,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-09-15
2,300502,新易盛,183.5,8.0683,3,4,3925062463.22,2069917142.9,1855145320.32,39825073580,4.65823450795,7.657,1624.25,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-07-17
3,603986,兆易创新,157.8,4.5864,3,2,2688146632.48,889320920.18,1798825712.3,36215597700,4.966991645978,12.5987,1047.34,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-08-25
4,688228,开普云,214.0,14.561,2,2,5461977700.0,3954453000.0,1507524700.0,18057798800,8.348330362392,9.4075,144.49,有价格涨跌幅限制的连续30个交易日内收盘价格涨幅偏离值累计达到200%的证券,2025-09-22
5,601138,工业富联,34.61,6.0355,2,0,1498357688.77,0.0,1498357688.77,22629027211,6.621396822757,1.5222,6872.92,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-07-31
6,601606,长城军工,67.82,10.0081,2,2,12933059300.0,11568052000.0,1365007300.0,50479709100,2.704071248303,9.4237,491.17,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2025-08-13
7,603986,兆易创新,122.9,7.1958,3,1,1486497944.81,350476744.2,1136021200.61,17991781757,6.314111720303,9.6068,814.81,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-01-09
8,300274,阳光电源,191.49,15.4389,4,3,2339803498.04,1284693450.18,1055110047.86,26410424684,3.995051425656,9.1395,3044.13,日涨幅达到15%的前5只证券,2025-10-29
9,600629,华建集团,40.93,9.9973,2,2,16674562900.0,15623758600.0,1050804300.0,42349849200,2.48124685176,5.1592,390.11,有价格涨跌幅限制的连续30个交易日内收盘价格涨幅偏离值累计达到200%的证券,2025-10-21
10,002157,正邦科技,3.73,4.4818,4,2,1267200306.89,363516235.51,903684071.38,8086173994,11.175669383945,9.5198,269.37,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-12-15
