序号,股票代码,交易日
1,000032,2026-06-12
2,000032,2025-08-01
3,000032,2025-03-10
4,000032,2025-02-27
5,000032,2025-02-24
6,000032,2025-02-21
7,000032,2025-02-17
8,000032,2024-01-25
9,000032,2024-01-09
10,000032,2023-12-26
11,000032,2023-12-04
12,000032,2023-08-28
13,000032,2023-08-24
14,000032,2023-06-16
15,000032,2023-04-21
16,000032,2023-04-06
17,000032,2023-03-14
18,000032,2023-03-13
19,000032,2023-03-01
20,000032,2022-12-20
21,000032,2022-11-18
22,000032,2022-11-17
23,000032,2022-11-16
24,000032,2022-11-01
25,000032,2022-10-27
26,000032,2021-03-01
27,000032,2021-02-23
28,000032,2020-08-04
29,000032,2020-06-29
30,000032,2020-02-19
31,000032,2020-02-14
32,000032,2019-09-04
33,000032,2019-08-20
34,000032,2018-03-20
35,000032,2018-03-15
36,000032,2017-11-17
37,000032,2016-02-18
38,000032,2016-01-26
39,000032,2015-11-11
40,000032,2015-11-02
41,000032,2015-10-29
42,000032,2015-10-28
43,000032,2015-10-19
44,000032,2015-08-17
45,000032,2014-11-24
46,000032,2014-11-21
47,000032,2014-11-20
48,000032,2014-11-19
49,000032,2014-11-18
50,000032,2013-10-23
51,000032,2013-09-05
52,000032,2013-08-16
53,000032,2013-01-09
54,000032,2013-01-08
55,000032,2012-09-27
56,000032,2012-09-17
57,000032,2012-09-12
58,000032,2012-09-11
59,000032,2012-09-10
60,000032,2012-09-05
61,000032,2012-07-19
62,000032,2012-04-13
63,000032,2011-04-25
64,000032,2010-08-24
65,000032,2010-05-26
66,000032,2009-11-26
67,000032,2009-11-24
68,000032,2008-12-10
69,000032,2008-12-09
