序号,营业部名称,龙虎榜成交金额,上榜次数,买入额,买入次数,卖出额,卖出次数
1,深股通专用,1710614529332.89,4758,902179124949.949,4716,808435404382.941,4743
2,沪股通专用,1127543148460.4,7001,581615922887.56,3460,545927225572.841,3541
3,国泰海通证券股份有限公司,359323102688.98,7090,188830880546.4,3503,170492222142.58,3587
4,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,287672935401.13,5580,156362644769.79,2781,131310290631.34,2799
5,中信证券股份有限公司上海分公司,245598957700.67,4252,123399305700.36,2050,122199652000.31,2238
6,瑞银证券有限责任公司上海花园石桥路证券营业部,232619847493.48,3757,120313439364.93,1775,112306408128.55,1982
7,华宝证券股份有限公司上海东大名路证券营业部,143502139989.88,628,72936950599.44,440,70565189390.44,377
8,国信证券股份有限公司浙江互联网分公司,134190433477.11,2608,75152817575.3998,2068,59037615901.71,1794
9,中国国际金融股份有限公司上海分公司,131105274868.27,2199,66299581301.4,1467,64805693566.87,1554
10,摩根大通证券(中国)有限公司上海银城中路证券营业部,130453739959.94,2812,72079890077.2901,1447,58373849882.6499,1365
11,开源证券股份有限公司西安太华路证券营业部,117270854159.94,1801,74399248752.76,1454,42871605407.18,987
12,开源证券股份有限公司西安西大街证券营业部,93537330136.8,2015,58258336069.92,1696,35278994066.88,1350
13,东方财富证券股份有限公司拉萨金融城南环路证券营业部,90106649335.43,3090,49918385276.34,2606,40188264059.09,2356
14,国泰海通证券股份有限公司武汉紫阳东路证券营业部,89488252221.67,638,58537463806.45,532,30950788415.22,491
15,东方财富证券股份有限公司拉萨东环路第二证券营业部,84279995591.9699,3317,45200625900.6,2863,39079369691.37,2650
16,东方财富证券股份有限公司拉萨团结路第一证券营业部,83591229282.3199,2925,44102717689.5999,2507,39488511592.72,2370
17,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,62112194436.65,1165,37995463646.33,945,24116730790.32,834
18,华鑫证券有限责任公司上海分公司,61644047894.21,497,31060695019.81,344,30583352874.4,301
19,国泰海通证券股份有限公司北京知春路证券营业部,57113220556.99,533,34498893358.69,434,22614327198.3,415
