序号,营业部代码,营业部名称,营业部简称,交易日期,股票代码,股票名称,涨跌幅,买入金额,卖出金额,净额,上榜原因,1日后涨跌幅,2日后涨跌幅,3日后涨跌幅,5日后涨跌幅,10日后涨跌幅,20日后涨跌幅,30日后涨跌幅
1,10634757,深股通专用,深股通专用,2026-08-25,000506,招金黄金,-7.744,102727962.0,49769900.0,52958062.0,日跌幅偏离值达到7%的前5只证券,,,,,,,
2,10634757,深股通专用,深股通专用,2026-08-25,000603,盛达资源,-9.0065,189477396.63,256264228.84,-66786832.21,日跌幅偏离值达到7%的前5只证券,,,,,,,
3,10634757,深股通专用,深股通专用,2026-08-25,000688,国城矿业,-8.6431,83916035.57,76961625.99,6954409.58,日跌幅偏离值达到7%的前5只证券,,,,,,,
4,10634757,深股通专用,深股通专用,2026-08-25,002041,登海种业,10.0098,52142736.01,41306553.02,10836182.99,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,,,
5,10634757,深股通专用,深股通专用,2026-08-25,002081,金螳螂,10.0,18717208.26,34802244.52,-16085036.26,日涨幅偏离值达到7%的前5只证券,,,,,,,
6,10634757,深股通专用,深股通专用,2026-08-25,002132,恒星科技,-7.5,41747776.0,63514721.68,-21766945.68,日跌幅偏离值达到7%的前5只证券,,,,,,,
7,10634757,深股通专用,深股通专用,2026-08-25,002437,誉衡药业,9.1371,117095969.8,85735261.04,31360708.76,日换手率达到20%的前5只证券,,,,,,,
8,10634757,深股通专用,深股通专用,2026-08-25,002445,中南文化,10.089,0.0,1187388.0,-1187388.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,,,
9,10634757,深股通专用,深股通专用,2026-08-25,002491,通鼎互联,2.8352,242991317.02,340242036.37,-97250719.35,日换手率达到20%的前5只证券,,,,,,,
10,10634757,深股通专用,深股通专用,2026-08-25,002536,飞龙股份,5.6557,689938022.88,779132261.46,-89194238.58,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,,,
11,10634757,深股通专用,深股通专用,2026-08-25,002580,圣阳股份,0.8551,104565132.63,91951470.0,12613662.63,日换手率达到20%的前5只证券,,,,,,,
12,10634757,深股通专用,深股通专用,2026-08-25,002636,金安国纪,5.9368,208556185.0,225783221.48,-17227036.48,日振幅值达到15%的前5只证券,,,,,,,
13,10634757,深股通专用,深股通专用,2026-08-25,002703,浙江世宝,9.9792,87073831.85,42515103.0,44558728.85,日涨幅偏离值达到7%的前5只证券,,,,,,,
14,10634757,深股通专用,深股通专用,2026-08-25,002821,凯莱英,10.0019,209710927.05,251350977.24,-41640050.19,日涨幅偏离值达到7%的前5只证券,,,,,,,
