code,date,open,high,low,close,preclose,volume,amount,turn,isST,pct,board,limit_price,is_limitup,streak,circ_mkt_est,close_20d_ago,ret_20d_pre,code6,name
sz.000609,2025-11-12,10.71,10.71,10.71,10.71,10.2,158901.0,1701829.71,0.0546,1,0.05,ST,10.71,True,15,3116904230.7692304,4.23,1.5319148936170213,000609,*ST中迪
sz.000609,2025-11-11,10.2,10.2,10.2,10.2,9.71,228610.0,2331822.0,0.0785,1,0.05,ST,10.2,True,14,2970473885.3503184,4.29,1.3776223776223775,000609,*ST中迪
sz.000609,2025-11-10,9.71,9.71,9.71,9.71,9.25,553683.0,5376261.93,0.1902,1,0.05,ST,9.71,True,13,2826636135.6466875,4.3,1.2581395348837212,000609,*ST中迪
sz.000609,2025-11-07,9.25,9.25,8.56,9.25,8.81,59256838.0,540822917.96,20.3591,1,0.05,ST,9.25,True,12,2656418593.945705,4.31,1.146171693735499,000609,*ST中迪
sz.002713,2025-11-13,17.66,17.66,17.66,17.66,16.82,580140.0,10245272.4,0.141,1,0.05,ST,17.66,True,12,7266150638.2978735,7.64,1.3115183246073299,002713,东易日盛
sz.001331,2025-12-29,43.38,46.31,42.9,46.31,42.1,25720770.0,1157260373.37,15.3213,0,0.1,主板,46.31,True,12,7553277942.276438,14.32,2.2339385474860336,001331,胜通能源
sz.000609,2025-11-06,8.81,8.81,8.81,8.81,8.39,315801.0,2782206.81,0.1085,1,0.05,ST,8.81,True,11,2564245907.8341017,4.43,0.9887133182844245,000609,*ST中迪
sz.002713,2025-11-12,16.82,16.82,16.82,16.82,16.02,431440.0,7256820.8,0.1048,1,0.05,ST,16.82,True,11,6924447328.244275,7.28,1.3104395604395602,002713,东易日盛
sz.001331,2025-12-26,42.1,42.1,40.88,42.1,38.27,26085945.0,1097176580.14,15.5388,0,0.1,主板,42.1,True,11,7060883595.515741,14.32,1.9399441340782122,001331,胜通能源
sz.000609,2025-11-05,8.39,8.39,8.39,8.39,7.99,1713814.0,14378899.46,0.5888,1,0.05,ST,8.39,True,10,2442068522.4184785,4.31,0.946635730858469,000609,*ST中迪
sz.002713,2025-11-11,16.02,16.02,16.02,16.02,15.26,1096260.0,17562085.2,0.2664,1,0.05,ST,16.02,True,10,6592374324.324324,6.93,1.3116883116883118,002713,东易日盛
sz.001331,2025-12-25,38.27,38.27,38.27,38.27,34.79,2758037.0,105550075.99,1.6429,0,0.1,主板,38.27,True,10,6424619635.400815,13.53,1.8285291943828534,001331,胜通能源
