code,date,close,preclose,pct_chg,turn,amount,circ_mktcap_yi,board_number,is_first_board,ret_20d_prior,isST,board
sh.600358,2025-06-12,7.71,7.34,5.040871934604896,0.5172,20133053.61,38.9270178074246,10,False,63.111111111111114,1,MAIN
sh.603389,2025-05-19,9.96,9.49,4.952581664910438,1.3251,34668357.2,26.162823334087996,10,False,53.31179321486268,1,MAIN
sz.002190,2025-05-19,39.48,35.89,10.002786291446064,18.2278,2519030880.59,138.1971977194176,9,False,127.72842639593911,0,MAIN
sh.603389,2025-05-16,9.49,9.04,4.977876106194712,4.37,108531491.58,24.835581597254006,9,False,54.529914529914514,1,MAIN
sh.600358,2025-06-11,7.34,6.99,5.007153075822601,0.6766,25077675.18,37.0642553650606,9,False,57.787810383747185,1,MAIN
sh.600358,2025-06-10,6.99,6.66,4.954954954954949,0.6322,22312093.98,35.29277757038912,8,False,50.0,1,MAIN
sz.002190,2025-05-16,35.89,32.63,9.990806006742249,12.245,1562649637.82,127.61532362760312,8,False,105.3492762743864,0,MAIN
sh.603389,2025-05-15,9.04,8.61,4.994192799070851,0.1739,4131460.8,23.757681426106952,8,False,47.17948717948719,1,MAIN
sz.002898,2025-05-28,11.81,11.25,4.977777777777792,11.8474,141684374.3,11.959111222715533,8,False,76.33228840125392,1,MAIN
sz.002200,2025-05-08,9.03,8.6,5.000000000000004,10.5416,171402491.81,16.259627742467934,8,False,51.40845070422535,1,MAIN
sz.002826,2025-06-12,23.73,21.57,10.01390820584145,41.3436,1627408239.45,39.363002724726435,7,False,79.60033305578685,0,MAIN
sz.002289,2025-05-14,12.68,12.08,4.966887417218535,0.0772,2739514.0,35.48593264248704,7,False,142.570281124498,1,MAIN
sz.002190,2025-05-15,32.63,29.66,10.013486176668929,12.0936,1409530759.05,116.5517926051796,7,False,88.9171974522293,0,MAIN
sz.002816,2025-05-13,15.78,15.03,4.990019960079839,6.4071,100825564.0,15.736536654648747,7,False,43.2793136320305,1,MAIN
sh.603389,2025-05-14,8.61,8.2,5.000000000000004,1.3913,31460427.2,22.612252713289728,7,False,42.114384748700175,1,MAIN
sh.600358,2025-06-09,6.66,6.34,5.047318611987395,0.2391,8042322.96,33.63581329987453,7,False,45.08009153318078,1,MAIN
sz.002898,2025-05-27,11.25,10.71,5.042016806722671,0.3077,3505725.0,11.393321416964577,7,False,65.53323029366307,1,MAIN
sz.002490,2025-06-23,7.72,7.02,9.971509971509974,30.3249,1253619214.62,41.33959929364977,7,False,71.21951219512195,0,MAIN
sz.002200,2025-05-07,8.6,8.19,5.0061050061050105,7.6873,121730892.36,15.835324803246916,7,False,45.72953736654804,1,MAIN
sh.600110,2025-06-25,6.86,6.24,9.935897435897443,27.6027,3105837648.43,112.5193422538375,7,False,84.61538461538463,0,MAIN
