code,streak_len,start,end
sz.002052,9,2025-03-07,2025-03-19
sz.002105,9,2025-03-04,2025-03-14
sh.603828,8,2025-03-17,2025-03-26
sz.002278,7,2025-03-13,2025-03-21
sh.601086,7,2025-04-03,2025-04-14
sh.600289,7,2025-03-03,2025-03-11
sh.600289,7,2025-03-13,2025-03-21
sz.002289,7,2025-04-21,2025-04-29
sh.603677,7,2025-03-12,2025-03-20
sh.601008,6,2025-04-03,2025-04-11
sh.605188,6,2025-04-14,2025-04-21
sz.002574,6,2025-03-11,2025-03-18
sz.001234,6,2025-04-10,2025-04-17
sz.002052,6,2025-04-18,2025-04-25
sz.002084,6,2025-04-02,2025-04-10
sz.002342,6,2025-03-13,2025-03-20
sz.002289,6,2025-04-10,2025-04-17
sz.003003,6,2025-04-18,2025-04-25
sh.603696,6,2025-04-15,2025-04-22
sz.001212,5,2025-04-01,2025-04-08
sz.000965,5,2025-04-16,2025-04-22
sz.002427,5,2025-03-21,2025-03-27
sz.002586,5,2025-03-14,2025-03-20
sz.002656,5,2025-04-10,2025-04-16
sh.603949,5,2025-03-18,2025-03-24
sz.002200,5,2025-04-24,2025-04-30
sh.603776,5,2025-03-17,2025-03-21
sh.603709,5,2025-04-08,2025-04-14
sz.003020,5,2025-04-15,2025-04-21
sz.002251,5,2025-04-21,2025-04-25
sh.600289,5,2025-04-10,2025-04-16
sh.601086,5,2025-04-16,2025-04-22
sh.600303,5,2025-04-10,2025-04-16
sh.600540,5,2025-04-03,2025-04-10
sz.002197,4,2025-03-10,2025-03-13
sz.001318,4,2025-03-14,2025-03-19
sz.002570,4,2025-04-08,2025-04-11
sz.000665,4,2025-03-07,2025-03-12
sz.000678,4,2025-03-10,2025-03-13
sz.000678,4,2025-03-17,2025-03-20
sz.002553,4,2025-03-18,2025-03-21
sz.000908,4,2025-04-09,2025-04-14
sh.600610,4,2025-03-24,2025-03-27
sz.002905,4,2025-03-12,2025-03-17
sz.002229,4,2025-04-25,2025-04-30
sz.002537,4,2025-04-21,2025-04-24
sz.002289,4,2025-03-31,2025-04-03
sz.001395,4,2025-04-15,2025-04-18
sh.600644,4,2025-04-14,2025-04-17
sh.600539,4,2025-03-10,2025-03-13
sz.002086,4,2025-03-13,2025-03-18
sh.600365,4,2025-04-21,2025-04-24
sz.002204,4,2025-03-19,2025-03-24
sh.600249,4,2025-04-11,2025-04-16
sz.002164,4,2025-03-17,2025-03-20
sz.002165,4,2025-04-15,2025-04-18
sz.000565,4,2025-04-25,2025-04-30
sh.603086,4,2025-04-21,2025-04-24
sh.603828,4,2025-04-10,2025-04-15
sz.002688,4,2025-04-03,2025-04-09
sh.603048,4,2025-03-04,2025-03-07
sh.603559,4,2025-04-10,2025-04-15
sh.603377,4,2025-03-11,2025-03-14
sh.601956,4,2025-04-23,2025-04-28
sh.603716,4,2025-03-10,2025-03-13
sh.603359,4,2025-03-19,2025-03-24
sz.002809,4,2025-04-17,2025-04-22
sh.603579,4,2025-03-26,2025-03-31
sz.002724,4,2025-03-13,2025-03-18
sh.600794,4,2025-04-17,2025-04-22
sh.603315,4,2025-03-17,2025-03-20
sh.605303,4,2025-03-07,2025-03-12
sh.603221,4,2025-04-03,2025-04-09
sz.002951,3,2025-04-21,2025-04-23
sz.002719,3,2025-04-15,2025-04-17
sz.002742,3,2025-04-11,2025-04-15
sz.002300,3,2025-03-24,2025-03-26
sz.002760,3,2025-03-07,2025-03-11
sz.002982,3,2025-04-03,2025-04-08
sz.002903,3,2025-03-18,2025-03-20
sz.002921,3,2025-03-10,2025-03-12
sz.002406,3,2025-03-19,2025-03-21
sz.002427,3,2025-04-17,2025-04-21
sz.002633,3,2025-03-19,2025-03-21
sz.002713,3,2025-03-19,2025-03-21
sz.002789,3,2025-03-17,2025-03-19
sz.002800,3,2025-04-08,2025-04-10
sz.002915,3,2025-04-22,2025-04-24
sz.002549,3,2025-03-27,2025-03-31
sz.002647,3,2025-03-13,2025-03-17
sz.002900,3,2025-04-01,2025-04-03
sz.002767,3,2025-03-21,2025-03-25
sz.002640,3,2025-04-10,2025-04-14
sz.002570,3,2025-03-14,2025-03-18
sh.600165,3,2025-03-07,2025-03-11
sz.002196,3,2025-03-07,2025-03-11
sh.600865,3,2025-04-18,2025-04-22
sh.603353,3,2025-03-28,2025-04-01
sh.603351,3,2025-04-18,2025-04-22
sh.603300,3,2025-03-05,2025-03-07
sh.603206,3,2025-03-11,2025-03-13
sh.603128,3,2025-04-15,2025-04-17
sh.603011,3,2025-03-24,2025-03-26
sh.601890,3,2025-03-20,2025-03-24
sh.600744,3,2025-04-24,2025-04-28
sz.002141,3,2025-03-24,2025-03-26
sh.600697,3,2025-04-09,2025-04-11
sh.600598,3,2025-04-07,2025-04-09
sh.600592,3,2025-03-04,2025-03-06
sh.600371,3,2025-04-07,2025-04-09
sh.600360,3,2025-03-24,2025-03-26
sh.600320,3,2025-03-20,2025-03-24
sh.600243,3,2025-03-19,2025-03-21
sh.603688,3,2025-04-09,2025-04-11
sh.603985,3,2025-03-31,2025-04-02
sh.605066,3,2025-03-03,2025-03-05
sh.605069,3,2025-03-24,2025-03-26
sz.002133,3,2025-04-09,2025-04-11
sz.002132,3,2025-03-28,2025-04-01
sz.002098,3,2025-04-15,2025-04-17
sz.002094,3,2025-04-21,2025-04-23
sz.002094,3,2025-04-08,2025-04-10
sz.002093,3,2025-03-06,2025-03-10
sz.001333,3,2025-03-28,2025-04-01
sh.600234,3,2025-03-13,2025-03-17
sz.000880,3,2025-03-11,2025-03-13
sz.000632,3,2025-04-22,2025-04-24
sz.000626,3,2025-04-10,2025-04-14
sz.000510,3,2025-04-11,2025-04-15
sz.000409,3,2025-03-03,2025-03-05
sz.000025,3,2025-04-16,2025-04-18
sz.000016,3,2025-04-09,2025-04-11
sz.000908,3,2025-03-17,2025-03-19
