date,n_zt
2025-05-06,150
2025-05-19,134
2025-05-29,117
2025-05-08,112
2025-05-07,109
2025-05-20,102
2025-05-27,97
2025-06-30,96
2025-05-12,93
2025-06-09,92
2025-05-14,90
2025-06-04,88
2025-05-26,86
2025-06-23,86
2025-06-03,85
2025-05-21,85
2025-06-24,84
2025-06-25,80
2025-06-05,77
2025-05-15,77
2025-05-28,77
2025-06-12,76
2025-06-26,76
2025-06-16,75
2025-05-16,74
2025-06-11,74
2025-05-13,70
2025-06-06,68
2025-06-13,64
2025-06-10,63
2025-05-09,62
2025-06-27,62
2025-06-17,61
2025-06-20,54
2025-05-30,53
2025-05-23,53
2025-05-22,52
2025-06-18,51
2025-06-19,39
