code,date,open,high,low,close,preclose,volume,amount,turn,isST,pct,board,limit_price,is_limitup,streak,circ_mkt_est,close_20d_ago,ret_20d_pre
sh.600021,2025-12-26,19.88,21.86,19.83,21.86,19.87,185882325.0,3928584418.29,6.5888,0,0.1,主板,21.86,True,1,59625188475.74673,23.06,-0.05203816131830008
sh.600033,2025-11-25,3.65,3.97,3.63,3.97,3.61,116931107.0,456156402.56,4.2607,0,0.1,主板,3.97,True,1,10706137549.229,3.73,0.06434316353887404
sh.600033,2025-12-02,3.85,4.25,3.83,4.25,3.86,164532032.0,670778285.16,5.9952,0,0.1,主板,4.25,True,1,11188588957.165733,3.79,0.12137203166226906
sh.600058,2025-12-09,8.69,9.48,8.65,9.48,8.62,29763283.0,274378724.18,2.7767,0,0.1,主板,9.48,True,1,9881468080.095078,9.99,-0.05105105105105101
sh.600058,2025-12-29,10.47,11.52,10.38,11.52,10.47,64083638.0,725384901.14,5.9784,0,0.1,主板,11.52,True,1,12133428695.637629,8.69,0.32566168009205976
sh.600063,2025-11-13,6.11,6.72,6.1,6.72,6.11,156845230.0,1027438803.22,7.5803,0,0.1,主板,6.72,True,1,13554065185.019064,6.31,0.06497622820919169
sh.600067,2025-11-04,4.0,4.47,3.94,4.47,4.06,202804405.0,854522257.27,14.5727,0,0.1,主板,4.47,True,1,5863856781.996473,3.07,0.4560260586319218
sh.600067,2025-11-10,4.14,4.58,4.09,4.58,4.16,113115326.0,495923156.77,8.128,0,0.1,主板,4.58,True,1,6101416790.969488,3.09,0.4822006472491911
sh.600076,2025-12-19,2.86,3.15,2.85,3.15,2.86,100793700.0,309376722.75,7.4965,0,0.1,主板,3.15,True,1,4126948879.477089,2.76,0.14130434782608692
sh.600078,2025-11-06,10.28,10.85,10.1,10.85,9.86,89370893.0,940256137.44,13.4885,0,0.1,主板,10.85,True,1,6970798364.829299,7.45,0.4563758389261745
sh.600078,2025-11-07,11.4,11.94,11.33,11.94,10.85,25861500.0,302660303.0,3.9032,0,0.1,主板,11.94,True,2,7754158203.525312,8.2,0.4560975609756097
sh.600078,2025-11-10,13.13,13.13,12.51,13.13,11.94,96290410.0,1257035313.5,14.5328,0,0.1,主板,13.13,True,3,8649642969.696136,9.02,0.45565410199556555
