code,date,close,streak,yizi,open_gap,turn,amount,gain20,isST,board,bare_code,name
sh.600017,2025-04-09,3.33,1,False,-1.65,4.7334,450753325.6,10.26,0,0.1,600017,日照港
sh.600032,2025-04-03,8.5,1,False,-0.78,2.4257,481275259.49,15.02,0,0.1,600032,浙江新能
sh.600051,2025-04-24,7.4,1,False,0.59,12.3323,277027257.36,6.47,0,0.1,600051,宁波联合
sh.600051,2025-04-25,8.14,2,True,10.0,3.0311,76703114.18,17.8,0,0.1,600051,宁波联合
sh.600053,2025-04-14,13.57,1,False,1.22,1.9601,110211889.86,-2.09,0,0.1,600053,*ST九鼎
sh.600053,2025-04-18,14.09,1,False,-0.23,3.9721,239317249.81,6.1,0,0.1,600053,*ST九鼎
sh.600063,2025-03-20,4.8,1,False,4.82,11.6395,1061567841.91,24.35,0,0.1,600063,皖维高新
sh.600067,2025-03-04,2.77,1,False,-0.4,5.058,189962706.88,15.9,0,0.1,600067,冠城新材
sh.600081,2025-03-26,12.97,1,False,-0.08,2.7548,192685061.36,3.35,0,0.1,600081,东风科技
sh.600081,2025-03-31,14.96,1,False,2.65,10.2624,809562627.35,25.29,0,0.1,600081,东风科技
sh.600094,2025-04-08,3.17,1,False,0.0,2.509,169333483.82,-8.38,0,0.1,600094,大名城
sh.600094,2025-04-09,3.49,2,False,1.26,3.8565,287390245.13,-0.85,0,0.1,600094,大名城
sh.600095,2025-03-31,7.58,1,True,10.01,0.4677,101363489.36,13.13,0,0.1,600095,湘财股份
sh.600097,2025-03-20,10.66,1,False,-0.1,4.5499,112929449.0,17.27,0,0.1,600097,开创国际
sh.600097,2025-03-21,11.73,2,True,10.04,2.6677,75393402.0,30.77,0,0.1,600097,开创国际
sh.600101,2025-04-01,12.0,1,False,0.0,21.9207,1365248842.43,28.76,0,0.1,600101,明星电力
sh.600101,2025-04-25,12.99,1,False,0.0,28.1045,1930618537.51,16.5,0,0.1,600101,明星电力
sh.600105,2025-03-03,5.92,1,False,1.67,15.106,1288253139.98,15.18,0,0.1,600105,永鼎股份
sh.600105,2025-03-25,7.26,1,False,0.0,9.0499,941592612.52,23.05,0,0.1,600105,永鼎股份
sh.600105,2025-04-22,6.14,1,False,7.53,9.1056,808663883.26,-6.97,0,0.1,600105,永鼎股份
sh.600107,2025-03-10,4.79,1,False,1.38,4.8249,82386783.53,3.23,0,0.1,600107,*ST尔雅
sh.600107,2025-03-12,5.12,1,False,0.86,7.5886,136307790.96,13.78,0,0.1,600107,*ST尔雅
sh.600107,2025-04-14,4.87,1,False,2.03,3.1041,52996487.0,-8.11,0,0.1,600107,*ST尔雅
sh.600108,2025-04-08,3.25,1,False,0.34,10.9018,660092213.26,15.25,0,0.1,600108,亚盛集团
sh.600116,2025-04-28,7.61,1,False,7.37,6.7969,984742256.67,11.42,0,0.1,600116,三峡水利
sh.600119,2025-04-22,8.01,1,False,1.65,4.86,141501202.14,10.94,0,0.1,600119,*ST长投
sh.600126,2025-03-31,11.86,1,False,-3.53,11.1362,4209359013.02,-0.59,0,0.1,600126,杭钢股份
sh.600127,2025-04-10,7.89,1,False,-4.6,15.3098,731864310.16,19.73,0,0.1,600127,金健米业
sh.600128,2025-03-26,10.41,1,False,-0.32,13.4677,338810603.82,7.76,0,0.1,600128,苏豪弘业
sh.600128,2025-04-15,10.21,1,False,0.0,15.938,388848360.15,-1.45,0,0.1,600128,苏豪弘业
sh.600129,2025-03-03,22.22,1,False,1.53,11.6597,1411974339.96,15.85,0,0.1,600129,太极集团
sh.600130,2025-04-11,3.11,1,False,-1.06,6.0455,135592702.0,-13.37,0,0.1,600130,波导股份
sh.600133,2025-03-06,10.35,1,False,0.53,6.1747,667081847.85,8.38,0,0.1,600133,东湖高新
sh.600136,2025-03-04,2.36,1,False,-2.22,0.7484,33516480.78,18.0,1,0.1,600136,ST明诚
sh.600136,2025-03-12,2.42,1,False,0.0,0.3617,16678208.0,20.4,1,0.1,600136,ST明诚
sh.600136,2025-04-21,2.03,1,False,2.59,0.2715,10672559.0,-17.81,1,0.1,600136,ST明诚
sh.600149,2025-04-28,4.86,1,False,-0.23,14.5445,259313665.23,14.08,0,0.1,600149,廊坊发展
sh.600156,2025-03-26,5.8,1,False,-0.76,4.6963,105989666.8,8.21,0,0.1,600156,华升股份
sh.600165,2025-03-07,3.73,1,False,-0.85,2.5562,62038421.19,23.1,1,0.1,600165,宁科生物
sh.600165,2025-03-10,3.92,2,False,2.41,3.575,95458256.92,24.44,1,0.1,600165,宁科生物
sh.600165,2025-03-11,4.12,3,False,0.77,2.3135,64267794.41,24.47,1,0.1,600165,宁科生物
sh.600165,2025-03-26,4.13,1,False,-0.25,2.3111,64654379.24,2.99,1,0.1,600165,宁科生物
sh.600165,2025-03-31,4.43,1,False,0.47,2.8761,85626300.41,21.7,1,0.1,600165,宁科生物
sh.600165,2025-04-02,4.63,1,False,0.45,2.3045,72231232.0,31.16,1,0.1,600165,宁科生物
sh.600165,2025-04-10,4.44,1,False,3.07,2.9989,90350006.5,8.03,1,0.1,600165,宁科生物
sh.600165,2025-04-11,4.66,2,False,1.35,2.182,69014928.82,12.83,1,0.1,600165,宁科生物
sh.600165,2025-04-23,5.2,1,False,0.4,3.4613,122021068.0,32.32,1,0.1,600165,宁科生物
sh.600168,2025-03-07,4.98,1,True,9.93,0.4546,22487932.02,14.22,0,0.1,600168,武汉控股
sh.600171,2025-04-11,34.72,1,False,-0.98,7.4976,1773263918.28,-2.91,0,0.1,600171,上海贝岭
sh.600172,2025-03-10,4.59,1,False,0.24,9.664,557070819.75,10.87,0,0.1,600172,黄河旋风
sh.600172,2025-04-11,4.05,1,False,-1.36,6.1467,315007302.8,-11.38,0,0.1,600172,黄河旋风
sh.600173,2025-04-03,7.4,1,False,0.74,6.0624,308920683.7,20.52,0,0.1,600173,卧龙新能
sh.600178,2025-03-19,13.31,1,False,-0.33,8.4356,517120049.6,8.39,0,0.1,600178,东安动力
sh.600180,2025-04-08,4.55,1,False,0.0,6.052,295030963.58,8.59,0,0.1,600180,*ST瑞茂
sh.600180,2025-04-10,5.51,1,True,9.98,0.9121,54609180.22,29.04,0,0.1,600180,*ST瑞茂
sh.600184,2025-03-10,14.03,1,False,0.08,4.0294,278451854.29,24.71,0,0.1,600184,光电股份
sh.600184,2025-04-09,12.35,1,False,-1.78,2.2921,138989551.4,-15.99,0,0.1,600184,光电股份
sh.600185,2025-03-19,6.27,1,False,5.26,4.0554,473346109.76,9.23,0,0.1,600185,珠免集团
sh.600185,2025-04-09,6.26,1,False,-1.23,5.2506,604561630.2,11.19,0,0.1,600185,珠免集团
sh.600185,2025-04-10,6.89,2,False,9.74,8.2435,1056995359.07,22.82,0,0.1,600185,珠免集团
sh.600186,2025-04-08,6.92,1,False,3.18,20.8287,2466860128.09,1.47,0,0.1,600186,莲花控股
sh.600187,2025-04-10,3.45,1,False,0.0,4.2575,225224380.95,-3.36,0,0.1,600187,*ST国中
sh.600187,2025-04-18,3.98,1,False,-0.28,9.5575,588929442.48,11.48,0,0.1,600187,*ST国中
sh.600191,2025-04-16,8.21,1,False,10.05,5.2671,209100962.21,13.24,0,0.1,600191,华资实业
sh.600192,2025-03-03,7.28,1,False,0.3,2.6771,85197637.88,31.17,0,0.1,600192,长城电工
sh.600192,2025-04-11,6.42,1,False,-0.68,1.5363,42659256.25,-6.55,0,0.1,600192,长城电工
sh.600193,2025-04-08,3.03,1,False,-0.73,5.1441,64273014.25,-20.05,0,0.1,600193,
sh.600202,2025-03-28,5.67,1,False,-1.75,10.4641,223099598.27,17.88,0,0.1,600202,哈空调
sh.600202,2025-04-01,6.23,1,False,-1.77,19.0566,439764113.85,26.88,0,0.1,600202,哈空调
sh.600206,2025-04-15,17.55,1,True,10.03,2.1304,316509020.1,-5.54,0,0.1,600206,有研新材
sh.600207,2025-04-11,4.27,1,False,10.05,2.3814,110637544.0,-5.53,0,0.1,600207,安彩高科
sh.600208,2025-03-17,3.25,1,False,9.83,4.6783,1287433039.73,4.84,0,0.1,600208,衢州发展
sh.600211,2025-03-17,39.53,1,False,4.06,6.6014,824003688.99,9.29,0,0.1,600211,西藏药业
sh.600212,2025-03-26,9.17,1,False,-0.36,10.0656,462180923.51,21.62,0,0.1,600212,绿能慧充
sh.600215,2025-04-03,10.29,1,False,0.11,17.286,797272628.8,11.24,0,0.1,600215,派斯林
sh.600227,2025-03-27,2.53,1,False,0.0,6.4199,201450889.49,9.52,0,0.1,600227,赤天化
sh.600227,2025-04-22,2.29,1,False,-1.44,5.756,163482694.91,5.05,0,0.1,600227,赤天化
sh.600228,2025-03-07,5.65,1,False,0.19,21.1748,489509587.13,10.57,0,0.1,600228,返利科技
sh.600228,2025-03-14,6.05,1,False,-0.55,18.2401,446786321.6,13.3,0,0.1,600228,返利科技
sh.600234,2025-03-10,5.46,1,False,0.19,1.2969,18469744.0,-6.51,1,0.1,600234,科新发展
sh.600234,2025-03-13,5.75,1,False,0.91,1.6298,24404626.0,2.5,1,0.1,600234,科新发展
sh.600234,2025-03-14,6.04,2,False,0.87,0.9829,15237340.14,7.47,1,0.1,600234,科新发展
sh.600234,2025-03-17,6.34,3,False,3.97,1.7023,28138536.7,16.12,1,0.1,600234,科新发展
sh.600234,2025-04-11,5.85,1,False,0.18,0.6336,9621254.82,1.74,1,0.1,600234,科新发展
sh.600234,2025-04-15,6.31,1,False,-0.17,0.7698,12647198.0,-0.47,1,0.1,600234,科新发展
sh.600234,2025-04-23,6.56,1,False,0.64,1.1844,20135959.09,3.14,1,0.1,600234,科新发展
sh.600234,2025-04-28,7.27,1,False,0.43,1.0963,20394972.34,18.99,1,0.1,600234,科新发展
sh.600238,2025-04-14,6.64,1,False,-2.48,13.7099,393084244.35,-10.87,0,0.1,600238,ST椰岛
sh.600239,2025-03-28,2.73,1,False,0.0,4.7968,201460765.71,5.81,0,0.1,600239,ST云城
sh.600239,2025-04-11,2.59,1,False,-0.85,4.8037,193384101.98,5.28,0,0.1,600239,ST云城
sh.600243,2025-03-19,3.28,1,False,0.0,9.4726,133781803.84,2.18,0,0.1,600243,*ST海华
sh.600243,2025-03-20,3.61,2,True,10.06,7.4837,118560742.71,12.46,0,0.1,600243,*ST海华
sh.600243,2025-03-21,3.97,3,False,9.7,34.7002,600172930.61,26.84,0,0.1,600243,*ST海华
sh.600249,2025-04-11,5.53,1,False,-0.6,3.1989,95194654.23,4.54,0,0.1,600249,XD两面针
sh.600249,2025-04-14,6.08,2,False,7.78,4.1689,138225269.36,11.56,0,0.1,600249,XD两面针
sh.600249,2025-04-15,6.69,3,False,8.88,16.0022,566145104.86,23.2,0,0.1,600249,XD两面针
sh.600249,2025-04-16,7.36,4,False,0.15,29.3574,1106630249.92,33.58,0,0.1,600249,XD两面针
sh.600250,2025-04-17,9.96,1,False,-0.44,8.9997,266340990.14,12.93,0,0.1,600250,南京商旅
sh.600257,2025-04-10,5.2,1,False,-0.63,8.4486,204421563.0,6.34,0,0.1,600257,大湖股份
sh.600265,2025-04-02,17.05,1,False,0.32,2.6173,57281215.51,8.6,0,0.1,600265,*ST景谷
sh.600278,2025-04-10,6.79,1,False,7.94,1.6896,99223308.17,2.72,0,0.1,600278,东方创业
sh.600278,2025-04-22,7.1,1,False,3.26,4.2314,255791836.34,7.41,0,0.1,600278,东方创业
sh.600278,2025-04-29,7.9,1,False,1.67,4.7035,314692150.2,21.54,0,0.1,600278,东方创业
sh.600279,2025-04-09,5.19,1,False,5.93,3.4152,208120885.12,1.76,0,0.1,600279,重庆港
sh.600279,2025-04-16,5.61,1,False,-0.78,6.8752,449870816.62,5.06,0,0.1,600279,重庆港
sh.600280,2025-04-08,3.42,1,False,-0.32,4.5578,171493460.46,-8.56,0,0.1,600280,中央商场
sh.600280,2025-04-25,3.66,1,False,-0.3,8.6998,355587785.0,4.57,0,0.1,600280,中央商场
sh.600281,2025-03-03,3.87,1,False,-0.85,3.4006,66303898.83,19.81,0,0.1,600281,华阳新材
sh.600281,2025-03-07,4.1,1,False,0.0,7.9962,162535423.9,19.19,0,0.1,600281,华阳新材
sh.600281,2025-04-28,3.66,1,False,6.91,7.0573,130515496.74,1.1,0,0.1,600281,华阳新材
sh.600281,2025-04-29,4.03,2,False,0.55,8.3827,167930541.0,13.52,0,0.1,600281,华阳新材
sh.600289,2025-03-03,4.83,1,False,0.0,0.7805,20954557.16,74.37,1,0.1,600289,ST信通
sh.600289,2025-03-04,5.07,2,True,4.97,0.1847,5300178.0,74.23,1,0.1,600289,ST信通
sh.600289,2025-03-05,5.32,3,True,4.93,0.4445,13381411.96,73.86,1,0.1,600289,ST信通
sh.600289,2025-03-06,5.59,4,True,5.08,0.1582,5004643.15,74.14,1,0.1,600289,ST信通
sh.600289,2025-03-07,5.87,5,False,5.01,7.0785,234356814.18,87.54,1,0.1,600289,ST信通
sh.600289,2025-03-10,6.16,6,False,0.0,5.0402,172821699.03,87.23,1,0.1,600289,ST信通
sh.600289,2025-03-11,6.47,7,False,3.41,1.4316,51906080.62,87.54,1,0.1,600289,ST信通
sh.600289,2025-03-13,6.84,1,False,-4.76,4.062,154542460.94,80.0,1,0.1,600289,ST信通
sh.600289,2025-03-14,7.18,2,True,4.97,0.2246,9124975.84,79.95,1,0.1,600289,ST信通
sh.600289,2025-03-17,7.54,3,False,4.74,3.1285,133219707.75,79.95,1,0.1,600289,ST信通
sh.600289,2025-03-18,7.92,4,True,5.04,0.1653,7408059.12,89.02,1,0.1,600289,ST信通
sh.600289,2025-03-19,8.32,5,True,5.05,0.3157,14865027.84,98.57,1,0.1,600289,ST信通
sh.600289,2025-03-20,8.74,6,False,5.05,3.4701,171208461.22,108.59,1,0.1,600289,ST信通
sh.600289,2025-03-21,9.18,7,False,4.46,2.0671,106749977.57,108.64,1,0.1,600289,ST信通
sh.600289,2025-03-31,7.67,1,False,-4.93,8.4535,344532948.05,58.8,1,0.1,600289,ST信通
sh.600289,2025-04-10,5.92,1,False,0.0,4.4254,142880292.28,-9.06,1,0.1,600289,ST信通
sh.600289,2025-04-11,6.22,2,False,4.73,1.0151,35635137.8,-9.06,1,0.1,600289,ST信通
sh.600289,2025-04-14,6.53,3,True,4.98,0.1575,5822174.12,-9.05,1,0.1,600289,ST信通
sh.600289,2025-04-15,6.86,4,False,5.05,3.7884,147062555.09,-9.02,1,0.1,600289,ST信通
sh.600289,2025-04-16,7.2,5,False,3.21,8.2137,325750743.47,-9.09,1,0.1,600289,ST信通
sh.600289,2025-04-22,6.69,1,False,-3.45,3.9188,144409014.63,-25.33,1,0.1,600289,ST信通
sh.600289,2025-04-28,6.08,1,False,-0.69,3.7084,126586126.28,-16.71,1,0.1,600289,ST信通
sh.600292,2025-04-03,13.59,1,False,2.83,8.5184,890158306.93,13.34,0,0.1,600292,电投水电
sh.600292,2025-04-14,14.74,1,False,1.94,9.9043,1100849311.15,23.55,0,0.1,600292,电投水电
sh.600300,2025-03-14,3.49,1,False,0.0,9.0377,494942888.86,5.76,0,0.1,600300,维维股份
sh.600300,2025-04-08,3.7,1,False,0.89,12.2251,707753231.23,16.72,0,0.1,600300,维维股份
sh.600300,2025-04-16,4.09,1,False,0.0,11.4304,737338393.72,15.21,0,0.1,600300,维维股份
sh.600300,2025-04-21,4.41,1,False,-0.25,17.7023,1234359629.77,28.95,0,0.1,600300,维维股份
sh.600301,2025-03-07,23.71,1,False,0.88,8.6941,559999155.73,30.99,0,0.1,600301,华锡有色
sh.600301,2025-03-14,26.75,1,False,9.99,15.3252,1124683256.56,50.62,0,0.1,600301,华锡有色
sh.600301,2025-04-14,21.79,1,False,1.97,7.104,413771976.65,-18.54,0,0.1,600301,华锡有色
sh.600302,2025-03-07,5.67,1,False,-0.97,10.5129,197754821.86,15.24,0,0.1,600302,ST标准
sh.600302,2025-03-26,6.04,1,False,-0.36,4.8642,98565421.34,-9.04,0,0.1,600302,ST标准
sh.600302,2025-03-27,6.64,2,True,9.93,2.9048,66738752.88,0.76,0,0.1,600302,ST标准
sh.600303,2025-03-07,3.11,1,False,2.03,3.262,68144487.25,7.61,1,0.1,600303,曙光股份
sh.600303,2025-03-11,3.27,1,False,-1.29,2.6356,56781297.5,11.22,1,0.1,600303,曙光股份
sh.600303,2025-04-10,3.18,1,False,2.31,1.6257,34584946.0,-3.05,1,0.1,600303,曙光股份
sh.600303,2025-04-11,3.34,2,True,5.03,0.0839,1892778.0,-1.47,1,0.1,600303,曙光股份
sh.600303,2025-04-14,3.51,3,True,5.09,0.0571,1353842.1,0.57,1,0.1,600303,曙光股份
sh.600303,2025-04-15,3.69,4,True,5.13,0.1942,4840549.38,4.83,1,0.1,600303,曙光股份
sh.600303,2025-04-16,3.87,5,False,4.88,3.3251,86923662.98,10.26,1,0.1,600303,曙光股份
sh.600308,2025-04-21,3.65,1,False,-0.6,2.561,137017983.2,3.69,0,0.1,600308,华泰股份
sh.600308,2025-04-22,4.02,2,True,10.14,2.1458,130846545.84,15.85,0,0.1,600308,华泰股份
sh.600310,2025-04-24,5.07,1,False,0.0,14.2176,1037932907.7,3.26,0,0.1,600310,广西能源
sh.600316,2025-03-04,37.4,1,False,1.82,5.5142,1438720515.24,21.67,0,0.1,600316,洪都航空
sh.600318,2025-03-05,8.7,1,False,-0.63,21.6239,935823851.62,9.3,0,0.1,600318,新力金融
sh.600318,2025-03-14,9.23,1,False,0.6,17.1253,786451968.04,11.34,0,0.1,600318,新力金融
sh.600318,2025-03-28,10.05,1,False,-1.2,23.4001,1170319683.35,32.06,0,0.1,600318,新力金融
sh.600319,2025-03-27,6.0,1,False,-0.18,7.8119,145485967.0,16.96,0,0.1,600319,亚星化学
sh.600320,2025-03-20,4.47,1,False,0.0,4.2826,615167190.87,20.81,0,0.1,600320,振华重工
sh.600320,2025-03-21,4.92,2,False,8.5,3.4913,567077307.37,32.26,0,0.1,600320,振华重工
sh.600320,2025-03-24,5.41,3,True,9.96,2.829,508420704.09,44.65,0,0.1,600320,振华重工
sh.600336,2025-04-11,6.42,1,False,-0.68,3.9075,194353014.16,-5.59,0,0.1,600336,澳柯玛
sh.600337,2025-04-10,1.87,1,False,-0.59,2.6643,69034704.76,0.54,0,0.1,600337,ST美克
sh.600337,2025-04-11,2.06,2,True,10.16,2.0731,61368710.16,11.96,0,0.1,600337,ST美克
sh.600337,2025-04-30,1.9,1,False,7.51,1.6724,45547569.0,7.95,0,0.1,600337,ST美克
sh.600340,2025-04-30,2.39,1,False,-0.92,6.4547,585364906.81,7.17,0,0.1,600340,*ST华幸
sh.600343,2025-03-05,11.44,1,False,-0.19,5.8697,413670640.6,6.62,0,0.1,600343,航天动力
sh.600343,2025-04-09,10.97,1,False,-0.6,2.9152,198491900.64,-9.34,0,0.1,600343,航天动力
sh.600345,2025-03-10,26.71,1,False,0.49,11.1839,622706221.85,10.69,0,0.1,600345,长江通信
sh.600348,2025-03-25,7.44,1,False,0.3,3.7324,966265837.91,14.11,0,0.1,600348,华阳股份
sh.600353,2025-04-01,9.57,1,False,-0.92,13.6021,1026026827.59,13.52,0,0.1,600353,旭光电子
sh.600354,2025-04-07,6.35,1,False,3.81,26.8988,880684812.14,11.21,0,0.1,600354,敦煌种业
sh.600354,2025-04-08,6.99,2,False,0.16,28.7587,1006310136.22,22.63,0,0.1,600354,敦煌种业
sh.600355,2025-04-08,3.03,1,False,-0.73,13.6041,196563040.09,-23.87,0,0.1,600355,
sh.600358,2025-03-25,3.78,1,False,-1.11,3.8517,72058405.52,1.34,1,0.1,600358,国旅联合
sh.600358,2025-03-27,4.14,1,False,-0.76,4.1245,83829454.63,10.11,1,0.1,600358,国旅联合
sh.600358,2025-04-09,4.11,1,False,-0.26,3.1055,62918414.17,-6.38,1,0.1,600358,国旅联合
sh.600358,2025-04-28,4.21,1,False,0.75,2.6306,55630179.26,2.68,1,0.1,600358,国旅联合
sh.600360,2025-03-04,5.83,1,False,0.0,4.0993,225695428.73,17.07,1,0.1,600360,华微电子
sh.600360,2025-03-11,6.75,1,False,-0.93,4.5096,284745779.33,28.82,1,0.1,600360,华微电子
sh.600360,2025-03-13,7.07,1,False,0.59,5.0829,337023269.36,42.54,1,0.1,600360,华微电子
sh.600360,2025-03-24,6.29,1,False,0.33,3.1942,191224740.2,23.82,1,0.1,600360,华微电子
sh.600360,2025-03-25,6.6,2,False,4.29,1.561,98473157.38,25.48,1,0.1,600360,华微电子
sh.600360,2025-03-26,6.93,3,False,2.88,6.5984,433378724.91,30.75,1,0.1,600360,华微电子
sh.600360,2025-04-15,6.99,1,False,-0.15,1.9521,129014463.0,3.4,1,0.1,600360,华微电子
sh.600361,2025-03-07,4.27,1,False,2.84,7.9743,560469451.09,11.2,0,0.1,600361,创新新材
sh.600363,2025-03-03,53.11,1,False,0.97,5.9912,1415268523.91,8.23,0,0.1,600363,联创光电
sh.600363,2025-03-17,66.36,1,False,2.85,6.2113,1822492459.85,23.6,0,0.1,600363,联创光电
