code,name,streak
sz.000609,*ST中迪,15
sz.001331,胜通能源,12
sz.002713,东易日盛,12
sz.002969,嘉美包装,10
sz.002047,宝鹰股份,9
sh.603122,合富中国,9
sz.002868,绿康生化,9
sh.600165,宁科生物,8
sz.002361,神剑股份,8
sz.002451,摩恩电气,8
sh.601566,九牧王,7
sz.000798,中水渔业,7
sz.001270,铖昌科技,7
sz.000632,ST三木,7
sz.000691,亚太实业,6
sh.600865,百大集团,6
sh.600829,人民同泰,6
sz.002485,ST雪发,6
sh.603278,大业股份,6
sh.600735,ST新华锦,6
sh.603696,安记食品,6
sz.002702,海欣食品,6
sz.002682,龙洲股份,6
sz.000407,胜利股份,6
sz.003041,真爱美家,6
sh.603778,国晟科技,5
sh.603813,原尚股份,5
sz.002347,泰尔股份,5
sz.002632,道明光学,5
sh.603843,*ST正平,5
sh.603386,骏亚科技,5
sz.002788,鹭燕医药,5
sz.000078,ST海王,5
sz.002789,*ST建艺,5
sh.603398,*ST沐邦,5
sh.600734,*ST实达,5
sh.603216,梦天家居,5
sh.603021,*ST华鹏,5
sz.002083,孚日股份,5
sz.002255,海陆重工,5
sz.000736,中交发展,5
sz.002931,锋龙股份,5
sh.600179,安通控股,5
sh.600693,东百集团,5
sh.600408,安泰集团,5
sz.000892,欢瑞世纪,4
sz.000952,广济药业,4
sz.000908,石药景峰,4
sz.000905,厦门港务,4
sz.000592,平潭发展,4
sz.000890,法尔胜,4
sz.000859,国风新材,4
sz.000572,海马汽车,4
sz.002565,顺灏股份,4
sz.001216,华瓷股份,4
sz.000551,创元科技,4
sz.002589,瑞康医药,4
sz.000070,特发信息,4
sz.002228,合兴包装,4
sz.002163,海南发展,4
sz.002620,*ST瑞和,4
sh.600118,中国卫星,4
sz.002264,新 华 都,4
sh.600340,*ST华幸,4
sh.600429,三元股份,4
sh.600568,ST中珠,4
sh.600783,鲁信创投,4
sh.600828,茂业商业,4
sz.002910,庄园牧场,4
sz.002300,太阳电缆,4
sz.001209,洪兴股份,4
sz.002009,天奇股份,4
sh.603163,圣晖集成,4
sh.603268,松发股份,4
sz.002792,通宇通讯,4
sz.002306,ST云网,4
sz.001208,华菱线缆,4
sh.603601,再升科技,4
sz.002235,安妮股份,4
sh.603933,睿能科技,4
sz.002289,宇顺电子,3
sz.002309,中利集团,3
sz.002348,高乐股份,3
sh.600078,澄星股份,3
sz.002363,隆基机械,3
sz.002805,丰元股份,3
sz.003031,中瓷电子,3
sz.003018,金富科技,3
sz.002976,瑞玛精密,3
sz.002885,京泉华,3
sz.002877,智能自控,3
sz.002853,皮阿诺,3
sz.002822,ST中装,3
sz.002752,昇兴股份,3
sz.002374,中锐股份,3
sz.002725,跃岭股份,3
sz.002703,浙江世宝,3
sz.002639,雪人集团,3
sz.002591,恒大高新,3
sz.002585,双星新材,3
sz.002471,中超控股,3
sz.002413,雷科防务,3
sz.002652,扬子新材,3
sz.000820,神雾节能,3
sz.002213,大为股份,3
sh.601929,吉视传媒,3
sh.603667,五洲新春,3
sh.603585,苏利股份,3
sh.603557,*ST起步,3
sh.603389,亚振家居,3
sh.603377,ST东时,3
sh.603353,和顺石油,3
sh.603327,福蓉科技,3
sh.603069,海汽集团,3
sh.603026,石大胜华,3
sh.601399,国机重装,3
sz.002188,中天服务,3
sh.601366,利群股份,3
sh.600981,苏豪汇鸿,3
sh.600939,重庆建工,3
sh.600936,北投科技,3
sh.600756,浪潮软件,3
sh.600624,ST复华,3
sh.600289,ST信通,3
sh.600151,航天机电,3
sh.600113,浙江东日,3
sh.603698,航天工程,3
sh.603709,中源家居,3
sh.603822,ST嘉澳,3
sh.603823,百合花,3
sz.002181,粤 传 媒,3
sz.002177,御银股份,3
sz.001336,楚环科技,3
sz.001330,博纳影业,3
sz.001317,三羊马,3
sz.001296,长江材料,3
sz.001266,宏英智能,3
sz.001203,大中矿业,3
sz.000993,闽东电力,3
sh.600107,*ST尔雅,3
sz.000620,盈新发展,3
sz.000566,海南海药,3
sz.000547,航天发展,3
sz.000546,金圆股份,3
sz.000510,新金路,3
sz.000017,深中华A,3
sh.688227,品高股份,3
sh.605007,五洲特纸,3
sh.603828,*ST利达,3
sz.300437,清水源,3
