序号,营业部名称,今日最高操作,今日最高金额,今日最高买入金额,累计参与金额,累计买入金额
1,沪股通专用,13,10.89亿,10.89亿,23.62亿,23.62亿
2,华宝证券股份有限公司上海东大名路证券营业部,1,9.94亿,4.99亿,9.94亿,4.99亿
3,深股通专用,14,5.83亿,2.43亿,36.12亿,17.25亿
4,中国国际金融股份有限公司上海分公司,11,4.21亿,4.21亿,6.83亿,5.95亿
5,东方证券股份有限公司上海松江区沪亭北路...,1,2.92亿,1.47亿,2.92亿,1.47亿
6,高盛（中国）证券有限责任公司上海浦东新...,15,2.76亿,2.76亿,5.84亿,5.30亿
7,国泰海通证券股份有限公司天津高新区梅苑...,1,2.24亿,1.12亿,2.24亿,1.12亿
8,摩根大通证券（中国）有限公司上海银城中...,4,2.21亿,2.21亿,2.67亿,2.64亿
9,国泰海通证券股份有限公司成都双庆路证券...,1,2.18亿,1.09亿,2.18亿,1.09亿
10,华鑫证券有限责任公司上海陆家嘴证券营业部,1,1.85亿,9243.53万,1.85亿,9243.53万
11,国泰海通证券股份有限公司北京知春路证券...,4,1.66亿,1.56亿,5.14亿,3.79亿
12,国泰海通证券股份有限公司上海长宁区江苏...,6,1.43亿,1.35亿,2.29亿,1.77亿
13,国信证券股份有限公司浙江互联网分公司,10,1.30亿,6523.59万,4.59亿,2.21亿
14,开源证券股份有限公司西安西大街证券营业部,13,1.22亿,1.22亿,7.19亿,5.22亿
15,东方财富证券股份有限公司山南香曲东路证...,5,1.17亿,1799.85万,2.06亿,4473.79万
16,东方财富证券股份有限公司拉萨金融城南环...,14,1.16亿,5601.83万,4.74亿,2.21亿
17,东亚前海证券有限责任公司上海分公司,1,1.08亿,1.08亿,1.08亿,1.08亿
18,中信证券股份有限公司上海分公司,14,9899.00万,6364.26万,3.56亿,2.03亿
19,国新证券股份有限公司北京分公司,2,9606.23万,9511.81万,1.91亿,9514.16万
20,国泰海通证券股份有限公司三亚迎宾路证券...,1,9513.85万,0.00,9513.85万,0.00
21,国泰海通证券股份有限公司总部,8,8902.53万,8902.53万,2.14亿,1.54亿
22,中国中金财富证券有限公司北京建国门外大...,1,8571.68万,0.00,8571.68万,0.00
23,国泰海通证券股份有限公司成都龙腾东路营业部,1,7833.61万,6251.97万,7833.61万,6251.97万
24,国盛证券股份有限公司宁波桑田路证券营业部,1,7200.99万,0.00,7200.99万,0.00
25,国泰海通证券股份有限公司上海静安区新闸...,1,6818.20万,6818.20万,6818.20万,6818.20万
26,开源证券股份有限公司西安太华路证券营业部,1,6385.14万,19.32万,6385.14万,19.32万
27,五矿证券有限公司深圳深南大道证券营业部,1,6090.55万,4.88万,6090.55万,4.88万
28,国泰海通证券股份有限公司湛江万豪世家证...,3,6036.88万,6002.77万,1.08亿,8945.72万
29,招商证券股份有限公司深圳科技园高新南一...,1,5991.26万,278.32万,5991.26万,278.32万
30,国泰海通证券股份有限公司武汉紫阳东路证...,1,5756.84万,5756.54万,5756.84万,5756.54万
31,国泰海通证券股份有限公司上海松江区中山...,1,5331.47万,0.00,5331.47万,0.00
32,瑞银证券有限责任公司上海花园石桥路证券...,5,5081.11万,5081.11万,1.18亿,1.05亿
33,东方财富证券股份有限公司拉萨东环路第二...,7,4740.89万,2333.60万,1.19亿,4905.10万
34,中国国际金融股份有限公司北京建国门外大...,1,4730.00万,0.00,4730.00万,0.00
35,国联民生证券股份有限公司浙江分公司,1,4710.25万,1296.79万,4710.25万,1296.79万
36,东方财富证券股份有限公司拉萨团结路第一...,5,4347.03万,2005.86万,8833.30万,5240.85万
37,中信证券股份有限公司东阳吴宁西路证券营业部,1,4240.57万,4240.57万,4240.57万,4240.57万
38,中信建投证券股份有限公司福州东街证券营业部,2,4142.43万,0.00,6164.09万,0.00
39,华源证券股份有限公司江苏分公司,3,4055.41万,4055.41万,9286.06万,9285.83万
40,广发证券股份有限公司杭州博奥路证券营业部,1,3951.44万,1301.04万,3951.44万,1301.04万
41,平安证券股份有限公司浙江分公司,2,3871.48万,3726.36万,4909.92万,4557.84万
42,中国银河证券股份有限公司汕头嵩山路证券...,1,3529.03万,0.00,3529.03万,0.00
43,东方财富证券股份有限公司拉萨东环路第一...,3,3492.44万,1712.53万,5632.71万,2960.21万
44,东方证券股份有限公司张家港东环路证券营业部,2,3475.40万,2786.65万,6262.05万,2787.38万
45,华泰证券股份有限公司深圳彩田路证券营业部,1,3457.37万,37.85万,3457.37万,37.85万
46,国信证券股份有限公司深圳互联网分公司,1,3318.34万,669.50万,3318.34万,669.50万
47,国泰海通证券股份有限公司南京太平南路证...,2,3289.33万,2462.06万,5757.56万,2462.97万
48,东北证券股份有限公司深圳分公司,1,3255.43万,14.92万,3255.43万,14.92万
49,中信证券股份有限公司深圳深南中路中信大...,3,3121.50万,424.34万,3606.68万,485.18万
50,国信证券股份有限公司公司总部,1,3001.02万,0.00,3001.02万,0.00
51,招商证券股份有限公司深圳益田路免税商务...,6,3000.36万,576.71万,1.29亿,720.97万
52,国联民生证券股份有限公司苏州南天成路证...,1,2958.53万,257.25万,2958.53万,257.25万
53,国泰海通证券股份有限公司南京胜利路证券...,2,2939.36万,2935.30万,4870.64万,4863.47万
54,国泰海通证券股份有限公司成都龙腾东路证...,2,2837.35万,2837.35万,4900.50万,2837.35万
55,国信证券股份有限公司北京分公司,2,2760.35万,605.94万,3366.30万,777.33万
56,华安证券股份有限公司池州分公司,1,2746.45万,4161.00,2746.45万,4161.00
57,国新证券股份有限公司北京中关村大街证券...,2,2653.50万,2497.44万,5185.84万,2497.44万
58,华鑫证券有限责任公司绍兴胜利东路证券营业部,3,2625.23万,2625.23万,5685.14万,4116.01万
59,广发证券股份有限公司秦皇岛和平大街证券...,1,2571.42万,0.00,2571.42万,0.00
60,国泰海通证券股份有限公司上海分公司,2,2568.08万,0.00,4037.26万,0.00
61,华泰证券股份有限公司深圳益田路荣超商务...,1,2523.03万,0.00,2523.03万,0.00
62,中信证券股份有限公司北京紫竹院路证券营业部,1,2499.64万,2499.64万,2499.64万,2499.64万
63,德邦证券股份有限公司上海普陀区志丹路证...,1,2477.41万,6.12万,2477.41万,6.12万
64,华鑫证券有限责任公司泉州分公司,1,2397.26万,252.91万,2397.26万,252.91万
65,平安证券股份有限公司杭州曙光路证券营业部,1,2290.56万,2290.56万,2290.56万,2290.56万
66,中信建投证券股份有限公司北京鸿翼分公司,1,2264.80万,333.08万,2264.80万,333.08万
67,长江证券股份有限公司长沙晚报大道证券营业部,1,2231.27万,6.62万,2231.27万,6.62万
68,国泰海通证券股份有限公司深圳福田中心区...,1,1985.66万,0.00,1985.66万,0.00
69,国泰海通证券股份有限公司成都北一环路证...,2,1959.80万,1956.67万,3409.48万,1980.73万
70,国泰海通证券股份有限公司上海宝山区牡丹...,1,1942.59万,1942.59万,1942.59万,1942.59万
71,中国银河证券股份有限公司南京江东中路证...,1,1893.61万,1893.61万,1893.61万,1893.61万
