序号,营业部名称,携手营业部家数,年内最佳携手对象,年内最佳携手股票数,年内最佳携手成功率
1,沪股通专用,40,瑞银证券有限责任公司上海花园石桥路证...,230,45.61%
2,高盛（中国）证券有限责任公司上海浦东新...,38,国泰海通证券股份有限公司总部,240,56.72%
3,中信证券股份有限公司上海分公司,32,国泰海通证券股份有限公司总部,237,55.74%
4,深股通专用,31,国信证券股份有限公司浙江互联网分公司,212,45.71%
5,开源证券股份有限公司西安西大街证券营业部,24,沪股通专用,117,53.04%
6,东方财富证券股份有限公司拉萨东环路第二...,23,东方财富证券股份有限公司拉萨团结路第...,241,51.79%
7,国泰海通证券股份有限公司总部,21,瑞银证券有限责任公司上海花园石桥路证...,240,47.06%
8,国信证券股份有限公司浙江互联网分公司,19,东方财富证券股份有限公司拉萨金融城南...,234,45.26%
9,东方财富证券股份有限公司拉萨金融城南环...,18,东方财富证券股份有限公司拉萨东环路第...,239,49.13%
10,中国国际金融股份有限公司上海分公司,18,国泰海通证券股份有限公司总部,204,47.29%
11,招商证券股份有限公司深圳益田路免税商务...,18,深股通专用,113,54.87%
12,东方财富证券股份有限公司山南香曲东路证...,16,东方财富证券股份有限公司拉萨金融城南...,154,52.63%
13,国泰海通证券股份有限公司上海长宁区江苏...,16,深股通专用,145,53.85%
14,东方财富证券股份有限公司拉萨团结路第一...,11,东方财富证券股份有限公司拉萨东环路第...,241,51.79%
15,东方财富证券股份有限公司昌都两江大道证...,10,国信证券股份有限公司浙江互联网分公司,167,53.94%
16,国泰海通证券股份有限公司湛江万豪世家证...,9,深股通专用,64,36.51%
17,瑞银证券有限责任公司上海花园石桥路证券...,9,国泰海通证券股份有限公司总部,240,47.06%
18,华鑫证券有限责任公司绍兴胜利东路证券营业部,9,沪股通专用,45,35.56%
19,国金证券股份有限公司深圳分公司,9,国信证券股份有限公司深圳红岭中路证券...,203,45.74%
20,中信建投证券股份有限公司福州东街证券营业部,8,东方财富证券股份有限公司拉萨金融城南...,7,100.00%
21,国泰海通证券股份有限公司深圳滨海大道创...,7,沪股通专用,5,无符合数据
22,摩根大通证券（中国）有限公司上海银城中...,7,国泰海通证券股份有限公司总部,224,51.80%
23,中信证券股份有限公司深圳深南中路中信大...,7,国泰海通证券股份有限公司总部,103,56.44%
24,国泰海通证券股份有限公司成都龙腾东路证...,7,国泰海通证券股份有限公司总部,7,42.86%
25,招商证券股份有限公司深圳招商证券大厦证...,7,深股通专用,27,40.74%
26,国信证券股份有限公司北京分公司,7,国信证券股份有限公司深圳红岭中路证券...,48,47.83%
27,华源证券股份有限公司江苏分公司,7,深股通专用,34,44.12%
28,国泰海通证券股份有限公司北京知春路证券...,7,深股通专用,111,56.88%
29,国信证券股份有限公司深圳红岭中路证券营业部,7,国金证券股份有限公司深圳分公司,203,45.74%
30,国泰海通证券股份有限公司南京太平南路证...,6,深股通专用,112,45.05%
31,国新证券股份有限公司北京分公司,6,深股通专用,98,53.12%
32,国新证券股份有限公司北京中关村大街证券...,6,国新证券股份有限公司北京分公司,82,43.75%
33,平安证券股份有限公司深圳蛇口招商路招商...,6,东方财富证券股份有限公司拉萨东环路第...,7,42.86%
34,国泰海通证券股份有限公司南京胜利路证券...,5,深股通专用,5,无符合数据
35,东方证券股份有限公司张家港东环路证券营业部,5,沪股通专用,17,37.50%
36,东方财富证券股份有限公司拉萨东环路第一...,5,东方财富证券股份有限公司拉萨东环路第...,219,48.99%
37,国信证券股份有限公司深圳互联网分公司,5,国金证券股份有限公司深圳分公司,187,47.73%
38,国泰海通证券股份有限公司上海分公司,5,深股通专用,69,47.83%
39,广发证券股份有限公司九江长虹大道证券营业部,4,东方财富证券股份有限公司拉萨金融城南...,3,无符合数据
40,开源证券股份有限公司西安高新成章路证券...,4,深股通专用,67,54.55%
41,国泰海通证券股份有限公司上海宝山区牡丹...,4,东方财富证券股份有限公司拉萨金融城南...,4,无符合数据
42,万联证券股份有限公司内江兰桂大道证券营业部,4,国信证券股份有限公司浙江互联网分公司,5,无符合数据
43,中国银河证券股份有限公司北京亦庄证券营业部,4,东方财富证券股份有限公司拉萨团结路第...,2,无符合数据
44,中泰证券股份有限公司杭州湖墅南路证券营业部,4,国信证券股份有限公司深圳互联网分公司,7,57.14%
45,国信证券股份有限公司西安科技二路证券营业部,4,东方财富证券股份有限公司拉萨团结路第...,3,无符合数据
46,国泰海通证券股份有限公司天津高新区梅苑...,4,华宝证券股份有限公司上海东大名路证券...,28,59.26%
47,中泰证券股份有限公司宁波分公司,4,深股通专用,6,66.67%
48,广发证券股份有限公司秦皇岛和平大街证券...,4,东方财富证券股份有限公司拉萨东环路第...,2,无符合数据
49,国信证券股份有限公司福建分公司,4,国金证券股份有限公司深圳分公司,10,33.33%
50,华泰证券股份有限公司姜堰东大街证券营业部,4,东方财富证券股份有限公司拉萨团结路第...,2,无符合数据
51,东方证券股份有限公司上海松江区沪亭北路...,4,华宝证券股份有限公司上海东大名路证券...,100,51.52%
52,东方财富证券股份有限公司拉萨东城区江苏...,4,东方财富证券股份有限公司拉萨金融城南...,55,39.62%
53,国金证券股份有限公司杭州利一路证券营业部,4,国金证券股份有限公司福州长乐中路证券...,2,无符合数据
54,国泰海通证券股份有限公司上海静安区新闸...,4,深股通专用,79,47.44%
55,国信证券股份有限公司厦门湖滨北路证券营业部,4,东方财富证券股份有限公司拉萨东环路第...,7,57.14%
56,国泰海通证券股份有限公司成都双庆路证券...,4,华宝证券股份有限公司上海东大名路证券...,92,48.35%
57,国泰海通证券股份有限公司上海浦东新区锦...,4,国泰海通证券股份有限公司上海长宁区江...,17,46.67%
58,中国中金财富证券有限公司广州番禺东兴路...,4,东方财富证券股份有限公司拉萨东环路第...,10,20.00%
59,中信证券股份有限公司总部(非营业场所),4,沪股通专用,18,72.22%
60,华泰证券股份有限公司北京月坛南街证券营业部,4,招商证券股份有限公司深圳益田路免税商...,22,42.86%
61,中信证券股份有限公司东阳吴宁西路证券营业部,4,深股通专用,29,44.83%
62,山西证券股份有限公司介休北坛中路证券营业部,4,广发证券股份有限公司广州马场路广发证...,1,无符合数据
63,平安证券股份有限公司杭州曙光路证券营业部,4,深股通专用,93,46.24%
64,平安证券股份有限公司北京市分公司,4,东方财富证券股份有限公司拉萨团结路第...,9,66.67%
65,华鑫证券有限责任公司上海陆家嘴证券营业部,4,华宝证券股份有限公司上海东大名路证券...,84,42.17%
66,东莞证券股份有限公司江门分公司,4,东方财富证券股份有限公司拉萨东环路第...,3,无符合数据
67,华鑫证券有限责任公司上海徐汇区瑞平路证...,4,开源证券股份有限公司西安太华路证券营业部,22,59.09%
68,华泰证券股份有限公司深圳益田路荣超商务...,4,东方财富证券股份有限公司拉萨团结路第...,22,54.55%
69,中信建投证券股份有限公司北京东城分公司,4,国信证券股份有限公司深圳红岭中路证券...,170,42.50%
70,中信建投证券股份有限公司北京朝外大街证...,4,深股通专用,3,无符合数据
71,东亚前海证券有限责任公司上海分公司,4,深股通专用,28,42.86%
72,中国银河证券股份有限公司南京江东中路证...,4,中国中金财富证券有限公司广州番禺东兴...,2,无符合数据
73,联储证券股份有限公司陕西分公司,4,中信建投证券股份有限公司上海营口路证...,16,53.33%
74,麦高证券有限责任公司北京分公司,4,东方财富证券股份有限公司拉萨金融城南...,44,56.82%
75,广发证券股份有限公司广州寺右新马路证券...,4,国信证券股份有限公司浙江互联网分公司,28,53.85%
76,中国银河证券股份有限公司深圳罗湖证券营业部,4,万联证券股份有限公司内江兰桂大道证券...,2,无符合数据
77,国泰海通证券股份有限公司广州东风西路证...,4,深股通专用,5,无符合数据
78,国盛证券股份有限公司宁波桑田路证券营业部,4,沪股通专用,29,53.57%
79,中信建投证券股份有限公司北京北四环东路...,4,东莞证券股份有限公司四川分公司,2,无符合数据
80,华泰证券股份有限公司常州分公司,4,深股通专用,3,无符合数据
81,中国银河证券股份有限公司汕头嵩山路证券...,4,中信证券股份有限公司上海分公司,3,无符合数据
82,兴业证券股份有限公司福州湖东路证券营业部,4,沪股通专用,5,无符合数据
83,华宝证券股份有限公司上海东大名路证券营业部,4,东方证券股份有限公司上海松江区沪亭北...,100,51.52%
84,中信建投证券股份有限公司北京朝阳分公司,4,沪股通专用,4,无符合数据
85,浙商证券股份有限公司台州环城东路证券营业部,4,沪股通专用,5,无符合数据
86,华泰证券股份有限公司北京雍和宫证券营业部,4,华泰证券股份有限公司姜堰东大街证券营业部,2,无符合数据
87,广发证券股份有限公司郑州农业路证券营业部,4,深股通专用,39,58.97%
88,广发证券股份有限公司西安南广济街证券营业部,4,沪股通专用,10,77.78%
89,中国中金财富证券有限公司北京分公司,4,国信证券股份有限公司福建分公司,1,无符合数据
90,东亚前海证券有限责任公司苏州分公司,4,深股通专用,78,58.97%
91,华泰证券股份有限公司总部,4,国泰海通证券股份有限公司总部,167,37.13%
92,招商证券股份有限公司上海牡丹江路证券营业部,4,东方财富证券股份有限公司拉萨东环路第...,38,47.22%
93,中信建投证券股份有限公司上海营口路证券...,4,国信证券股份有限公司深圳互联网分公司,64,50.00%
94,中国中金财富证券有限公司北京北三环东路...,4,深股通专用,4,无符合数据
95,英大证券有限责任公司绵阳体运村路证券营业部,4,中信建投证券股份有限公司北京朝外大街...,1,无符合数据
96,国泰海通证券股份有限公司上海松江区中山...,4,深股通专用,114,54.39%
97,东吴证券股份有限公司上海西藏南路证券营业部,4,东方财富证券股份有限公司拉萨东环路第...,21,36.84%
98,兴业证券股份有限公司深圳东海国际证券营业部,4,沪股通专用,8,37.50%
99,中信建投证券股份有限公司广州珠江新城证...,4,国信证券股份有限公司深圳红岭中路证券...,25,47.83%
100,申万宏源证券有限公司上海闵行区莘松路证...,4,国泰海通证券股份有限公司总部,3,无符合数据
101,国元证券股份有限公司青岛源头路证券营业部,3,兴业证券股份有限公司山西分公司,1,无符合数据
102,东吴证券股份有限公司苏州西北街证券营业部,3,国金证券股份有限公司深圳分公司,31,50.00%
103,华泰证券股份有限公司深圳后海阿里云大厦...,3,国信证券股份有限公司深圳互联网分公司,4,无符合数据
104,中信建投证券股份有限公司北京鸿翼分公司,3,国信证券股份有限公司浙江互联网分公司,21,35.00%
105,国泰海通证券股份有限公司成都北一环路证...,3,深股通专用,146,54.48%
106,中国银河证券股份有限公司北京学院南路证...,3,深股通专用,55,48.15%
107,平安证券股份有限公司浙江分公司,3,平安证券股份有限公司杭州曙光路证券营业部,41,48.78%
108,兴业证券股份有限公司山西分公司,3,沪股通专用,3,无符合数据
109,平安证券股份有限公司绍兴解放大道证券营业部,3,开源证券股份有限公司西安西大街证券营业部,2,无符合数据
110,广发证券股份有限公司杭州博奥路证券营业部,3,深股通专用,4,无符合数据
111,华鑫证券有限责任公司泉州分公司,3,华鑫证券有限责任公司上海源深路证券营业部,4,无符合数据
112,中信建投证券股份有限公司北京海淀分公司,3,深股通专用,8,62.50%
113,光大证券股份有限公司河源永和东路证券营业部,2,华鑫证券有限责任公司上海分公司,5,无符合数据
114,国泰海通证券股份有限公司重庆中山三路证...,2,沪股通专用,5,无符合数据
