序号,营业部名称,上榜次数,合计动用资金,年内上榜次数,年内买入股票只数,年内3日跟买成功率
1,高盛（中国）证券有限责任公司上海浦东新...,15,5.84亿,2566,1793,46.47%
2,中信证券股份有限公司上海分公司,14,3.56亿,2044,1259,45.19%
3,深股通专用,14,36.12亿,3391,3228,46.18%
4,东方财富证券股份有限公司拉萨金融城南环...,14,4.74亿,2264,1581,43.45%
5,开源证券股份有限公司西安西大街证券营业部,13,7.19亿,1253,829,45.40%
6,沪股通专用,13,23.62亿,2428,2227,47.48%
7,中国国际金融股份有限公司上海分公司,11,6.83亿,1498,795,45.47%
8,国信证券股份有限公司浙江互联网分公司,10,4.59亿,1860,1443,41.47%
9,国泰海通证券股份有限公司总部,8,2.14亿,2970,2171,46.26%
10,东方财富证券股份有限公司拉萨东环路第二...,7,1.19亿,2521,1714,44.67%
11,招商证券股份有限公司深圳益田路免税商务...,6,1.29亿,463,218,48.65%
12,国泰海通证券股份有限公司上海长宁区江苏...,6,2.29亿,779,484,48.68%
13,东方财富证券股份有限公司拉萨团结路第一...,5,8833.30万,2211,1474,44.23%
14,东方财富证券股份有限公司山南香曲东路证...,5,2.06亿,880,560,45.55%
15,瑞银证券有限责任公司上海花园石桥路证券...,5,1.18亿,1903,1144,48.60%
16,国泰海通证券股份有限公司北京知春路证券...,4,5.14亿,363,217,47.88%
17,摩根大通证券（中国）有限公司上海银城中...,4,2.67亿,1479,980,46.33%
18,华鑫证券有限责任公司绍兴胜利东路证券营业部,3,5685.14万,274,197,41.97%
19,东方财富证券股份有限公司拉萨东环路第一...,3,5632.71万,1327,830,41.99%
20,东方财富证券股份有限公司昌都两江大道证...,3,3694.66万,747,483,42.65%
21,华鑫证券有限责任公司绍兴胜利东路证券营业部,3,5685.14万,274,197,41.97%
22,东方财富证券股份有限公司昌都两江大道证...,3,3694.66万,747,483,42.65%
23,东方财富证券股份有限公司拉萨东环路第一...,3,5632.71万,1327,830,41.99%
24,平安证券股份有限公司浙江分公司,2,4909.92万,191,120,45.97%
25,国新证券股份有限公司北京分公司,2,1.91亿,349,182,49.73%
26,招商证券股份有限公司深圳招商证券大厦证...,2,2868.59万,89,41,40.48%
27,国泰海通证券股份有限公司成都龙腾东路证...,2,4900.50万,32,17,68.75%
28,东方证券股份有限公司张家港东环路证券营业部,2,6262.05万,69,48,36.36%
29,国金证券股份有限公司深圳分公司,2,1431.84万,1353,860,46.48%
30,中信建投证券股份有限公司福州东街证券营业部,2,6164.09万,43,20,73.68%
31,国信证券股份有限公司北京分公司,2,3366.30万,194,108,41.67%
32,国新证券股份有限公司北京中关村大街证券...,2,5185.84万,232,127,45.97%
33,麦高证券有限责任公司北京分公司,2,1106.06万,168,115,45.76%
34,国泰海通证券股份有限公司上海分公司,2,4037.26万,166,113,53.98%
35,国泰海通证券股份有限公司成都北一环路证...,2,3409.48万,494,309,49.87%
36,国泰海通证券股份有限公司南京胜利路证券...,2,4870.64万,16,10,50.00%
37,国泰海通证券股份有限公司南京太平南路证...,2,5757.56万,388,242,45.42%
38,平安证券股份有限公司深圳蛇口招商路招商...,2,1663.44万,32,15,56.25%
39,国泰海通证券股份有限公司成都双庆路证券...,1,2.18亿,150,136,33.58%
40,国联民生证券股份有限公司苏州南天成路证...,1,2958.53万,3,0,无符合数据
41,中泰证券股份有限公司青岛正阳路证券营业部,1,415.06万,1,0,无符合数据
42,平安证券股份有限公司北京市分公司,1,299.96万,53,22,59.09%
43,华鑫证券有限责任公司上海陆家嘴证券营业部,1,1.85亿,264,211,40.57%
44,国泰海通证券股份有限公司上海宝山区牡丹...,1,1942.59万,13,5,无符合数据
45,山西证券股份有限公司介休北坛中路证券营业部,1,801.38万,3,1,无符合数据
46,东吴证券股份有限公司苏州西北街证券营业部,1,681.92万,121,70,57.53%
47,国信证券股份有限公司福建分公司,1,56.72万,38,19,33.33%
48,中信证券股份有限公司东阳吴宁西路证券营业部,1,4240.57万,104,55,50.70%
49,中国中金财富证券有限公司北京建国门外大...,1,8571.68万,14,7,无符合数据
50,国泰海通证券股份有限公司深圳福田中心区...,1,1985.66万,48,27,46.67%
51,开源证券股份有限公司西安高新成章路证券...,1,1419.66万,126,88,45.98%
