序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票,营业部代码
1,联储证券股份有限公司宁波分公司,2025-01-10,1,1,617432528.78,56312580.47,561119948.31,粤宏远A 方正科技,10915756
2,国泰君安证券股份有限公司上海海阳西路证券营业部,2025-01-16,1,0,421704113.3,,421704113.3,五洲新春,10000526029
3,国泰君安证券股份有限公司上海海阳西路证券营业部,2025-01-10,2,0,437936875.0,34391688.0,403545187.0,中坚科技 双林股份,10000526029
4,东方财富证券股份有限公司拉萨金融城南环路证券营业部,2025-01-16,17,9,786360220.19,473566869.38,312793350.81,卓郎智能 *ST康佳A 天下秀 中百集团 三维通信 东百集团 弘讯科技 东港股份 利欧股份 天和磁材 先达股份 广百股份 福达股份 建设工业 来伊份 遥望科技 中利集团 美邦股份 好想你 跨境通,10678762
5,中信证券股份有限公司上海分公司,2025-01-14,8,2,313873119.84,47083314.4,266789805.44,华胜天成 万控智造 天和磁材 浙江荣泰 福达股份 麦迪科技 东鹏饮料 凯尔达 奥普特,10135341
6,国泰君安证券股份有限公司三亚迎宾路证券营业部,2025-01-13,3,0,266004125.2,0.0,266004125.2,来伊份 国星光电 好想你,10564207
7,东亚前海证券有限责任公司苏州分公司,2025-01-16,6,2,289985354.9,36619404.08,253365950.82,遥望科技 国旅联合 跨境通 苏豪汇鸿 博通集成 歌力思 金奥博 鸿泉技术,10000526027
8,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部,2025-01-14,2,0,239054607.5,,239054607.5,东鹏饮料 绿的谐波,10342152
9,东方财富证券股份有限公司拉萨金融城南环路证券营业部,2025-01-10,24,16,627304776.17,396822818.77,230481957.4,骏创科技 中百集团 *ST博信 神雾节能 鸿智科技 中化装备 速达股份 哈药股份 东百集团 巨轮智能 济高发展 利欧股份 海得控制 银座股份 日海智能 万控智造 华培动力 康盛股份 比依股份 国星光电 祥和实业 电光科技 五洲新春 *ST吉药 来伊份 立方退 力鼎光电 同星科技 黄山谷捷 强达电路,10678762
10,华鑫证券有限责任公司上海宛平南路证券营业部,2025-01-16,2,0,229035755.26,,229035755.26,博通集成 五洲新春,10028416
11,华泰证券股份有限公司天津东丽开发区二纬路证券营业部,2025-01-10,4,0,263228912.24,41973480.0,221255432.24,速达股份 天和磁材 利欧股份 五洲新春,10147201
12,国泰君安证券股份有限公司上海分公司,2025-01-10,2,0,196144478.8,,196144478.8,五洲新春 来伊份,10201214
13,国泰君安证券股份有限公司咸宁咸宁大道证券营业部,2025-01-10,3,1,268669958.12,119331279.69,149338678.43,三花智控 博实股份 肇民科技,10429230
14,中信证券股份有限公司西安朱雀大街证券营业部,2025-01-17,2,0,144951770.7,323503.0,144628267.7,巨轮智能 川发龙蟒,10453418
15,广发证券股份有限公司天津环湖中路证券营业部,2025-01-13,1,0,144039243.6,91945.0,143947298.6,德福科技,10021807
16,国泰君安证券股份有限公司咸宁咸宁大道证券营业部,2025-01-16,3,1,223308140.0,79836196.12,143471943.88,中百集团 立方退 挖金客,10429230
17,国泰君安证券股份有限公司宜昌沿江大道证券营业部,2025-01-17,4,1,188409869.0,48643692.0,139766177.0,福达股份 康强电子 川发龙蟒 圣邦股份 挖金客,10026729
18,国泰君安证券股份有限公司咸宁咸宁大道证券营业部,2025-01-14,3,0,136096251.0,219462.0,135876789.0,弘讯科技 银之杰 立方退,10429230
