序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1,603009,北特科技,44.09,1.6367,2,0,288132633.95,0.0,288132633.95,4150372219,6.942332367949,11.3372,149.2,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-01-10
2,688017,绿的谐波,149.0,14.9514,1,0,257006600.0,0.0,257006600.0,6220425300,4.131656399764,9.7801,251.46,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2025-01-14
3,688052,纳芯微,146.6,15.0436,3,0,211664200.0,0.0,211664200.0,764597600,27.683084540156,5.9164,136.84,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-01-17
4,600183,生益科技,27.45,10.02,4,2,287162262.68,146549927.1,140612335.58,2032797026,6.91718522713,3.193,650.93,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,2025-01-17
5,688502,茂莱光学,262.85,15.2295,3,0,118798100.0,0.0,118798100.0,771082000,15.406675295235,19.4042,42.65,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-01-13
6,002050,三花智控,26.7,6.4593,3,2,544103464.74,428089813.21,116013651.53,13261131627,0.87483975571,9.2384,980.01,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-01-10
7,002733,雄韬股份,18.44,-10.0049,3,1,107449048.57,22220250.44,85228798.13,1355358911,6.288282567687,19.833,68.02,日跌幅偏离值达到7%的前5只证券,2025-01-13
8,300953,震裕科技,91.0,13.75,2,0,86888779.6,2737747.64,84151031.96,1389168592,6.057654372883,16.0712,66.12,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-01-10
9,002245,蔚蓝锂芯,11.44,-9.9921,2,1,106366294.0,28190554.0,78175740.0,2017683954,3.874528508046,15.5946,124.38,日跌幅偏离值达到7%的前5只证券,2025-01-10
10,300166,东方国信,11.23,13.0916,2,1,116582608.85,40277108.0,76305500.85,3609472786,2.114034524542,22.6019,101.72,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-01-16
11,300792,壹网壹创,32.66,-13.1383,2,2,155897969.21,80972065.38,74925903.83,2230252088,3.359526227243,30.42,69.41,日换手率达到30%的前5只证券,2025-01-17
12,002115,三维通信,7.81,3.1704,3,3,303808629.6,235401547.0,68407082.6,4789151412,1.428375858583,46.1105,58.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-01-16
13,688686,奥普特,79.0,15.5478,2,1,78692200.0,11557900.0,67134300.0,310402800,21.62812319992,3.3691,96.57,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-01-14
14,000573,粤宏远A,5.53,9.9404,3,1,168692511.11,105724007.92,62968503.19,2539970354,2.479103863982,41.8687,35.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-01-10
15,688426,康为世纪,25.72,-18.7362,4,0,61971600.0,0.0,61971600.0,232623300,26.640323647717,21.0108,9.77,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券,2025-01-15
